"繁体"	"简体"	"IPA"	"注释"	"来源"		"#符號說明："	"音標後的“-”表示文讀；“=”表示讀書音，口語中不用；“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"翃"	"翃"	"ɦoŋ2"		"鄉音字類"			
"汞"	"汞"	"ɦoŋ4"		"鄉音字類"			
"澒"	"澒"	"ɦoŋ4"		"鄉音字類"			
"閧"	"閧"	"ɦoŋ6"		"鄉音字類"			
"翁"	"翁"	"oŋ1"		"鄉音字類"			
"嗡"	"嗡"	"oŋ1"	"蚊子~~~"	"鄉音字類"			
"滃"	"滃"	"oŋ3"		"鄉音字類"			
"坰"	"坰"	"ʨioŋ1"		"鄉音字類"			
"駉"	"駉"	"ʨioŋ1"		"鄉音字類"			
"扃"	"扃"	"ʨioŋ1"		"鄉音字類"			
"絅"	"絅"	"ʨioŋ1"		"鄉音字類"			
"熲"	"熲"	"ʨioŋ3"		"鄉音字類"			
"炯"	"炯"	"ʨioŋ3"		"鄉音字類"			
"炅"	"炅"	"ʨioŋ3"		"鄉音字類"			
"憬"	"憬"	"ʨioŋ3"		"鄉音字類"			
"泂"	"泂"	"ʨioŋ3"		"鄉音字類"			
"迥"	"迥"	"ʨioŋ3"		"鄉音字類"			
"冏"	"冏"	"ʨioŋ3"		"鄉音字類"			
"敻"	"敻"	"ʨioŋ3"		"鄉音字類"			
"褧"	"褧"	"ʨioŋ3"		"鄉音字類"			
"綗"	"綗"	"ʨioŋ3"		"鄉音字類"			
"穹"	"穹"	"ʨʰioŋ1"		"鄉音字類"			
"銎"	"銎"	"ʨʰioŋ1"		"鄉音字類"			
"藭"	"藭"	"ʨʰioŋ1"		"鄉音字類"			
"窮"	"窮"	"ʥioŋ2"		"鄉音字類"			
"邛"	"邛"	"ʥioŋ2"		"鄉音字類"			
"笻"	"笻"	"ʥioŋ2"		"鄉音字類"			
"蛩"	"蛩"	"ʥioŋ2"		"鄉音字類"			
"跫"	"跫"	"ʥioŋ2"		"鄉音字類"			
"煢"	"煢"	"ʥioŋ2"		"鄉音字類"			
"惸"	"惸"	"ʥioŋ2"		"鄉音字類"			
"瓊"	"瓊"	"ʥioŋ2"		"鄉音字類"			
"共"	"共"	"ʥioŋ6"		"鄉音字類"			
"絨"	"絨"	"ȵioŋ2"		"鄉音字類"			
"穠"	"穠"	"ȵioŋ2"		"鄉音字類"			
"醲"	"醲"	"ȵioŋ2"		"鄉音字類"			
"濃"	"濃"	"ȵioŋ2"		"鄉音字類"			
"兄"	"兄"	"ɕioŋ1"		"鄉音字類"			
"凶"	"凶"	"ɕioŋ1"		"鄉音字類"			
"兇"	"兇"	"ɕioŋ1"		"鄉音字類"			
"匈"	"匈"	"ɕioŋ1"		"鄉音字類"			
"胷"	"胷"	"ɕioŋ1"		"鄉音字類"			
"訩"	"訩"	"ɕioŋ1"		"鄉音字類"			
"汹"	"汹"	"ɕioŋ1"		"鄉音字類"			
"恟"	"恟"	"ɕioŋ1"		"鄉音字類"			
"庸"	"庸"	"ɦioŋ2"		"鄉音字類"			
"鏞"	"鏞"	"ɦioŋ2"		"鄉音字類"			
"墉"	"墉"	"ɦioŋ2"		"鄉音字類"			
"傭"	"傭"	"ɦioŋ2"		"鄉音字類"			
"鱅"	"鱅"	"ɦioŋ2"		"鄉音字類"			
"鄘"	"鄘"	"ɦioŋ2"		"鄉音字類"			
"容"	"容"	"ɦioŋ2"		"鄉音字類"			
"蓉"	"蓉"	"ɦioŋ2"		"鄉音字類"			
"鎔"	"鎔"	"ɦioŋ2"		"鄉音字類"			
"榕"	"榕"	"ɦioŋ2"		"鄉音字類"			
"溶"	"溶"	"ɦioŋ2"		"鄉音字類"			
"慵"	"慵"	"ɦioŋ2"		"鄉音字類"			
"榮"	"榮"	"ɦioŋ2"		"鄉音字類"			
"嶸"	"嶸"	"ɦioŋ2"		"鄉音字類"			
"瑩"	"瑩"	"ɦioŋ2"		"鄉音字類"			
"禜"	"禜"	"ɦioŋ2"		"鄉音字類"			
"滎"	"滎"	"ɦioŋ2"		"鄉音字類"			
"熒"	"熒"	"ɦioŋ2"		"鄉音字類"			
"縈"	"縈"	"ɦioŋ2"		"鄉音字類"			
"營"	"營"	"ɦioŋ2"		"鄉音字類"			
"塋"	"塋"	"ɦioŋ2"		"鄉音字類"			
"漾"	"漾"	"ɦioŋ2"		"鄉音字類"			
"融"	"融"	"ɦioŋ2"		"鄉音字類"			
"肜"	"肜"	"ɦioŋ2"		"鄉音字類"			
"熊"	"熊"	"ɦioŋ2"		"鄉音字類"			
"雄"	"雄"	"ɦioŋ2"		"鄉音字類"			
"顒"	"顒"	"ɦioŋ2"		"鄉音字類"			
"用"	"用"	"ɦioŋ6"		"鄉音字類"			
"噰"	"噰"	"ioŋ1"		"鄉音字類"			
"饔"	"饔"	"ioŋ1"		"鄉音字類"			
"雍"	"雍"	"ioŋ1"		"鄉音字類"			
"雝"	"雝"	"ioŋ1"		"鄉音字類"			
"廱"	"廱"	"ioŋ1"		"鄉音字類"			
"癰"	"癰"	"ioŋ1"		"鄉音字類"			
"邕"	"邕"	"ioŋ1"		"鄉音字類"			
"𡄸"	"𡄸"	"ioŋ1"		"鄉音字類"			
"永"	"永"	"ioŋ3"		"鄉音字類"			
"甬"	"甬"	"ioŋ3"	"指寧波"	"鄉音字類"			
"涌"	"涌"	"ioŋ3"		"鄉音字類"			
"踴"	"踴"	"ioŋ3"		"鄉音字類"			
"俑"	"俑"	"ioŋ3"		"鄉音字類"			
"勇"	"勇"	"ioŋ3"		"鄉音字類"			
"湧"	"湧"	"ioŋ3"		"鄉音字類"			
"踊"	"踊"	"ioŋ3"		"鄉音字類"			
"壅"	"壅"	"ioŋ3"	"掗~"	"鄉音字類"			
"擁"	"擁"	"ioŋ3"	"~擠得極"	"鄉音字類"			
"蛹"	"蛹"	"ioŋ3"	"蠶~"	"蘇州同音常用字彙"			
"壅"	"壅"	"ioŋ5"		"鄉音字類"			
"泳"	"泳"	"ioŋ5"	"游~"	"鄉音字類"			
"詠"	"詠"	"ioŋ5"		"鄉音字類"			
"櫻"	"樱"	"ã1"	"白讀：~桃"	"鄉音字類"			
"朋"	"朋"	"bã2"		"鄉音字類"			
"螃"	"螃"	"bã2"		"鄉音字類"			
"𦗭"	"𦗭"	"bã2"	"聋子。"	"鄉音字類"			
"彭"	"彭"	"bã2"		"鄉音字類"			
"膨"	"膨"	"bã2"		"鄉音字類"			
"蟛"	"蟛"	"bã2"		"鄉音字類"			
"甏 "	"甏 "	"bã6"		"鄉音字類"			
"蚌"	"蚌"	"bã6"		"鄉音字類"			
"掽"	"掽"	"bã6"		"鄉音字類"			
"碰"	"碰"	"bã6"		"鄉音字類"			
"𥕱"	"𥕱"	"bã6"		"鄉音字類"			
"行"	"行"	"ɦã2"		"鄉音字類"			
"杏"	"杏"	"ɦã6"		"鄉音字類"			
"邦"	"邦"	"pɑ̃1"		"鄉音字類"			
"梆"	"梆"	"pɑ̃1"	"敲~"	"鄉音字類"			
"牓"	"牓"	"pɑ̃3"	"肩~"	"鄉音字類"			
"榜"	"榜"	"pɑ̃3"		"鄉音字類"			
"搒"	"搒"	"pɑ̃5"		"鄉音字類"			
"龐"	"庞"	"bɑ̃2"		"鄉音字類"			
"逄"	"逄"	"bɑ̃2"		"鄉音字類"			
"旁"	"旁"	"bɑ̃2"		"鄉音字類"			
"傍"	"傍"	"bɑ̃2"		"鄉音字類"			
"徬"	"徬"	"bɑ̃2"		"鄉音字類"			
"滂"	"滂"	"bɑ̃2"		"鄉音字類"			
"雱"	"雱"	"bɑ̃2"		"鄉音字類"			
"防"	"防"	"bɑ̃2"		"鄉音字類"			
"鲂"	"鲂"	"bɑ̃2"		"鄉音字類"			
"霶"	"霶"	"bɑ̃2"		"鄉音字類"			
"尨"	"尨"	"bɑ̃2"		"鄉音字類"			
"哤"	"哤"	"bɑ̃2"		"鄉音字類"			
"厖"	"厖"	"bɑ̃2"		"鄉音字類"			
"傍"	"傍"	"bɑ̃6"		"鄉音字類"			
"蚌"	"蚌"	"bɑ̃6"		"鄉音字類"			
"棒"	"棒"	"bɑ̃6"		"鄉音字類"			
"邙"	"邙"	"mɑ̃2"		"鄉音字類"			
"鋩"	"鋩"	"mɑ̃2"		"鄉音字類"			
"茫"	"茫"	"mɑ̃2"		"鄉音字類"			
"芒"	"芒"	"mɑ̃2"		"鄉音字類"			
"忙"	"忙"	"mɑ̃2"		"鄉音字類"			
"杗"	"杗"	"mɑ̃2"		"鄉音字類"			
"莽"	"莽"	"mɑ̃4"		"鄉音字類"			
"蟒"	"蟒"	"mɑ̃4"		"鄉音字類"			
"方"	"方"	"fɑ̃1"		"鄉音字類"			
"坊"	"坊"	"fɑ̃1"		"鄉音字類"			
"芳"	"芳"	"fɑ̃1"		"鄉音字類"			
"妨"	"妨"	"fɑ̃1"		"鄉音字類"			
"紡"	"紡"	"fɑ̃3"		"鄉音字類"			
"仿"	"仿"	"fɑ̃3"		"鄉音字類"			
"髣"	"髣"	"fɑ̃3"		"鄉音字類"			
"昉"	"昉"	"fɑ̃3"		"鄉音字類"			
"倣"	"倣"	"fɑ̃3"		"鄉音字類"			
"瓬"	"瓬"	"fɑ̃3"		"鄉音字類"			
"放"	"放"	"fɑ̃5"		"鄉音字類"			
"舫"	"舫"	"fɑ̃5"		"鄉音字類"			
"房"	"房"	"vɑ̃2"		"鄉音字類"			
"亡"	"亡"	"vɑ̃2"		"鄉音字類"			
"忘"	"忘"	"vɑ̃2"		"鄉音字類"			
"罔"	"罔"	"vɑ̃4"		"鄉音字類"			
"惘"	"惘"	"vɑ̃4"		"鄉音字類"			
"網"	"網"	"vɑ̃4"		"鄉音字類"			
"望"	"望"	"vɑ̃6"		"鄉音字類"			
"妄"	"妄"	"vɑ̃6"		"鄉音字類"			
"當"	"當"	"tɑ̃1"		"鄉音字類"			
"簹"	"簹"	"tɑ̃1"		"鄉音字類"			
"璫"	"璫"	"tɑ̃1"		"鄉音字類"			
"鐺"	"鐺"	"tɑ̃1"		"鄉音字類"			
"黨"	"黨"	"tɑ̃3"		"鄉音字類"			
"䣊"	"䣊"	"tɑ̃3"		"鄉音字類"			
"黨"	"党"	"tɑ̃3"		"鄉音字類"			
"湯"	"湯"	"tʰɑ̃1"		"鄉音字類"			
"鐋"	"鐋"	"tʰɑ̃1"		"鄉音字類"			
"钂"	"钂"	"tʰɑ̃1"		"鄉音字類"			
"惝"	"惝"	"tʰɑ̃3"		"鄉音字類"			
"倘"	"倘"	"tʰɑ̃3"		"鄉音字類"			
"儻"	"儻"	"tʰɑ̃3"		"鄉音字類"			
"帑"	"帑"	"tʰɑ̃3"		"鄉音字類"			
"讜"	"讜"	"tʰɑ̃3"		"鄉音字類"			
"鐋"	"鐋"	"tʰɑ̃3"		"鄉音字類"			
"唐"	"唐"	"dɑ̃2"		"鄉音字類"			
"塘"	"塘"	"dɑ̃2"		"鄉音字類"			
"搪"	"搪"	"dɑ̃2"		"鄉音字類"			
"餹"	"餹"	"dɑ̃2"		"鄉音字類"			
"螗"	"螗"	"dɑ̃2"		"鄉音字類"			
"堂"	"堂"	"dɑ̃2"		"鄉音字類"			
"螳"	"螳"	"dɑ̃2"		"鄉音字類"			
"棠"	"棠"	"dɑ̃2"		"鄉音字類"			
"簜"	"簜"	"dɑ̃6"		"鄉音字類"			
"蕩"	"蕩"	"dɑ̃6"		"鄉音字類"			
"璗"	"璗"	"dɑ̃6"		"鄉音字類"			
"盪"	"盪"	"dɑ̃6"		"鄉音字類"			
"宕"	"宕"	"dɑ̃6"		"鄉音字類"			
"碭"	"碭"	"dɑ̃6"		"鄉音字類"			
"囊"	"囊"	"nɑ̃2"		"鄉音字類"			
"瓤"	"瓤"	"nɑ̃2"		"鄉音字類"			
"曩"	"曩"	"nɑ̃4"		"鄉音字類"			
"廊"	"廊"	"lɑ̃2"		"鄉音字類"			
"榔"	"榔"	"lɑ̃2"		"鄉音字類"			
"桹"	"桹"	"lɑ̃2"		"鄉音字類"			
"郎"	"郎"	"lɑ̃2"		"鄉音字類"			
"筤"	"筤"	"lɑ̃2"		"鄉音字類"			
"狼"	"狼"	"lɑ̃2"		"鄉音字類"			
"稂"	"稂"	"lɑ̃2"		"鄉音字類"			
"琅"	"琅"	"lɑ̃2"		"鄉音字類"			
"閬"	"閬"	"lɑ̃6"		"鄉音字類"			
"浪"	"浪"	"lɑ̃6"		"鄉音字類"			
"臧"	"臧"	"ʦɑ̃1"		"鄉音字類"			
"牂"	"牂"	"ʦɑ̃1"		"鄉音字類"			
"贓"	"贓"	"ʦɑ̃1"		"鄉音字類"			
"淙"	"淙"	"ʦɑ̃1"		"鄉音字類"			
"鏦"	"鏦"	"ʦɑ̃1"		"鄉音字類"			
"摐"	"摐"	"ʦɑ̃1"		"鄉音字類"			
"葬"	"葬"	"ʦɑ̃5"		"鄉音字類"			
"倉"	"倉"	"ʦʰɑ̃1"		"鄉音字類"			
"滄"	"滄"	"ʦʰɑ̃1"		"鄉音字類"			
"鶬"	"鶬"	"ʦʰɑ̃1"		"鄉音字類"			
"蒼"	"蒼"	"ʦʰɑ̃1"		"鄉音字類"			
"桑"	"桑"	"sɑ̃1"		"鄉音字類"			
"喪"	"喪"	"sɑ̃1"		"鄉音字類"			
"顙"	"顙"	"sɑ̃3"		"鄉音字類"			
"磉"	"磉"	"sɑ̃3"		"鄉音字類"			
"藏"	"藏"	"zɑ̃2"		"鄉音字類"			
"奘"	"奘"	"zɑ̃4"		"鄉音字類"			
"臟"	"臟"	"zɑ̃6"		"鄉音字類"			
"鋼"	"鋼"	"kɑ̃1"		"鄉音字類"			
"綱"	"綱"	"kɑ̃1"		"鄉音字類"			
"剛"	"剛"	"kɑ̃1"		"鄉音字類"			
"岡"	"岡"	"kɑ̃1"		"鄉音字類"			
"茳"	"茳"	"kɑ̃1"		"鄉音字類"			
"釭"	"釭"	"kɑ̃1"		"鄉音字類"			
"矼"	"矼"	"kɑ̃1"		"鄉音字類"			
"杠"	"杠"	"kɑ̃1"		"鄉音字類"			
"扛"	"扛"	"kɑ̃1"		"鄉音字類"			
"缸"	"缸"	"kɑ̃1"		"鄉音字類"			
"笐"	"笐"	"kɑ̃1"		"鄉音字類"			
"罡"	"罡"	"kɑ̃1"		"鄉音字類"			
"康"	"康"	"kʰɑ̃1"		"鄉音字類"			
"穅"	"穅"	"kʰɑ̃1"		"鄉音字類"			
"慷"	"慷"	"kʰɑ̃3"		"鄉音字類"			
"忼"	"忼"	"kʰɑ̃3"		"鄉音字類"			
"亢"	"亢"	"kʰɑ̃5"		"鄉音字類"			
"伉"	"伉"	"kʰɑ̃5"		"鄉音字類"			
"抗"	"抗"	"kʰɑ̃5"		"鄉音字類"			
"炕"	"炕"	"kʰɑ̃5"		"鄉音字類"			
"昂"	"昂"	"ŋɑ̃2"		"鄉音字類"			
"卬"	"卬"	"ŋɑ̃2"		"鄉音字類"			
"杭"	"杭"	"ɦɑ̃2"		"鄉音字類"			
"航"	"航"	"ɦɑ̃2"		"鄉音字類"			
"吭"	"吭"	"ɦɑ̃2"		"鄉音字類"			
"頏"	"頏"	"ɦɑ̃2"		"鄉音字類"			
"盎"	"盎"	"ɑ̃1"		"鄉音字類"			
"沆"	"沆"	"ɑ̃1"		"鄉音字類"			
"洸"	"洸"	"kuɑ̃1"		"鄉音字類"			
"光"	"光"	"kuɑ̃1"		"鄉音字類"			
"桄"	"桄"	"kuɑ̃1"		"鄉音字類"			
"觥"	"觥"	"kuɑ̃1"		"鄉音字類"			
"絖"	"絖"	"kuɑ̃1"		"鄉音字類"			
"廣"	"廣"	"kuɑ̃3"		"鄉音字類"			
"曠"	"曠"	"kʰuɑ̃5"		"鄉音字類"			
"纊"	"纊"	"kʰuɑ̃5"		"鄉音字類"			
"卝"	"卝"	"kʰuɑ̃5"		"鄉音字類"			
"狂"	"狂"	"ɡuɑ̃2"		"鄉音字類"			
"荒"	"荒"	"huɑ̃1"		"鄉音字類"			
"肓"	"肓"	"huɑ̃1"		"鄉音字類"			
"䀮"	"䀮"	"huɑ̃1"		"鄉音字類"			
"晃"	"晃"	"huɑ̃3"		"鄉音字類"			
"幌"	"幌"	"huɑ̃3"		"鄉音字類"			
"滉"	"滉"	"huɑ̃3"		"鄉音字類"			
"皝"	"皝"	"huɑ̃3"		"鄉音字類"			
"㑆"	"㑆"	"huɑ̃3"		"鄉音字類"			
"謊"	"謊"	"huɑ̃3"		"鄉音字類"			
"慌"	"慌"	"huɑ̃3"		"鄉音字類"			
"貺"	"貺"	"huɑ̃5"		"鄉音字類"			
"況"	"況"	"huɑ̃5"		"鄉音字類"			
"黄"	"黄"	"ɦuɑ̃2"		"鄉音字類"			
"璜"	"璜"	"ɦuɑ̃2"		"鄉音字類"			
"潢"	"潢"	"ɦuɑ̃2"		"鄉音字類"			
"簧"	"簧"	"ɦuɑ̃2"		"鄉音字類"			
"煌"	"煌"	"ɦuɑ̃2"		"鄉音字類"			
"皇"	"皇"	"ɦuɑ̃2"		"鄉音字類"			
"篁"	"篁"	"ɦuɑ̃2"		"鄉音字類"			
"惶"	"惶"	"ɦuɑ̃2"		"鄉音字類"			
"徨"	"徨"	"ɦuɑ̃2"		"鄉音字類"			
"偟"	"偟"	"ɦuɑ̃2"		"鄉音字類"			
"隍"	"隍"	"ɦuɑ̃2"		"鄉音字類"			
"蝗"	"蝗"	"ɦuɑ̃2"		"鄉音字類"			
"凰"	"凰"	"ɦuɑ̃2"		"鄉音字類"			
"艎"	"艎"	"ɦuɑ̃2"		"鄉音字類"			
"喤"	"喤"	"ɦuɑ̃2"		"鄉音字類"			
"鍠"	"鍠"	"ɦuɑ̃2"		"鄉音字類"			
"王"	"王"	"ɦuɑ̃2"		"鄉音字類"			
"旺"	"旺"	"ɦuɑ̃6"		"鄉音字類"			
"汪"	"汪"	"uɑ̃1"	"姓"	"鄉音字類"			
"尪"	"尪"	"uɑ̃1"		"鄉音字類"			
"枉"	"枉"	"uɑ̃3"	"冤~"	"鄉音字類"			
"往"	"往"	"uɑ̃3"	"~來"	"鄉音字類"			
"暀"	"暀"	"uɑ̃3"		"鄉音字類"			
"江"	"江"	"ʨiɑ̃1"		"鄉音字類"			
"𧢸"	"𧢸"	"ʨiɑ̃1"		"鄉音字類"			
"䚗"	"䚗"	"ʨiɑ̃1"		"鄉音字類"			
"茳"	"茳"	"ʨiɑ̃1"		"鄉音字類"			
"講"	"講"	"ʨiɑ̃3"		"鄉音字類"			
"港"	"港"	"ʨiɑ̃3"		"鄉音字類"			
"降"	"降"	"ʨiɑ̃5"		"鄉音字類"			
"絳"	"絳"	"ʨiɑ̃5"		"鄉音字類"			
"洚"	"洚"	"ʨiɑ̃5"		"鄉音字類"			
"腔"	"腔"	"ʨʰiɑ̃1"		"鄉音字類"			
"项"	"项"	"ɦiɑ̃2"		"鄉音字類"			
"銗"	"銗"	"ɦiɑ̃2"		"鄉音字類"			
"巷"	"巷"	"ɦiɑ̃6"		"鄉音字類"			
"打"	"打"	"tã3"		"鄉音字類"			
"坑"	"坑"	"kʰã1"		"鄉音字類"			
"粱"	"粱"	"liã2"		"鄉音字類"			
"梁"	"梁"	"liã2"		"鄉音字類"			
"糧"	"糧"	"liã2"		"鄉音字類"			
"良"	"良"	"liã2"		"鄉音字類"			
"涼"	"涼"	"liã2"		"鄉音字類"			
"两"	"两"	"liã4"		"鄉音字類"			
"俩"	"俩"	"liã4"		"鄉音字類"			
"緉"	"緉"	"liã4"		"鄉音字類"			
"諒"	"諒"	"liã6"		"鄉音字類"			
"量"	"量"	"liã6"		"鄉音字類"			
"亮"	"亮"	"liã6"		"鄉音字類"			
"陽"	"陽"	"ɦiã2"		"鄉音字類"			
"楊"	"楊"	"ɦiã2"		"鄉音字類"			
"揚"	"揚"	"ɦiã2"		"鄉音字類"			
"暘"	"暘"	"ɦiã2"		"鄉音字類"			
"敭"	"敭"	"ɦiã2"		"鄉音字類"			
"羊"	"羊"	"ɦiã2"		"鄉音字類"			
"洋"	"洋"	"ɦiã2"		"鄉音字類"			
"佯"	"佯"	"ɦiã2"		"鄉音字類"			
"徉"	"徉"	"ɦiã2"		"鄉音字類"			
"痒"	"痒"	"ɦiã2"		"鄉音字類"			
"癢"	"癢"	"ɦiã4"		"鄉音字類"			
"養"	"養"	"ɦiã4"		"鄉音字類"			
"鞅"	"鞅"	"ɦiã4"		"鄉音字類"			
"怏"	"怏"	"ɦiã4"		"鄉音字類"			
"坱"	"坱"	"ɦiã4"		"鄉音字類"			
"樣"	"樣"	"ɦiã6"		"鄉音字類"			
"漾"	"漾"	"ɦiã6"		"鄉音字類"			
"恙"	"恙"	"ɦiã6"		"鄉音字類"			
"瀁"	"瀁"	"ɦiã6"		"鄉音字類"			
"漿"	"漿"	"ʦiã1"		"鄉音字類"			
"將"	"將"	"ʦiã1"		"鄉音字類"			
"蔣"	"蔣"	"ʦiã3"		"鄉音字類"			
"奖"	"奖"	"ʦiã3"		"鄉音字類"			
"桨"	"桨"	"ʦiã3"		"鄉音字類"			
"醬"	"醬"	"ʦiã5"		"鄉音字類"			
"瑲"	"瑲"	"ʦʰiã1"		"鄉音字類"			
"蹌"	"蹌"	"ʦʰiã1"		"鄉音字類"			
"鎗"	"鎗"	"ʦʰiã1"		"鄉音字類"			
"槍"	"槍"	"ʦʰiã1"		"鄉音字類"			
"鏘"	"鏘"	"ʦʰiã1"		"鄉音字類"			
"蹡"	"蹡"	"ʦʰiã1"		"鄉音字類"			
"斨"	"斨"	"ʦʰiã1"		"鄉音字類"			
"螿"	"螿"	"ʦʰiã1"		"鄉音字類"			
"相"	"相"	"siã1"		"鄉音字類"			
"緗"	"緗"	"siã1"		"鄉音字類"			
"湘"	"湘"	"siã1"		"鄉音字類"			
"箱"	"箱"	"siã1"		"鄉音字類"			
"廂"	"廂"	"siã1"		"鄉音字類"			
"襄"	"襄"	"siã1"		"鄉音字類"			
"驤"	"驤"	"siã1"		"鄉音字類"			
"想"	"想"	"siã3"		"鄉音字類"			
"鮺"	"鮺"	"siã3"		"鄉音字類"			
"詳"	"詳"	"ziã2"		"鄉音字類"			
"庠"	"庠"	"ziã2"		"鄉音字類"			
"詳"	"詳"	"ziã2"		"鄉音字類"			
"翔"	"翔"	"ziã2"		"鄉音字類"			
"牆"	"牆"	"ziã2"		"鄉音字類"			
"檣"	"檣"	"ziã2"		"鄉音字類"			
"嬙"	"嬙"	"ziã2"		"鄉音字類"			
"戕"	"戕"	"ziã2"		"鄉音字類"			
"廧"	"廧"	"ziã2"		"鄉音字類"			
"象"	"象"	"ziã4"		"鄉音字類"			
"像"	"像"	"ziã4"		"鄉音字類"			
"橡"	"橡"	"ziã4"		"鄉音字類"			
"匠"	"匠"	"ziã6"		"鄉音字類"			
"姜"	"姜"	"ʨiã1"		"鄉音字類"			
"薑"	"薑"	"ʨiã1"		"鄉音字類"			
"疆"	"疆"	"ʨiã1"		"鄉音字類"			
"韁"	"韁"	"ʨiã1"		"鄉音字類"			
"繮"	"繮"	"ʨiã1"		"鄉音字類"			
"僵"	"僵"	"ʨiã1"		"鄉音字類"			
"鏹"	"鏹"	"ʨiã3"		"鄉音字類"			
"襁"	"襁"	"ʨiã3"		"鄉音字類"			
"蜣"	"蜣"	"ʨʰiã1"		"鄉音字類"			
"羌"	"羌"	"ʨʰiã1"		"鄉音字類"			
"筐"	"筐"	"ʨʰiã1"		"鄉音字類"			
"匡"	"匡"	"ʨʰiã1"		"鄉音字類"			
"眶"	"眶"	"ʨʰiã1"		"鄉音字類"			
"強"	"強"	"ʥiã2"		"鄉音字類"			
"彊"	"彊"	"ʥiã2"		"鄉音字類"			
"香"	"香"	"ɕiã1"		"鄉音字類"			
"薌"	"薌"	"ɕiã1"		"鄉音字類"			
"鄉"	"鄉"	"ɕiã1"		"鄉音字類"			
"響"	"響"	"ɕiã3"		"鄉音字類"			
"嚮"	"嚮"	"ɕiã3"		"鄉音字類"			
"饗"	"饗"	"ɕiã3"		"鄉音字類"			
"蠁"	"蠁"	"ɕiã3"		"鄉音字類"			
"曏"	"曏"	"ɕiã3"		"鄉音字類"			
"饟"	"饟"	"ɕiã5"		"鄉音字類"			
"餉"	"餉"	"ɕiã5"		"鄉音字類"			
"曏"	"曏"	"ɕiã5"		"鄉音字類"			
"向"	"向"	"ɕiã5"		"鄉音字類"			
"孃"	"孃"	"ȵiã2"		"鄉音字類"			
"娘"	"娘"	"ȵiã2"		"鄉音字類"			
"仰"	"仰"	"ȵiã4"		"鄉音字類"			
"釀"	"釀"	"ȵiã6"		"鄉音字類"			
"央"	"央"	"iã1"	"中~"	"鄉音字類"			
"秧"	"秧"	"iã1"	"插~"	"鄉音字類"			
"泱"	"泱"	"iã1"		"鄉音字類"			
"鴦"	"鸯"	"iã1"		"鄉音字類"			
"殃"	"殃"	"iã1"	"遭~"	"鄉音字類"			
"包"	"包"	"pæ1"		"鄉音字類"			
"苞"	"苞"	"pæ1"		"鄉音字類"			
"胞"	"胞"	"pæ1"		"鄉音字類"			
"褒"	"褒"	"pæ1"		"鄉音字類"			
"褒"	"褒"	"pøʏ1"	"~獎"	"蘇州同音常用字彙"			
"裦"	"裦"	"pæ1"		"鄉音字類"			
"煲"	"煲"	"pæ1"	"~一~"	"蘇州同音常用字彙"			
"保"	"保"	"pæ3"		"鄉音字類"			
"葆"	"葆"	"pæ3"		"鄉音字類"			
"褓"	"褓"	"pæ3"		"鄉音字類"			
"鴇"	"鸨"	"pæ3"		"鄉音字類"			
"寶"	"宝"	"pæ3"		"鄉音字類"			
"堡"	"堡"	"pæ3"		"鄉音字類"			
"飽"	"饱"	"pæ3"		"鄉音字類"			
"豹"	"豹"	"pæ5"		"鄉音字類"			
"報"	"報"	"pæ5"		"鄉音字類"			
"儤"	"儤"	"pæ5"		"鄉音字類"			
"爆"	"爆"	"pæ5"	"~眼睛；~炒米花"	"蘇州同音常用字彙"			
"泡"	"泡"	"pʰæ1"		"鄉音字類"			
"抛"	"抛"	"pʰæ1"		"鄉音字類"			
"礮"	"礮"	"pʰæ1"		"鄉音字類"			
"砲"	"砲"	"pʰæ1"		"鄉音字類"			
"匏"	"匏"	"bæ2"		"鄉音字類"			
"炮"	"炮"	"bæ2"		"鄉音字類"			
"炰"	"炰"	"bæ2"		"鄉音字類"			
"庖"	"庖"	"bæ2"		"鄉音字類"			
"跑"	"跑"	"bæ2"		"鄉音字類"			
"袍"	"袍"	"bæ2"		"鄉音字類"			
"鮑"	"鮑"	"bæ4"		"鄉音字類"			
"抱"	"抱"	"bæ4"		"鄉音字類"			
"暴"	"暴"	"bæ6"		"鄉音字類"			
"毛"	"毛"	"mæ2"		"鄉音字類"			
"髦"	"髦"	"mæ2"		"鄉音字類"			
"旄"	"旄"	"mæ2"		"鄉音字類"			
"氂"	"氂"	"mæ2"		"鄉音字類"			
"貓"	"貓"	"mæ2"		"鄉音字類"			
"茅"	"茅"	"mæ2"		"鄉音字類"			
"犛"	"犛"	"mæ2"		"鄉音字類"			
"卯"	"卯"	"mæ4"		"鄉音字類"			
"泖"	"泖"	"mæ4"		"鄉音字類"			
"昴"	"昴"	"mæ4"		"鄉音字類"			
"冒"	"冒"	"mæ6"		"鄉音字類"			
"帽"	"帽"	"mæ6"		"鄉音字類"			
"媢"	"媢"	"mæ6"		"鄉音字類"			
"芼"	"芼"	"mæ6"		"鄉音字類"			
"眊"	"眊"	"mæ6"		"鄉音字類"			
"耄"	"耄"	"mæ6"		"鄉音字類"			
"瑁"	"瑁"	"mæ6"		"鄉音字類"			
"貌"	"貌"	"mæ6"		"鄉音字類"			
"刀"	"刀"	"tæ1"		"鄉音字類"			
"舠"	"舠"	"tæ1"		"鄉音字類"			
"忉"	"忉"	"tæ1"		"鄉音字類"			
