漢字	雲陽話	訪仙話	河陽話	埤城話
殘	ʦʰæ31	ʦᴀ31	ʦʰæ24	ʦʰæ25
珊	sæ33	sᴀ55	sæ33	sæ51
幹	keŋ33	kʏ55	koŋ33	kœ51
肝	keŋ33	kʏ55	koŋ33	kœ51
竿（竹竿）	keŋ33	kʏ55	koŋ33	kæ51
乾	keŋ33	kʏ55	koŋ33	kœ51
看（看守）	kʰeŋ33	kʰʏ55	kʰoŋ33	kʰœ51
刊	kʰeŋ33	kʰʏ55	kʰoŋ33	kʰœ25
寒	xeŋ25	xʏ31	xoŋ24	xœ25
韓	xeŋ25	xʏ31	xɑn24	xœ25
安	ŋ̩33	ʏ55	ɑn33	œ51
鞍	ŋ̩33	ʏ55	ɑn33	œ51
撣（雞毛撣子）	tæ55	tᴀ41	tɑ55	tæ25
坦	tæ55	tʰᴀ41	tɑ24	tʰæ25
誕	tæ31	tᴀ325	tɑ55	tæ51
懶	læ25	lᴀ325	læ24	læ25
散（鞵帶散了）	sæ55	sᴀ41	sɑ55	sæ51
傘	sæ55	sᴀ41	sɑ55	sæ33
杆	keŋ55	kʏ55	koŋ55	kœ33
稈（稻稈）	keŋ55	kʏ55	koŋ55	kᴀ33
擀（擀麪）	keŋ55	kʏ55	koŋ55	kœ33
趕	keŋ55	kʏ31	koŋ55	kœ33
罕		xʏ31	xoŋ24	xæ33
旱	xəŋ25	xʏ41	xoŋ31	xʊ51
旦	tæ424	tᴀ55	tæ55	tæ41
炭	tʰæ424	tʰᴀ434	tʰæ31	tʰæ41
歎	tʰæ424	tʰᴀ434	tʰæ31	tʰæ25
但	tʰæ31	tᴀ41	tæ31	tæ41
彈（子彈）	tæ25	tᴀ325	tæ24	tæ41
蛋	tæ31	tᴀ325	tæ31	tæ41
難（患難）	næ33	nᴀ55	næ31	næ41
爛	læ31	lᴀ325	læ31	læ41
贊	ʦæ55	ʦᴀ434	ʦæ31	ʦæ25
灒（濺：～了一身水）	ʦæ424	ʦᴀ434	ʦæ31	ʦæ25
燦	ʦʰæ424	ʦʰᴀ41	ʦʰæ31	ʦʰæ25
散（分散）	sæ33	sᴀ434	sæ31	sæ25
幹	keŋ424	kʏ55	kɑn31	kæ33
看（看見）	kʰeŋ55	kʰʏ434	kʰoŋ31	kʰœ41
岸	ŋ̩31	ʏ434	ŋ̩31	œ41
漢		xʏ434	xoŋ31	xœ41
汗	xeŋ25	xʏ325	xoŋ31	xœ41
焊（焊鐵壺）	xeŋ25	xʏ31	xoŋ31	xœ41
翰	xeŋ31	xʏ31	xɑn31	xœ41
按	ŋ̩31	ʏ41	ŋ̩31	œ41
案	ŋ̩424	ʏ434	ŋ̩31	œ41
獺(水獺)	tʰɑʔ44	tʰᴀʔ44		tʰᴀʔ44
達	tɑʔ12	tᴀʔ31	tɑʔ33	tᴀʔ44
捺(撇捺)	nɑʔ12	nᴀʔ31	nɑʔ24	nᴀʔ44
辣	lɑʔ12	lᴀʔ31	lɑʔ24	lᴀʔ44
瘌（疤瘌，瘌痢）	lɑʔ44	lᴀʔ44	lɑʔ33	lᴀʔ41
擦	ʦʰɑʔ44	ʦᴀʔ44	ʦʰɑʔ33	ʦʰᴀʔ44
撒（撒手,撒種）	sɑʔ44	sᴀʔ31	sɑʔ33	sᴀʔ44
薩	sɑʔ44	sᴀʔ31	sɑʔ33	sᴀʔ44
割	kuɔʔ44	kəʔ44	kuəʔ33	kəʔ44
葛	kuɔʔ44	kəʔ44	kəʔ33	kəʔ44
喝(喝彩,吆喝)		xəʔ31	xəʔ33	xuʔ44
山	sæ33	sᴀ55	sæ33	sæ51
艱	ʨi33	ʨi31	ʨi33	ʨiæ41
間(中間)	kɑ33	kᴀ55	kæ33	kæ51
間(空間)	ʨi33	ʨi55	ʨi33	ʨi51
閑	xæ25	xᴀ31	xæ24	xæ25
盞	ʦæ55	ʦᴀʔ44	ʦæ55	ʦæ51
鏟	ʦʰæ55	ʦʰᴀ41	ʦʰæ55	ʦʰæ25
產	ʦʰæ55	ʦʰᴀ41	ʦʰæ24	ʦʰæ25
簡	ʨi55	ɕi434	ʨi55	ʨiæ25
柬	ʨi55		ʨi55	ʨiæ25
揀	ʨi55	kᴀ41	ʨi55	kæ33
眼	ŋæ55	ŋᴀ325	ŋæ55	ŋæ25
限	xɑ31	xᴀ434	ɕi31	xæ51
扮		pᴀ434	pæ24	pæ41
盼	peŋ424	pʰʏ434	poŋ31	pʰæ41
瓣	pæ25	pᴀ325	pæ24	pæ25
辦	pæ31	pᴀ325	pæ31	pæ41
間(間斷,間或)		ʨi434	ʨi31	ʨiæ41
莧	xɑ31	xᴀ55	kɑ31	xæ41
八	pɑʔ44	pᴀʔ44	pɑʔ33	pᴀʔ44
拔	pɑʔ12	pᴀʔ31	pɑʔ24	pᴀʔ44
抹(抹桌子)	mɑʔ44	mᴀʔ31	mɑʔ31	mᴀʔ44
劄	kɑʔ12	ʦᴀʔ44	ʦɑʔ33	ʦᴀʔ44
紮(紮營，紮辮子)	ʦɑʔ44	ʦᴀʔ44	ʦɑʔ33	ʦᴀʔ44
察	ʦʰɑʔ44	ʦʰᴀʔ44	ʦʰɑʔ33	ʦʰᴀʔ44
殺	sɑʔ44	sᴀʔ44	sɑʔ33	sᴀʔ44
軋(被車軋)	ɑʔ44	kᴀʔ31	ɑʔ33	kᴀʔ44
班	pæ33	pᴀ55	pæ33	pæ51
斑	pæ33	pᴀ55	pæ33	pæ51
頒	pæ33	pᴀ55	pæ33	pæ51
扳(扳倒)	pæ33	pᴀ55	pæ33	pæ51
攀	pʰeŋ33	pʰʏ55	pʰoŋ33	pʰæ33
扳(扳手跤)	pæ33	pᴀ55	pæ33	pæ51
蠻	mæ33	mᴀ31	mæ33	mæ51
刪	sæ33	sᴀ55	sæ33	sæ25
奸	ʨi33	ɕi55	ʨi33	ʨiɛ51
顏	ŋæ25	ŋᴀ325	ŋæ24	ŋæ25
板	pæ55	pᴀ41	pæ55	pæ33
版	pæ55	pᴀ41	pæ55	pæ33
慢	mæ31	mᴀ325	mæ31	mæ41
棧	ʦæ31	ʦᴀ31	ʦæ31	ʦæ41
疝(疝氣)	sæ424	ɕi41		
諫	ʨi424	kᴀ55	ʨi31	kæ41
雁	i31	i434	ŋæ31	ŋæ41
晏(晚也)		ᴀ434		æ41
鍘(鍘刀)	ʦɑʔ44	sᴀʔ31	ʦɑʔ33	ʦᴀʔ44
瞎	xɑʔ44	xᴀʔ44	xɑʔ33	ɕiᴀʔ44
轄(管轄)	ɕiɑʔ44	ɕiᴀʔ44	xɑʔ33	ɕiᴀʔ44
鞭	pi33	pi55	pi33	pi51
編	pi33	pi55	pi33	pi51
篇	pʰi33	pʰi434	pʰi33	pʰi51
偏	pʰi33	pʰi55	pʰi33	pʰi51
便(便宜)	pi31	pi31	pi31	pi51
綿	mi31	mi325	mi31	mi25
棉	mi31	mi325	mi31	mi25
連	li31	li55	li33	li25
聯	li31	li31	li33	li25
煎	ʨi33	ɕi55	ʨi33	ʨi51
遷	ʨʰi33	ʨʰi55	ʨʰi33	ʨʰi51
錢	ʨʰi35	ɕi325	ʨi24	ʨi25
仙	ɕi33	ɕi55	ɕi33	ɕi51
鮮(新鮮)	ɕi33	ɕi55	ɕi33	ɕi51
纏	ʦʰæ25		ʦʰæ24	ʨʰi25
氈(氈子)	ʦæ33	ʨʏ55	ʦæ33	ʨiou51
扇(動詞)	ɕi33	ɕi55	ɕi33	ɕiou51
然	læ25	lᴀ325	læ24	iæ25
燃	læ25	lᴀ325	læ24	iæ25
乾(乾坤)	ʨʰi33	ɕi31	ʨʰi33	ʨʰi25
蔫(食物不新鮮)	ȵi33	i55	ȵi33	i51
焉(心不在焉)	i33	i55	ȵi33	i25
延	i31	i31	i24	i25
筵	i33	i55	i31	i25
辨	pi31	pi325	pi31	pi51
辯	pi31	pi325	pi31	pi51
免	mi31	mi55	mi24	mi25
勉	mi55	mi55	mi31	mi25
緬	mi55	mi55	mi31	mi51
碾	ȵi25	ȵi325	ȵi31	ȵi25
輦	ȵi25	ȵi55		ȵi25
剪	ʨi55	ʨi41	ʨi55	ʨi33
淺	ʨʰi55	ʨʰi41	ʨʰi55	ʨʰi25
踐	ʨi31	ʨi31	ʨi31	ʨi51
蘚	ɕi55	ɕi41		ɕi51
展	ʦæ55	ʨi41白讀、ʦᴀ55文讀	ʦæ24	ʦæ33
善	sæ31	ɕi325	sæ31	ɕiou25
遣	ʨʰi25	ʨʰi434	ʨʰi31	ʨʰi51
件	ʨi55	ʨi325	ʨi31	ʨi51
演	i31	i325	i24	i25
變	pi424	pi434	pi24	pi25
騙（欺騙）	pʰi51	pʰi434	pʰi31	pʰi25
汴	pi31	pi325	pi31	pi41
便（方便）	pi55	pi325	pi31	pi41
面	mi55	mi325	mi31	mi41
箭	ʨi424	ɕi434	ʨi24	ʨi41
賤	ʨi31	ɕi434	ʨi31	ʨi41
線	ɕi424	ɕi434	ɕi24	ɕi41
羨	ɕi31	ɕi434	ɕi31	ɕi41
戰	ʦæ424	ʨi434白讀、ʦᴀ434文讀	ʦæ31	ʦæ25
扇	ɕi33	ɕi55	ɕi31	ɕiou41
單（姓）	sæ31	ɕi325	ɕi31	ʦʰæ25
諺	i31	iɛʔ31	i31	iʔ44
別（區別）	piəʔ44	piɛʔ31	piɛʔ33	piʔ44
鱉	piəʔ44	piɛʔ44	piɛʔ33	piʔ44
別（離別）	piəʔ44	piɛʔ31	piɛʔ33	piʔ44
滅	miəʔ44	miɛʔ31	miɛʔ33	miʔ44
列	liəʔ31	liɛʔ31	liɛʔ33	liʔ44
烈	liəʔ31	liɛʔ31	liɛʔ31	liʔ44
裂	liəʔ31	liɛʔ31	liɛʔ31	liʔ44
薛	ɕyɔʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
泄（洩漏）	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
哲	ʦəʔ12	ʦəʔ44	ʦəʔ33	ʦəʔ44
蜇（蠍子蜇人）	ʦəʔ44	ʨɿ55		ʦəʔ44
徹	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ31	ʦʰəʔ44
撤	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ31	ʦʰəʔ44
折（折斷）	ʦəʔ44		ʦəʔ33	ʦəʔ44
浙	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
舌	səʔ31	səʔ31	səʔ31	ɕyəʔ44
設	səʔ44	səʔ44	səʔ33	səʔ44
折（弄折了）	səʔ12	səʔ31	səʔ31	ʦəʔ44
熱	ȵiəʔ12	ȵiɛʔ31	ȵiɛʔ31	ȵiʔ44
傑	ʨiəʔ44	ʨiɛʔ31	ʨiɛʔ33	ʨiʔ44
孽	ȵiəʔ12	ȵiɛʔ31	ȵiɛʔ24	niʔ44
犍（犍子）	ʨi33	ɕi55	ʨi33	ʨi25
言	i31	i325	i24	i25
軒		ɕʏ55	ɕyɑn33	ɕyæ51
掀	ɕi33	ɕi55	ɕi33	ɕi51
蔫（花萎）	ȵi33	i55	ȵi33	i51
鍵	ʨi55	ʨi41	ʨi55	ʨi25
建	ʨi424	ɕi434	ʨi31	ʨi25
健	ʨi31	ɕi31	ʨi31	ʨi25
憲	ɕi424	ɕi434	ɕi31	ɕi41
獻	ɕi424	ɕi434	ɕi31	ɕi41
堰（堤～，～塘）		i434		i41
揭	xəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
蠍	ɕiəʔ44	ɕiɛʔ44		ɕiʔ44
歇	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
邊	pi33	pi55	pi33	pi51
蝙	pi33	pi55	pi33	pi51
眠	miŋ31	mi55	miŋ24	mi25
顛	ti33	ti41	ti33	ti51
天	tʰi33	tʰi55	tʰi33	tʰi51
田	ti25	ti31	ti24	ti25
填	ti25	ti31	ti24	ti25
年	ȵi31	ȵi55	ȵi33	ȵi51
憐	li25	li55	liŋ33	li33
蓮	li31	li55	li31	li25
箋		ʨʰi55	ʨʰi33	
千	ʨʰi33	ʨʰi55	ʨʰi33	ʨʰi51
前	ʨʰi25	ɕi325	ɕi24	ʨʰi25
先	ɕi33	ɕi55	ɕi33	ɕi51
肩	ʨi33	ʨi55	ʨi33	ʨi51
堅	ʨi33	ʨi55	ʨi33	ʨi51
牽	ʨʰi33	ʨʰi55	ʨʰi33	ʨʰi51
研	ȵi31	ȵi55	ȵi33	ȵi25
賢	ɕi25	ɕi31	ɕi24	ɕi51
弦	ɕi25	ɕi31	ɕi24	ɕi25
煙	i33	i55	i33	i51
燕（燕京,姓）	i33	i55	i33	i25
扁	pi55	pi41	pi55	pi33
匾	pi55	pi41	pi55	pi33
辮	pi31	pi325	pi55	pi51
典	ti55	ti41	ti55	ti51
撚（以指撚碎）	ȵi55	ȵi325		ȵi25
攆	ȵi35	ȵi325		ȵi25
繭	ʨi55	ʨi434	ʨi55	ʨi33
趼（～子,老～）	ʨi55	ʨi434	ʨi55	ʨi33
顯	ɕi55	ɕi434	ɕi55	ɕi33
遍（一遍）	pi424	pi434	pʰi24	pi41
遍（遍地）	pi51	pʰi434	pʰi31	pʰi25
片	pʰi51	pʰi434	pʰi24	pʰi25
麪（麪粉）	mi424	mi434	mi31	mi41
電	ti31	ti325	ti31	ti41
殿	ti31	ti434	ti31	ti41
奠		ti434	ti31	ti41
佃	ti31	ti325	ti31	ti41
填（墊錢）	ti31	ti325	ti31	ti41
練	li31	li325	ti31	li41
煉	li31	li325	ti31	li41
楝（楝樹）	li31	li325	ti31	li41
薦	ʨi424	ʨi434	ʨi31	ʨi25
見	ʨi424	ʨi434	ʨi31	ʨi25
硯	ȵi31	ȵi325	ȵi31	ȵi41
現	ɕi31	ɕi325	ɕi31	ɕi41
燕（燕子）	i33	i55	i55	i25
咽	i33	i434	i31	i25
宴	i31	i434	i31	i25
憋(閉)	piəʔ44	piɛʔ44	piɛʔ33	piʔ44
撇（撇捺,撇開）	pʰiəʔ44	pʰiɛʔ44	pʰiɛʔ33	pʰiʔ44
蔑（竹蔑）	miəʔ44	miɛʔ31	miɛʔ24	miʔ44
鐵	tʰiəʔ12	tʰiɛʔ44	tʰiɛʔ33	tʰiʔ44
捏	ȵiəʔ12	ȵiɛʔ31	ȵiɛʔ24	ȵiʔ44
節	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
切（切開）	ʨʰiəʔ44	ʨʰiɛʔ44	ʨʰiɛʔ33	ʨʰiʔ44
截	ʨiəʔ44	ɕiɛʔ31	ʨiɛʔ33	ʨiʔ44
屑（不屑）	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
屑（木屑）	ɕyɔʔ44	ɕiɛʔ44	ɕiɛʔ31	ɕiʔ44
結	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
潔	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
噎（噎住了）	iəʔ44	iɛʔ44	iɛʔ33	iʔ44
般	pæ33	pᴀ55	pæ33	pæ51
搬(般)	peŋ33	pʏ55	poŋ33	pœ51
潘	pʰeŋ33	pʰʏ55	pʰoŋ31	pʰœ51
拼（拚命）	pʰiŋ33	pʰiɪŋ55	pʰiŋ33	pʰiŋ51
盤	peŋ25	pʏ31	pəŋ24	pœ25
瞞(謾)	meŋ33	mʏ55	moŋ33	mœ51
饅（饅頭）	meŋ31	mʏ31	moŋ31	mœ25
端	teŋ33	tʏ55	toŋ33	tœ51
團	teŋ25	tʏ31	toŋ24	tœ25
團（飯團）	teŋ25	tʏ31	toŋ24	tœ25
鑽（動詞）	ʦeŋ33	ʨʏ55	ʨioŋ33	ʨiou25
酸	seŋ33	ɕʏ55	soŋ33	ɕiou51
官	keŋ33	kʏ55	koŋ33	kœ51
棺	keŋ33	kʏ55	koŋ33	kœ51
觀（參觀）	keŋ33	kʰʏ31	koŋ33	kœ51
冠	keŋ33	kuᴀ55	kuæ33	kœ51
寬	kʰeŋ33	kʰʏ55	kʰoŋ33	kʰœ51
歡	xeŋ33	xʏ31	xoŋ33	xœ51
桓	xeŋ25	xuɑi31		œ25
丸（肉丸,彈丸）	ʏ31	ʏ31	uɑn24	œ25
豌（豌豆）	ŋ̩33	ʏ55	xoŋ33	œ25
剜		uᴀ55	vɑ33	œ25
伴	peŋ25	pʏ325	poŋ24	pœ51
拌	peŋ25	pʏ325	poŋ24	pœ25
滿	meŋ55	mʏ55	moŋ55	mœ51
短	teŋ55	tʏ41	toŋ55	tœ33
斷（斷絕）	teŋ25	tʏ325	toŋ31	tœ51
暖	neŋ25	nʏ325	noŋ31	nœ25
卵		lʏ325	luɑn24	lœ25
攢（積攢）	ʦæ31	ʦᴀ41	ʦæ24	ʨiœ51
管	keŋ33	kʏ41	koŋ55	kœ33
館	keŋ55	kʏ41	koŋ55	kœ33
款	kʰeŋ55	kʰʏ41	kʰoŋ55	kʰœ25
緩		xuɑi434	25	uæ25
皖（安徽）	uɑn25	uɑɲ434	uɑn24	uæ25
碗	ŋ̩55	ʏ41	ŋ̩55	œ33
半	peŋ424	pʏ434	poŋ31	pœ25
絆	peŋ424	pʰᴀ434	poŋ31	pʰœ25
判	pʰeŋ424	pʰʏ434	pʰoŋ31	pʰœ25
叛	pʰeŋ31	pʏ434	pʰoŋ31	pʰu33
漫		mʏ55	mæ31	mœ41
幔	mæ31	mʏ55		mœ41
斷（決斷）	teŋ424	tʏ325	toŋ24	tœ25
鍛（鍛煉）	teŋ424	tʏ325	toŋ31	tœ41
段	teŋ31	tʏ325	toŋ31	tœ41
緞(段)	teŋ31	tʏ325	toŋ31	tœ41
椴	teŋ31	tʏ325	toŋ31	tœ41
亂	neŋ25	lʏ325	loŋ31	lœ41
鑽（木用工具）	ʦeŋ424	ʨʏ55	ʨioŋ24	ʨiœ25
竄	ʦʰeŋ424	ʨʰʏ55	ʨʰioŋ31	ʨʰiou41
算	seŋ424	ɕʏ434	soŋ31	ɕiou25
蒜	seŋ424	ɕʏ55	soŋ31	ɕiou41
貫	kuæ424	kuᴀ434	kuæ31	kuæ25
灌	keŋ424	kʏ434	koŋ31	kœ41
罐	keŋ424	kʏ55	koŋ31	kœ41
觀（寺觀）	keŋ424	kʏ434	koŋ55	kœ41
冠（冠軍）	keŋ424	kʏ55	koŋ31	kœ41
煥	xeŋ424	xʏ434	xuɑn31	xuæ41
換	ŋ̩31	xʏ325	ŋ̩31	œ41
腕	uæ25	ʏ41	uᴇn24	œ25
缽	pɔʔ44	pɘu55	pɔʔ33	pəʔ44
撥	pɔʔ44	pəʔ31	pəʔ24	pəʔ44
潑	pʰəʔ44	pʰəʔ31	pʰɔʔ33	pʰuʔ44
鈸	pɔʔ12	pəʔ44	pʰɔʔ33	poŋ25
末	mɔʔ12	məʔ44、mɔʔ44	mɔʔ33	mɔʔ44
沫	mɔʔ12	mɔʔ44	mɔʔ33	mɔʔ44
抹	mɑʔ44	mᴀʔ31	mɑʔ24	mɔʔ44
脫	tʰuəʔ12	tʰəʔ44	tʰɔʔ33	tʰuʔ44
奪	tuəʔ44	təʔ31	tɔʔ33	tuʔ44
捋（捋袖）	lu31	ləʔ31	lu33	lu51
撮（一撮米）	ʦɔʔ44	ʦʰuɔʔ44	ʦɔʔ33	
括（包括）	kʰuəʔ44	kuᴀʔ44	kuɑʔ33	kuᴀʔ44
聒（聒耳朵，聒噪）		kuɔʔ44	kuɑʔ33	
闊	kʰuəʔ44	kʰuɔʔ44	kʰuəʔ33	kʰuʔ44
豁（豁然，豁嘴，豁口）	xuəʔ44	xuɔʔ44	xuɔʔ33	
活	vəʔ12	uəʔ31	vəʔ24	uʔ44
頑（頑皮,頑固）	uæ25	uᴀ325	uæ24	væ25
幻	xueŋ31	xuᴀ325		xuæ41
滑	vɑʔ12	uᴀʔ31	uɑʔ24	vᴀʔ44
猾（狡猾）	vɑʔ12	uᴀʔ31	xuɑʔ24	vᴀʔ44
挖	vɑʔ12	uᴀʔ44	uɑʔ33	vᴀʔ44
閂	seŋ33	ɕʏ55	ɕyɑ33	ɕyæ51
拴(栓)	seŋ33	ɕʏ55	ɕyɑ33	ɕyæ51
關	kuæ33	kuᴀ55	kuæ33	kuæ51
還（還元）	xuɑ25	uᴀ31	uɑ24	væ25
還（還有）	ɑ31	uᴀ31	ɑ24	æ25
環	xuæ25	kuᴀ31	kuɑ24	kʰuæ25
彎	uæ33	uᴀ55	uɑ33	væ51
灣	uæ33	uᴀ55	uɑ33	væ51
篡	ʦʰeŋ424	ʨʰʏ41		ʨʰiou41
涮（涮洗）	suɑʔ44	ɕyᴀʔ44	ɕyɑʔ33	suᴀʔ44
慣	kuæ424	kuᴀ434	kuæ31	kuæ25
患	xeŋ31	xuᴀ325	xuæ31	xuæ41
宦	xeŋ31	uᴀ434	xuɑn31	xuæ41
刷	ɕyɑʔ44	ɕyᴀʔ44	ɕyɑʔ33	suᴀʔ44
刮	kuɑʔ44	kuᴀʔ44	kuɑʔ33	kuᴀʔ44
全	ʨʏ25	ɕʏ31	ʨʰioŋ24	ʨʰiou25
泉	ʨʰʏ25	ɕʏ31	ʨʰioŋ31	ʨʰiou25
宣	ɕʏ33	ɕʏ55	ɕioŋ33	ɕiou51
旋	ɕʏ33	ɕʏ325	ɕioŋ24	ɕiou25
傳（傳達）	ʦeŋ31	ʨʏ325	ʨioŋ31	ʨiou25
椽	ʦeŋ31	ʨʏ31	ʨioŋ31	ʨiou25
專	ʦeŋ33	ʨʏ55	ʨioŋ33	ʨiou51
磚	ʦeŋ33	ʨʏ55	ʨioŋ33	ʨiou51
川	ʦʰeŋ33	ʨʰʏ55	ʨʰioŋ33	ʨʰiou51
穿	ʦʰeŋ33	ʨʰʏ55	ʨʰioŋ33	ʨʰiou51
船	seŋ25	ɕʏ31	soŋ24	ɕiou25
圈（圓圈）	ʨʰʏ55	ʨʰʏ55	ʨʰioŋ31	ʨʰiou51
拳	ʨʏ25	ʨʏ31	ʨioŋ31	ʨiou25
權	ʨʏ25	ʨʏ31	ʨʰioŋ31	ʨʰiou25
圓	ʨʏ25	ʨʏ31	ʨioŋ31	ʨʰiou25
員	ʏ31	ʏ31	ioŋ24	iou25
緣	ʏ31	ʏ31	ioŋ31	iou25
沿	i31	i31	i31	i25
鉛	kʰæ33	kʰᴀ55	kʰæ33	kʰæ51
捐	ʨʏ33	ʨʏ55	ʨioŋ33	ʨiou51
選	ɕʏ55	ɕʏ41	ɕioŋ55	ɕiou33
轉（轉眼,轉送）	ʦeŋ55	ʨʏ434	ʨioŋ24	ʨiou25
篆	ʦeŋ31	ʨʏ31	ʨioŋ31	ʨiou51
喘	ʦeŋ25	ʨʰʏ434	ʨʰioŋ55	ʨʰiou25
軟	ȵʏ25	ȵʏ325	ȵioŋ31	ȵiou51
卷（卷起）	ʨʏ55	ʨʏ41	ʨioŋ55	ʨiou33
圈（豬圈）	ʨʏ55	ʨʏ325	ʨioŋ31	ʨiou51
戀	li31	li434	li51	li25
轉（轉螺絲）	ʦeŋ424		ʨioŋ31	ʨiou25
傳（傳記）	ʦeŋ31	ʨʏ325	ʨioŋ31	ʨiou25
串(穿)	ʦʰeŋ424	ʨʰʏ55	ʨʰioŋ31	ʨʰiou41
眷	ʨʏ55	ʨʏ41	ʨioŋ55	ʨiou41
卷	ʨʏ55	ʨʏ41	ʨioŋ31	ʨiou33
絹	ʨʏ55	ʨʏ55	ʨioŋ24	ʨiou41
倦	ʨʏ31	ʨʏ41	ʨioŋ31	ʨiou33
院	ʏ55	ʏ41	ioŋ31	iou41
劣	liɛʔ12	liɛʔ31	liɛʔ33	liʔ44
絕	ʨyɔʔ12	ɕiɛʔ31	ʨyɛʔ24	ʨyəʔ44
雪	ɕyɔʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
拙	ʦɔʔ12	ʦɔʔ31	ʦɔʔ24	ʨʰyəʔ44
說說話	ɕyɔʔ44	ɕyɔʔ44	ɕyɔʔ33	ɕyəʔ44
悅	yɔʔ12	yɔʔ31		yəʔ44
閱	yɔʔ31	yɔʔ31	yɛʔ31	yəʔ44
藩	fæ33	fᴀ55	fæ33	fæ51
翻	fæ33	fᴀ55	fæ33	fæ51
番幾番	fæ33	fᴀ55	fæ33	fæ51
煩	fæ25	fᴀ31	fæ24	fæ25
藩	fæ33	fᴀ55	fæ33	fæ51
礬	fæ33	fᴀ325	fæ33	fæ25
繁	fæ31	fᴀ325	fæ24	fæ25
元	ʏ25	ʏ31	ioŋ31	iou25
原	ʏ25	ʏ31	ioŋ31	iou25
源	ʏ25	ʏ31	ioŋ33	iou25
喧	ɕʏ33	ɕʏ55	ɕioŋ33	ɕiou51
冤	ʏ33	ʏ55	ioŋ33	iou51
袁	ʏ33	ʏ31	ioŋ31	iou51
轅	ʏ33	ʏ31	ioŋ24	iou25
園	ʏ25	ʏ31	ioŋ33	iou25
援（援救）	ʏ33	ʏ325	ioŋ33	iou51
反	fæ55	fᴀ41	fæ55	fæ33
挽	uæ55	uᴀ55	uɑ55	uæ25
阮	luɑn25	ʏ31	yɑn24	uæ25
遠	ʏ55	ʏ325	ioŋ55	iou33
販	fæ424	fᴀ434	fæ31	fæ41
飯	fæ31	fᴀ325	fæ31	fæ41
萬	væ31	fᴀ325	æ31	væ41
勸	ʨʰʏ424	ʨʰʏ434	ʨʰioŋ31	ʨʰiou25
券	ʨʏ31	ʨʰʏ434	ʨioŋ31	ʨʰiou25
願	ʏ31	ʏ434	ioŋ31	iou41
楥（鞵~xuan4）		ɕʏ55	ɕioŋ55	ɕiou41
怨	ʏ424	ʏ434	ioŋ31	iou25
髮（頭髮）	fɑʔ44	fᴀʔ44	fɑʔ33	fᴀʔ44
發（發現）	fɑʔ44	fᴀʔ44	fɑʔ33	fᴀʔ44
伐	fɑʔ44	fᴀʔ31	fɑʔ24	fᴀʔ44
筏	fɑʔ44	fᴀʔ31	fɑʔ24	fᴀʔ44
罰	fɑʔ31	fᴀʔ31	fɑʔ24	fᴀʔ44
襪	mɑʔ12	mᴀʔ31	mɑʔ31	mᴀʔ44
厥	ʨyɔʔ31	ʨyɔʔ44		ʨyəʔ44
倔脾氣倔	ʨyɔʔ31	ʨyɔʔ31	ʨyɛʔ24	ʨyəʔ44
掘	ʨyɔʔ44	ʨyɔʔ31	ʨyɛʔ33	ʨyəʔ44
月	ȵyɔʔ12	yɔʔ31	ȵyɛʔ24	yəʔ44
越	yɔʔ31	yɔʔ31	yɛʔ31	yəʔ44
粵	yɔʔ31	yɔʔ31	yɛʔ31	
玄	ɕʏ25	ɕʏ325	ɕyɑn24	ɕiou25
懸	ɕʏ25	ɕʏ325	ɕioŋ31	ɕiou25
淵	ʏ33	ʏ55	yŋ33	iou51
犬	ʨʰʏ55	ʨʰʏ55		ʨʰiou25
縣	ɕi31	ɕi325	ɕi31	ɕi41
決	ʨyɔʔ12	ʨyɔʔ44	ʨyɛʔ33	ʨyəʔ44
訣	ʨyɔʔ12	ʨyɔʔ31	ʨyɛʔ33	ʨyəʔ44
缺	ʨʰyɔʔ44	ʨʰyɔʔ44	ʨʰyɛʔ33	ʨʰyəʔ44
血	ɕyɔʔ44	ɕyɔʔ44	ɕyɛʔ33	ɕiʔ44
穴	ɕyɔʔ44	ɕyɔʔ31	ɕyɛʔ33	ɕiʔ44
吞	tʰeŋ33	tʰɘŋ55	tʰəŋ33	tʰəŋ51
跟	keŋ33	kɘŋ55	kəŋ33	kəŋ51
根	keŋ33	kɘŋ55	kəŋ33	kəŋ51
痕	xeŋ31	xəŋ31	xəŋ31	xəŋ25
恩	eŋ33	ɘŋ55	əŋ33	əŋ51
懇	kʰeŋ55	kʰɘŋ41	kʰəŋ24	kʰəŋ25
