	單字	合水(調類)	合水(調值)	注释
2127	撼	ham6	ham⁵²	
2128	憾	ham6	ham⁵²	
2129	盒	hɐp9	hɐp⁵²	
2130	合	hɐp9	hɐp⁵²	合格
2131	頷			
2132	堪	hɐm1	hɐm⁴⁵	
2133	龕			
2134	坎	hɐm2	hɐm³²³	
2135	勘	hɐm3	hɐm³³	
2136	磡	hɐm1	hɐm⁴⁵	又读hɐm³³
2137	探	tʰam3	tʰam³³	
2138	貪	tʰam1	tʰam⁴⁵	
2139	踏	tap9	tap⁵²	
2140	參	ʦʰam1	ʦʰam⁴⁵	參加
2141	慘	ʦʰam2	ʦʰam³²³	
2142	南	nam4	nam³¹	
2143	楠	nam4	nam³¹	
2144	男	nam4	nam³¹	
2145	納	nap9	nap⁵²	
2146	衲	nap9	nap⁵²	
2147	嵐	lam4	lam³¹	
2148	婪	lam4	lam³¹	
2149	纜	lam6	lam⁵²	
2150	摺	ʦip8	ʦip³	
2151	拉	lai1	lai⁴⁵	
2152	簪	ʦam1	ʦam⁴⁵	
2153	弇			
2154	感	kam2	kam³²³	又读kɐm³²³
2155	鴿	kap8	kap³	
2156	閤			邊門
2157	蛤	kɐp7	kɐp⁴⁵	圓蛤
2158	合	kap8	kap³	(老派)地名「合水」
2159	贛	kʊŋ3	kʊŋ³³	江西省的簡稱
2160	耽	tam1	tam⁴⁵	
2161	答	tap8	tap³	
2162	譚	tʰam4	tʰam³¹	
2163	眈	tam1	tam⁴⁵	
2164	潭	tʰam4	tʰam³¹	
2165	沓	tʰap9	tʰap⁵²	又读tʰap³
2166	覃			覃思
2167	蠶	ʦʰam4	ʦʰam³¹	
2168	雜	ʦap9	ʦap⁵²	
2169	參	ɬam1	ɬam⁴⁵	三的大寫
2170	三	ɬam1	ɬam⁴⁵	
2171	叄			
2172	憨	kɐm2	kɐm³²³	
2173	喊	ham3	ham³³	
2174	蚶			
2175	酣	hɐm1	hɐm⁴⁵	
2176	嗑	hɐp7	hɐp⁴⁵	
2177	闔	hɐp9	hɐp⁵²	
2178	盍			
2179	邯			
2180	瞰	kɐm2	kɐm³²³	
2181	毯	tʰam2	tʰam³²³	
2182	榻	tʰap8	tʰap³	
2183	搭	tap8	tap³	
2184	塔	tʰap8	tʰap³	
2185	坍	tʰan1	tʰan⁴⁵	
2186	遢	tʰap8	tʰap³	
2187	藍	lam4	lam³¹	
2188	籃	lam4	lam³¹	
2189	攬	lam5	lam³¹²	
2190	覽	lam5	lam³¹²	
2191	欖	lam5	lam³¹²	
2192	臘	lap9	lap⁵²	
2193	蠟	lap9	lap⁵²	
2194	鑞			
2195	邋	lat8	lat³	
2196	柑	kɐm1	kɐm⁴⁵	
2197	甘	kɐm1	kɐm⁴⁵	
2198	橄	kɐm2	kɐm³²³	
2199	敢	kɐm2	kɐm³²³	
2200	砝	fat8	fat³	
2201	閘	ʦap9	ʦap⁵²	
2202	泔			
2203	擔	tam1	tam⁴⁵	擔水
2204	擔	tam3	tam³³	重擔
2205	膽	tam2	tam³²³	
2206	搨			
2207	耷	tap8	tap³	
2208	淡	tam6	tam⁵²	冷淡
2209	淡	tʰam5	tʰam³¹²	白讀
2210	談	tʰam4	tʰam³¹	
2211	痰	tʰam4	tʰam³¹	
2212	澹	tam6	tam⁵²	
2213	蹋	tʰap9	tʰap⁵²	
2214	慚	ʦʰam4	ʦʰam³¹	
2215	暫	ʦam6	ʦam⁵²	
2216	嫌	jim4	jim³¹	
2217	挾	hip9	hip⁵²	
2218	俠	hap9	hap⁵²	
2219	協	hip8	hip³	
2220	謙	him1	him⁴⁵	
2221	歉	hip8	hip³	
2222	愜	hip8	hip³	
2223	添	tʰim1	tʰim⁴⁵	
2224	帖	tʰip8	tʰip³	
2225	蝶	tiɐp9	tiɐp⁵²	
2226	貼	tʰip8	tʰip³	
2227	忝			
2228	㮇			
2229	唸			吟誦
2230	拈	ʦin1	ʦin⁴⁵	拈花惹草
2231	念	nim6	nim⁵²	
2232	鮎	niɐm4	niɐm³¹	
2233	捻			
2234	浹			
2235	僭			
2236	兼	kim1	kim⁴⁵	
2237	頰	kap8	kap³	
2238	莢	kap8	kap³	
2239	蒹	kim1	kim⁴⁵	
2240	佔	ʦim3	ʦim³³	
2241	玷	tim3	tim³³	
2242	點	tim2	tim³²³	
2243	店	tim3	tim³³	
2244	墊	tin3	tin³³	
2245	掂	tim6	tim⁵²	
2246	褶			夾衣
2247	恬	tʰim4	tʰim³¹	
2248	甜	tʰim4	tʰim³¹	
2249	疊	tip9	tip⁵²	
2250	喋	tiɐp9	tiɐp⁵²	
2251	簟			
2252	牒	tiɐp9	tiɐp⁵²	
2253	諜	tiɐp9	tiɐp⁵²	
2254	斬	ʦam2	ʦam³²³	
2255	蘸	ʦam3	ʦam³³	
2256	眨	ʦap8	ʦap³	又读ʦam³²³
2257	站	ʦam6	ʦam⁵²	
2258	劄			
2259	黯	ʔɐm3	ʔɐm³³	
2260	凹	nɐp7	nɐp⁴⁵	
2261	鹹	ham4	ham³¹	
2262	咸	ham4	ham³¹	
2263	減	kam2	kam³²³	
2264	陷	ham6	ham⁵²	
2265	洽	hɐp7	hɐp⁴⁵	
2266	峽	hap9	hap⁵²	
2267	狹	hap9	hap⁵²	
2268	掐	hap8	hap³	
2269	恰	hɐp7	hɐp⁴⁵	
2270	杉	ʦʰam3	ʦʰam³³	
2271	摻	ʦʰam1	ʦʰam⁴⁵	
2272	喃	nam1	nam⁴⁵	喃斋
2273	緘			
2274	夾	kap9	kap⁵²	
2275	裌			
2276	袷			
2277	插	ʦʰap8	ʦʰap³	
2278	攙	ʦʰam1	ʦʰam⁴⁵	
2279	饞	ʦʰam4	ʦʰam³¹	
2280	讒			
2281	鴨	ʔap8	ʔap³	
2282	壓	ʔat8	ʔat³	
2283	押	ʔat8	ʔat³	
2284	巖	ŋam4	ŋam³¹	
2285	銜	ham4	ham³¹	又读hɐm³¹
2286	艦	lam6	lam⁵²	
2287	檻			牛檻
2288	濫	lam6	lam⁵²	
2289	匣	hap9	hap⁵²	
2290	狎			
2291	嵌	hɐm3	hɐm³³	又读ʦʰim³³
2292	衫	sam1	sam⁴⁵	
2293	釤			
2294	監	kam1	kam⁴⁵	監獄
2295	監	kam3	kam³³	太監
2296	鑑	kam3	kam³³	
2297	鑒	kam3	kam³³	
2298	甲	kap8	kap³	
2299	胛	kap8	kap³	
2300	懺			
2301	劖			
2302	嚴	ȵim4	ȵim³¹	
2303	儼	ȵim5	ȵim³¹²	
2304	業	ȵip9	ȵip⁵²	
2305	釅			
2306	脅	hip9	hip⁵²	
2307	鍁	hin1	hin⁴⁵	
2308	杴			
2309	欠	him3	him³³	
2310	怯	hip8	hip³	
2311	劫	kip8	kip³	
2312	詹	ʦim1	ʦim⁴⁵	
2313	瞻	ʦim1	ʦim⁴⁵	
2314	占	ʦim1	ʦim⁴⁵	占卜
2315	占	ʦim3	ʦim³³	占領
2316	蟾			
2317	懾	sip8	sip³	
2318	饜			
2319	厭	jim3	jim³³	
2320	靨	jip8	jip³	
2321	鹽	jim4	jim³¹	
2322	閻	ȵim4	ȵim³¹	
2323	簷	jim4	jim³¹	
2324	燄	jim6	jim⁵²	
2325	焰	jim6	jim⁵²	
2326	豔	jim6	jim⁵²	
2327	葉	jip9	jip⁵²	
2328	檐			
2329	艷	jim6	jim⁵²	
2330	纖	ʦʰim1	ʦʰim⁴⁵	
2331	暹			
2332	陝	sim2	sim³²³	
2333	閃	sim2	sim³²³	
2334	攝	sip8	sip³	
2335	冉	ȵim5	ȵim³¹²	
2336	染	ȵim5	ȵim³¹²	
2337	囁	ʦip8	ʦip³	
2338	髯	ȵim5	ȵim³¹²	
2339	苒	ȵim5	ȵim³¹²	
2340	鹼	kan2	kan³²³	
2341	臉	lim5	lim³¹²	
2342	籤	ʦʰim1	ʦʰim⁴⁵	
2343	塹	ʦʰim3	ʦʰim³³	
2344	妾	ʦʰip8	ʦʰip³	
2345	僉			
2346	廉	lim4	lim³¹	
2347	鐮	lim4	lim³¹	
2348	簾	lim4	lim³¹	
2349	撿	kim2	kim³²³	
2350	斂	lim5	lim³¹²	
2351	殮	lim5	lim³¹²	
2352	獵	liɐp9	liɐp⁵²	
2353	奩			
2354	鬣			
2355	尖	ʦim1	ʦim⁴⁵	
2356	漸			漸車帷裳
2357	接	ʦip8	ʦip³	
2358	睫	ʦip9	ʦip⁵²	
2359	殲	ʦʰim1	ʦʰim⁴⁵	
2360	漸	ʦim6	ʦim⁵²	逐漸
2361	潛	ʦʰim4	ʦʰim³¹	
2362	捷	ʦip9	ʦip⁵²	
2363	涉	sip8	sip³	
2364	贍			
2365	沾	ʦim1	ʦim⁴⁵	
2366	輒			
2367	炎	jim4	jim³¹	人名读jim⁵²
2368	閹	jim1	jim⁴⁵	
2369	崦			
2370	淹	jim1	jim⁴⁵	
2371	醃	jim1	jim⁴⁵	白读jip³
2372	掩	jim2	jim³²³	
2373	奄			奄有
2374	俺	jim3	jim³³	
2375	广			
2376	驗	nim6	nim⁵²	
2377	險	him2	him³²³	
2378	霎	sap8	sap³	
2379	拑	kʰiɐm4	kʰiɐm³¹	
2380	鉗	kʰiɐm4	kʰiɐm³¹	
2381	儉	kim6	kim⁵²	
2382	芡	him3	him³³	
2383	黔	kʰim4	kʰim³¹	
2384	粘	nim1	nim⁴⁵	
2385	黏	nim1	nim⁴⁵	
2386	躡	nip8	nip³	
2387	聶	nip8	nip³	
2388	鑷	nip8	nip³	白读niɐp³
2389	檢	kim2	kim³²³	
2390	瞼	kim2	kim³²³	
2391	諂			
2392	貶	pin2	piɛn³²³	罕见pin³²³
2393	沃	jʊk7	jʊk⁴⁵	
2394	鬆	ɬʊŋ1	ɬʊŋ⁴⁵	
2395	宋	ɬʊŋ3	ɬʊŋ³³	
2396	鵠			
2397	酷	hʊk9	hʊk⁵²	
2398	統	tʰʊŋ2	tʰʊŋ³²³	
2399	褥	jʊk9	jʊk⁵²	
2400	農	nʊŋ4	nʊŋ³¹	
2401	膿	nʊŋ4	nʊŋ³¹	
2402	儂	nʊŋ4	nʊŋ³¹	
2403	宗	ʦʊŋ1	ʦʊŋ⁴⁵	
2404	綜	ʦʊŋ1	ʦʊŋ⁴⁵	
2405	䝋			
2406	告	kou3	kou³³	忠告
2407	冬	tʊŋ1	tʊŋ⁴⁵	
2408	篤	tʊk7	tʊk⁴⁵	
2409	督	tʊk7	tʊk⁴⁵	
2410	疼			疼痛
2411	疼	tʰʊŋ3	tʰʊŋ³³	疼愛
2412	彤	tʰʊŋ4	tʰʊŋ³¹	
2413	鼕			
2414	毒	tʊk9	tʊk⁵²	
2415	佟			
2416	淙	ʦʊŋ1	ʦʊŋ⁴⁵	
2417	鬃	ʦʊŋ1	ʦʊŋ⁴⁵	
2418	衷	ʦʊŋ1	ʦʊŋ⁴⁵	
2419	忠	ʦʊŋ1	ʦʊŋ⁴⁵	
2420	中	ʦʊŋ1	ʦʊŋ⁴⁵	中間
2421	中	ʦʊŋ3	ʦʊŋ³³	中獎
2422	竹	ʦʊk7	ʦʊk⁴⁵	
2423	築	ʦʊk7	ʦʊk⁴⁵	
2424	眾	ʦʊŋ3	ʦʊŋ³³	
2425	螽	ʦʊŋ1	ʦʊŋ⁴⁵	
2426	終	ʦʊŋ1	ʦʊŋ⁴⁵	
2427	雄	hʊŋ4	hʊŋ³¹	
2428	熊	hʊŋ4	hʊŋ³¹	
2429	甕	ʔʊŋ3	ʔʊŋ³³	
2430	屋	ʔʊk7	ʔʊk⁴⁵	
2431	彧			
2432	翁	jʊŋ1	jʊŋ⁴⁵	
2433	蓊	jʊŋ2	jʊŋ³²³	
2434	郁	jʊk7	jʊk⁴⁵	
2435	融	jʊŋ4	jʊŋ³¹	
2436	鬻			
2437	粥	ʦʊk7	ʦʊk⁴⁵	
2438	育	jʊk9	jʊk⁵²	
2439	昱	jʊk7	jʊk⁴⁵	
2440	煜			
2441	毓	jʊk7	jʊk⁴⁵	
2442	速	ʦʰʊk7	ʦʰʊk⁴⁵	
2443	嵩	ɬʊŋ1	ɬʊŋ⁴⁵	
2444	送	ɬʊŋ3	ɬʊŋ³³	
2445	肅	ɬʊk7	ɬʊk⁴⁵	
2446	夙	ɬʊk7	ɬʊk⁴⁵	
2447	宿	ɬʊk7	ɬʊk⁴⁵	住宿
2448	蓄	ʦʰʊk7	ʦʰʊk⁴⁵	
2449	訌	hʊŋ3	hʊŋ³³	
2450	洪	hʊŋ4	hʊŋ³¹	
2451	虹	hʊŋ4	hʊŋ³¹	
2452	烘	hʊŋ3	hʊŋ³³	
2453	紅	hʊŋ4	hʊŋ³¹	紅色
2454	鴻	hʊŋ4	hʊŋ³¹	
2455	哄	hʊŋ3	hʊŋ³³	哄騙
2456	斛	fʊk9	fʊk⁵²	
2457	汞	kʊŋ3	kʊŋ³³	
2458	鬨			
2459	空	hʊŋ1	hʊŋ⁴⁵	
2460	穹			
2461	孔	kʰʊŋ2	kʰʊŋ³²³	又读hʊŋ³²³
2462	哭	hʊk7	hʊk⁴⁵	
2463	麴	kʰʊk7	kʰʊk⁴⁵	
2464	俑	jʊŋ2	jʊŋ³²³	
2465	通	tʰʊŋ1	tʰʊŋ⁴⁵	
2466	桶	tʰʊŋ2	tʰʊŋ³²³	
2467	痛	tʰʊŋ3	tʰʊŋ³³	
2468	禿	tʰʊk7	tʰʊk⁴⁵	
2469	捅	tʰʊŋ2	tʰʊŋ³²³	
2470	侗			
2471	倏	sʊk7	sʊk⁴⁵	
2472	叔	sʊk7	sʊk⁴⁵	
2473	縮	sʊk7	sʊk⁴⁵	又读ɬʊk⁴⁵
2474	絨	jʊŋ4	jʊŋ³¹	
2475	肉	ȵʊk9	ȵʊk⁵²	
2476	戎	jʊŋ4	jʊŋ³¹	
2477	窮	kʰʊŋ4	kʰʊŋ³¹	
2478	聰	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
2479	囪	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
2480	蔥	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
2481	簇	ʦʰʊk7	ʦʰʊk⁴⁵	
2482	蹴			
2483	豐	fʊŋ1	fʊŋ⁴⁵	
2484	撲	pʰuɔk8	pʰuɔk³	又读pʰʊk⁴⁵
2485	醭			
2486	矇	mʊŋ4	mʊŋ³¹	
2487	濛	mʊŋ4	mʊŋ³¹	
2488	朦	mʊŋ4	mʊŋ³¹	
2489	檬	mʊŋ1	mʊŋ⁴⁵	
2490	蒙	mʊŋ4	mʊŋ³¹	
2491	夢	mʊŋ6	mʊŋ⁵²	
2492	懵	mʊŋ5	mʊŋ³¹²	
2493	木	mʊk9	mʊk⁵²	
2494	沐	mʊk9	mʊk⁵²	
2495	睦	mʊk9	mʊk⁵²	
2496	穆	mʊk9	mʊk⁵²	
2497	目	mʊk9	mʊk⁵²	
2498	牧	mʊk9	mʊk⁵²	
2499	苜			
2500	聾	lʊŋ4	lʊŋ³¹	
2501	朧	lʊŋ4	lʊŋ³¹	
2502	嚨	lʊŋ4	lʊŋ³¹	
2503	瓏	lʊŋ4	lʊŋ³¹	
2504	籠	lʊŋ4	lʊŋ³¹	
2505	隆	lʊŋ4	lʊŋ³¹	
2506	窿	lʊŋ1	lʊŋ⁴⁵	
2507	攏	lʊŋ5	lʊŋ³¹²	
2508	弄	nʊŋ6	nʊŋ⁵²	
2509	麓	lʊk7	lʊk⁴⁵	
2510	鹿	lʊk9	lʊk⁵²	
2511	漉	lʊk7	lʊk⁴⁵	
2512	碌	lʊk7	lʊk⁴⁵	
2513	角	kuɔk8	kuɔk³	
2514	祿	lʊk9	lʊk⁵²	
2515	陸	lʊk9	lʊk⁵²	
2516	六	lʊk9	lʊk⁵²	
2517	谷			谷蠡王
2518	戮	lʊk9	lʊk⁵²	
2519	轆	lʊk7	lʊk⁴⁵	
2520	總	ʦʊŋ2	ʦʊŋ³²³	
2521	粽	ʦʊŋ3	ʦʊŋ³³	
2522	蹙			
2523	椶			
2524	糉			
2525	功	kʊŋ1	kʊŋ⁴⁵	
2526	工	kʊŋ1	kʊŋ⁴⁵	
2527	蚣	kʊŋ1	kʊŋ⁴⁵	
2528	公	kʊŋ1	kʊŋ⁴⁵	
2529	攻	kʊŋ1	kʊŋ⁴⁵	
2530	躬	kʊŋ1	kʊŋ⁴⁵	
2531	宮	kʊŋ1	kʊŋ⁴⁵	
2532	弓	kʊŋ1	kʊŋ⁴⁵	
2533	紅			女紅
2534	貢	kʊŋ3	kʊŋ³³	
2535	穀	kʊk7	kʊk⁴⁵	
2536	谷	kʊk7	kʊk⁴⁵	山谷
2537	掬	kʊk7	kʊk⁴⁵	
2538	鞠	kʊk7	kʊk⁴⁵	
2539	菊	kʊk7	kʊk⁴⁵	
2540	贛			賜予
2541	轂			
2542	東	tʊŋ1	tʊŋ⁴⁵	
2543	凍	tʊŋ3	tʊŋ³³	
2544	鶇			
2545	董	tʊŋ2	tʊŋ³²³	
2546	棟	tʊŋ3	tʊŋ³³	
2547	啄	tiɛk8	tiɛk³	白读tiɛŋ⁴⁵
2548	竺	ʦʊk7	ʦʊk⁴⁵	
2549	桐	tʰʊŋ4	tʰʊŋ³¹	
2550	洞	tʊŋ6	tʊŋ⁵²	
2551	筒	tʰʊŋ4	tʰʊŋ³¹	
2552	銅	tʰʊŋ4	tʰʊŋ³¹	
2553	僮			書僮
2554	童	tʰʊŋ4	tʰʊŋ³¹	
2555	同	tʰʊŋ4	tʰʊŋ³¹	
2556	仝	tʰʊŋ4	tʰʊŋ³¹	
2557	動	tʊŋ6	tʊŋ⁵²	
2558	犢	tʊk9	tʊk⁵²	
2559	獨	tʊk9	tʊk⁵²	
2560	瀆	tʊk9	tʊk⁵²	
2561	讀	tʊk9	tʊk⁵²	朗讀
2562	瞳	tʰʊŋ4	tʰʊŋ³¹	
2563	牘	tʊk9	tʊk⁵²	
2564	侗			倥侗
2565	叢	ʦʰʊŋ4	ʦʰʊŋ³¹	
2566	族	ʦʊk9	ʦʊk⁵²	
2567	鑿	ʦuɔk9	ʦuɔk⁵²	
2568	矗	ʦʰʊk7	ʦʰʊk⁴⁵	
2569	崇	sʊŋ4	sʊŋ³¹	
2570	蟲	ʦʰʊŋ4	ʦʰʊŋ³¹	
2571	沖	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
2572	仲	ʦʊŋ6	ʦʊŋ⁵²	
2573	逐	ʦʊk9	ʦʊk⁵²	
2574	軸	ʦʊk9	ʦʊk⁵²	
2575	筑	ʦʊk7	ʦʊk⁴⁵	
2576	忡			
2577	淑	sʊk9	sʊk⁵²	
2578	熟	sʊk9	sʊk⁵²	
2579	塾	sʊk9	sʊk⁵²	
2580	孰	sʊk9	sʊk⁵²	
2581	充	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
2582	銃			
2583	蓬	pʰʊŋ4	pʰʊŋ³¹	
2584	篷	pʰʊŋ4	pʰʊŋ³¹	
2585	蜂	fʊŋ1	fʊŋ⁴⁵	
2586	梵	fan6	fan⁵²	
2587	馮	fʊŋ4	fʊŋ³¹	馮姓
2588	鳳	fʊŋ6	fʊŋ⁵²	
2589	僕	pʊk9	pʊk⁵²	
2590	服	fʊk9	fʊk⁵²	
2591	匐			
2592	馥			
2593	暴			一暴十寒
2594	瀑	pʊk9	pʊk⁵²	
2595	楓	fʊŋ1	fʊŋ⁴⁵	
2596	風	fʊŋ1	fʊŋ⁴⁵	
2597	俸	fʊŋ6	fʊŋ⁵²	
2598	諷	fʊŋ3	fʊŋ³³	
2599	蹼	pʊk9	pʊk⁵²	
2600	卜	pʊk7	pʊk⁴⁵	
2601	腹	fʊk7	fʊk⁴⁵	
2602	蝠	fʊk7	fʊk⁴⁵	
2603	福	fʊk7	fʊk⁴⁵	
2604	幅	fʊk7	fʊk⁴⁵	
2605	冢	ʦʊŋ2	ʦʊŋ³²³	
2606	塚	ʦʊŋ2	ʦʊŋ³²³	
2607	鐘	ʦʊŋ1	ʦʊŋ⁴⁵	
2608	忪	ʦʊŋ1	ʦʊŋ⁴⁵	怔忪
2609	鍾	ʦʊŋ1	ʦʊŋ⁴⁵	
2610	踵	ʦʊŋ2	ʦʊŋ³²³	
2611	腫	ʦʊŋ2	ʦʊŋ³²³	
2612	種	ʦʊŋ2	ʦʊŋ³²³	種子
2613	種	ʦʊŋ3	ʦʊŋ³³	種植
2614	燭	ʦʊk7	ʦʊk⁴⁵	
2615	囑	ʦʊk7	ʦʊk⁴⁵	
2616	矚	ʦʊk7	ʦʊk⁴⁵	
2617	屬			屬文
2618	盅	ʦʊŋ1	ʦʊŋ⁴⁵	
2619	癰			
2620	邕			
2621	壅	jʊŋ1	jʊŋ⁴⁵	
2622	雍	jʊŋ1	jʊŋ⁴⁵	
2623	擁	jʊŋ2	jʊŋ³²³	
2624	谷			吐谷渾
2625	蓉	jʊŋ4	jʊŋ³¹	
2626	溶	jʊŋ4	jʊŋ³¹	
2627	容	jʊŋ4	jʊŋ³¹	
2628	傭	jʊŋ4	jʊŋ³¹	
2629	鎔	jʊŋ4	jʊŋ³¹	
2630	庸	jʊŋ4	jʊŋ³¹	
2631	恿	jʊŋ2	jʊŋ³²³	
2632	蛹	jʊŋ2	jʊŋ³²³	
2633	勇	jʊŋ5	jʊŋ³¹²	
2634	用	jʊŋ6	jʊŋ⁵²	
2635	浴	jʊk9	jʊk⁵²	
2636	慾	jʊk9	jʊk⁵²	
2637	頌	ʦʊŋ6	ʦʊŋ⁵²	
2638	欲	jʊk9	jʊk⁵²	
2639	甬	jʊŋ2	jʊŋ³²³	
2640	踊	jʊŋ5	jʊŋ³¹²	
2641	獄	jʊk9	jʊk⁵²	
2642	玉	ȵʊk9	ȵʊk⁵²	
2643	聳	ɬʊŋ2	ɬʊŋ³²³	
2644	悚	ɬʊŋ2	ɬʊŋ³²³	
2645	慫	ɬʊŋ2	ɬʊŋ³²³	
2646	粟	ɬʊk7	ɬʊk⁴⁵	
2647	松	ʦʰʊŋ4	ʦʰʊŋ³¹	
2648	訟	ʦʊŋ6	ʦʊŋ⁵²	
2649	誦	ʦʊŋ6	ʦʊŋ⁵²	
2650	續	ʦʊk9	ʦʊk⁵²	
2651	俗	ʦʊk9	ʦʊk⁵²	
2652	旭	jʊk7	jʊk⁴⁵	
2653	凶	hʊŋ1	hʊŋ⁴⁵	
2654	洶	hʊŋ1	hʊŋ⁴⁵	
2655	兇	hʊŋ1	hʊŋ⁴⁵	
2656	匈	hʊŋ1	hʊŋ⁴⁵	
2657	恐	hʊŋ2	hʊŋ³²³	又读kʰʊŋ³²³
2658	曲	kʰʊk7	kʰʊk⁴⁵	
2659	舂	ʦʊŋ1	ʦʊŋ⁴⁵	
2660	束	ʦʰʊk7	ʦʰʊk⁴⁵	
2661	茸	jʊŋ4	jʊŋ³¹	
2662	辱	jʊk9	jʊk⁵²	
2663	冗	jʊŋ5	jʊŋ³¹²	
2664	𣭲			
2665	縟	jʊk9	jʊk⁵²	
2666	局	kʊk9	kʊk⁵²	
2667	從	ʦʰʊŋ4	ʦʰʊŋ³¹	從容
2668	促	ʦʰʊk7	ʦʰʊk⁴⁵	
2669	鋒	fʊŋ1	fʊŋ⁴⁵	
2670	烽	fʊŋ1	fʊŋ⁴⁵	
2671	丰	fʊŋ1	fʊŋ⁴⁵	
2672	捧	fʊŋ2	fʊŋ³²³	
2673	濃	nʊŋ4	nʊŋ³¹	白读ȵʊŋ³¹
2674	龍	lʊŋ4	lʊŋ³¹	
2675	隴	lʊŋ5	lʊŋ³¹²	
2676	綠	lʊk9	lʊk⁵²	
2677	錄	lʊk9	lʊk⁵²	
2678	縱			縱橫
2679	縱	ʦʊŋ3	ʦʊŋ³³	放縱
2680	蹤	ʦʊŋ1	ʦʊŋ⁴⁵	
2681	樅	ʦʊŋ1	ʦʊŋ⁴⁵	
2682	足	ʦʊk7	ʦʊk⁴⁵	足跡
2683	共	kʊŋ6	kʊŋ⁵²	
2684	恭	kʊŋ1	kʊŋ⁴⁵	
2685	供	kʊŋ1	kʊŋ⁴⁵	提供
2686	供	kʊŋ3	kʊŋ³³	供奉
2687	鞏	kʊŋ2	kʊŋ³²³	
2688	拱	kʊŋ2	kʊŋ³²³	
2689	鋦	kʊk9	kʊk⁵²	
2690	從	ʦʰʊŋ4	ʦʰʊŋ³¹	跟從
2691	從			從兄弟
2692	贖	sʊk9	sʊk⁵²	
2693	重	ʦʰʊŋ4	ʦʰʊŋ³¹	重新
2694	重	ʦʰʊŋ5	ʦʰʊŋ³¹²	重量
2695	重	ʦʊŋ6	ʦʊŋ⁵²	重要
2696	寵	ʦʰʊŋ2	ʦʰʊŋ³²³	
2697	屬	sʊk9	sʊk⁵²	屬於
2698	蜀	sʊk9	sʊk⁵²	
2699	鐲	ʔɐk7	ʔɐk⁴⁵	训读
2700	憧	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	
2701	衝	ʦʰʊŋ1	ʦʰʊŋ⁴⁵	衝鋒
2702	觸	ʦʰʊk7	ʦʰʊk⁴⁵	
2703	逢	fʊŋ4	fʊŋ³¹	
2704	縫	fʊŋ4	fʊŋ³¹	裁縫
2705	縫	fʊŋ4	fʊŋ³¹	裂縫
2706	奉	fʊŋ6	fʊŋ⁵²	
2707	封	fʊŋ1	fʊŋ⁴⁵	
2708	簪	ʦam1	ʦam⁴⁵	
2709	針	ʦɐm1	ʦɐm⁴⁵	
2710	斟	ʦɐm1	ʦɐm⁴⁵	
2711	汁	ʦɐp7	ʦɐp⁴⁵	
2712	執	ʦɐp7	ʦɐp⁴⁵	
2713	枕	ʦɐm2	ʦɐm³²³	枕頭
2714	枕	ʦɐm3	ʦɐm³³	枕戈待旦
2715	揖	jɐp7	jɐp⁴⁵	
2716	熠			
2717	淫	ȵɐm4	ȵɐm³¹	
2718	霪			
2719	心	ɬɐm1	ɬɐm⁴⁵	
2720	尋	ʦʰɐm4	ʦʰɐm³¹	
2721	襲	ʦɐp9	ʦɐp⁵²	
2722	習	ʦɐp9	ʦɐp⁵²	
2723	褶	ʦip8	ʦip³	皺褶
2724	潯			
2725	深	sɐm1	sɐm⁴⁵	
2726	審	sɐm2	sɐm³²³	
2727	溼	sɐp7	sɐp⁴⁵	
2728	濕	sɐp7	sɐp⁴⁵	
2729	任	ȵɐm6	ȵɐm⁵²	信任
2730	任	ȵɐm6	ȵɐm⁵²	任姓
2731	壬	ȵɐm4	ȵɐm³¹	
2732	飪	ȵɐm6	ȵɐm⁵²	
2733	入	jɐp9	jɐp⁵²	
2734	廿	ȵa6	ȵa⁵²	
2735	稔	niɐm1	niɐm⁴⁵	
2736	妊	ȵɐm6	ȵɐm⁵²	
2737	紝			
2738	恁	ȵɐm4	ȵɐm³¹	
2739	恁			
2740	衽			
2741	沁	jɐm3	jɐm³³	又读ɬɐm³¹²
2742	浸	ʦɐm3	ʦɐm³³	
2743	侵	ʦʰɐm1	ʦʰɐm⁴⁵	
2744	寢	ʦʰɐm2	ʦʰɐm³²³	
2745	緝	ʦʰɐp7	ʦʰɐp⁴⁵	
2746	淋	lɐm4	lɐm³¹	
2747	琳	lɐm4	lɐm³¹	
2748	臨	lɐm4	lɐm³¹	
2749	霖	lɐm4	lɐm³¹	
2750	林	lɐm4	lɐm³¹	
2751	笠	lɐp7	lɐp⁴⁵	
2752	粒	nɐp7	nɐp⁴⁵	
2753	立	lɐp9	lɐp⁵²	
2754	痳			
2755	檁			
2756	廪			
2757	廩			
2758	集	ʦɐp9	ʦɐp⁵²	
2759	輯	ʦʰɐp7	ʦʰɐp⁴⁵	
2760	蕈			
2761	葚			
2762	忱	sɐm4	sɐm³¹	
2763	甚	sɐm6	sɐm⁵²	
2764	什	ʦap9	ʦap⁵²	什錦
2765	十	sɐp9	sɐp⁵²	
2766	拾	sɐp9	sɐp⁵²	
2767	熠			
