□	丨(囗) 一
𰜼	氵 取
𰜽	氵 盗
𰜾	艹 雨
𰜿	氵 米
𰝀	氵 支
𰝁	氵 閉
𰝂	氵 小(㕘)
𰝃	氵 方
𰝄	氵(溤) 乃
𰝅	氵 营
𰝆	氵 虫
𰝇	氵 坐
𰝈	氵 八
𰝉	曾 水
𰝊	涕 目
𰝋	氵 隐
𰝌	沸 孚
𰝍	氵 军(翚)
𰝎	氵 列
𰝏	氵 丑
𰝐	氵 尋
𰝑	氵 載
𰝒	氵 咠(楫)
𰝓	清 史
𰝔	氵 搶
𰝕	氵 昷
𰝖	氵 愚
𰝗	氵 简
𰝘	淡 出
𰝙	氵 青
𰝚	氵 月
𰝛	氵 塹
𰝜	氵 厭
𰝝	氵 皿
𰝞	氵 箫
𰝟	氵 鲜
𰝠	氵 寢
𰝡	氵 青
𰝢	氵 遷
𰝣	氵(淶) 告
𰝤	湿 页
𰝥	沙 莫
𰝦	泊 容
𰝧	氵 木(槩)
𰝨	氵 羽(翦)
𰝩	氵 廉
𰝪	津 月
𰝫	氵 焚
𰝬	氵 朋
𰝭	氵 水
𰝮	氵 磨
𰝯	氵 謁
𰝰	氵 面
𰝱	流 校
𰝲	氵 翔
𰝳	氵 寵
𰝴	氵 翰
𰝵	氵(淦) 隻
𰝶	火 了
𰝷	火 工
𰝸	才 火
𰝹	火 丶
𰝺	火 久
𰝻	千 灬
𰝼	火 子
𰝽	尤 灬
𰝾	火 长
𰝿	火 午
𰞀	之 灬
𰞁	丙 灬
𰞂	回 火
𰞃	火 北
𰞄	央 火
𰞅	由 灬
𰞆	北 人(乆)
𰞇	火 择(𠬤)
𰞈	灰 斗
𰞉	火 动
𰞊	圭 火
𰞋	火 夹
𰞌	火 托
𰞍	火 节
𰞎	肉 火
𰞏	火 团
𰞐	朱 火
𰞑	火 色
𰞒	火 危
𰞓	夂 火
𰞔	火 名
𰞕	犭 火
𰞖	犭 灬
𰞗	火 杂
𰞘	行 火
𰞙	交 火
𰞚	产 火
𰞛	火 干
𰞜	丞 火
𰞝	火 彐
𰞞	彑(彐) 火
𰞟	扌 灬
𰞠	抗 灬
𰞡	束 灬
𰞢	火 均
𰞣	火 今(岑)
𰞤	火 坚
𰞥	火 火
𰞦	火 彡
𰞧	肘 火
𰞨	句(劬) 灬
𰞩	火 余
𰞪	火 万
𰞫	尾 火
𰞬	火 田
𰞭	火 鹵
𰞮	火 天(昊)
𰞯	花 灬
𰞰	回 灰
𰞱	火 虎
𰞲	备 灬
𰞳	火 鱼
𰞴	非 灬
𰞵	火 反
𰞶	宜 灬
𰞷	火 参
𰞸	火 邵
𰞹	波 火
𰞺	火 政
𰞻	火 贲
𰞼	拯 灬
𰞽	木 烝
𰞾	火 若
𰞿	战 灬
𰟀	冒 灬
𰟁	火 信
𰟂	炮 灬
𰟃	火 宥
𰟄	火 阁
𰟅	既 火
𰟆	弓 灬
𰟇	扌 火
𰟈	日 灬
𰟉	目 灬
𰟊	党 灬
𰟋	烟 云
𰟌	田 灬
𰟍	火 爹
𰟎	炎 共
𰟏	火 益
𰟐	火 堇
𰟑	共 灬
𰟒	火 玉
𰟓	火 滿(㒼)
𰟔	火 造
𰟕	火 從
𰟖	火 欠
𰟗	人 火
𰟘	火 阎
𰟙	火 木
𰟚	幸 炎
𰟛	林(棥) 灬
𰟜	火 圭
𰟝	勒 灭
𰟞	堯 火
𰟟	火 閏
𰟠	滅 灬
𰟡	火 湯
𰟢	火 見
𰟣	楊 火
𰟤	火 灬
𰟥	大 炎
𰟦	火 愚
𰟧	火 戢
𰟨	火 鼠
𰟩	僉 灬
𰟪	火 聚
𰟫	火 閣
𰟬	火 米
𰟭	火 熒
𰟮	滿 灬
𰟯	火 田
𰟰	火 百(奭)
𰟱	歐 灬
𰟲	火 寬
𰟳	誰 灬
𰟴	煮 東
𰟵	火 默
𰟶	灰 蒙
𰟷	并 火
𰟸	火 險
𰟹	隊 火
𰟺	火 呆
𰟻	火 嚴
𰟼	爪 幺
𰟽	爪 台
𰟾	爪 又
𰟿	爪 月
𰠀	爪 呆
𰠁	來 爪
𰠂	爪 手
𰠃	固 爪
𰠄	爪 卒
𰠅	爪 峦
𰠆	爪 廾
𰠇	初 受
𰠈	爪 夬
𰠉	爪 十
𰠊	爪 十
𰠋	父 龙
𰠌	父 戍
𰠍	父 叔
𰠎	爿 殳
𰠏	爿 又
𰠐	爿 勿
𰠑	爿 生
𰠒	爿 向
𰠓	爿 自
𰠔	爿 呈
𰠕	爿 矢
𰠖	爿 高(髙)
𰠗	丬 子
𰠘	丬 子
𰠙	片 爪
𰠚	片 方
𰠛	片 戋
𰠜	片 必
𰠝	片 发
𰠞	片 更
𰠟	片 青
𰠠	牙 下
𰠡	牙 失
𰠢	牙 吉
𰠣	好 牙
𰠤	牙 告
𰠥	牙 賣
𰠦	牛 又
𰠧	口 牛
𰠨	尸 牛
𰠩	牛 支
𰠪	牛 厄
𰠫	牛 冈
𰠬	牛 孔
𰠭	牛 未
𰠮	牛 犮
𰠯	牛 左
𰠰	牛 灭
𰠱	牛 大
𰠲	牛 经(𢀖)
𰠳	牛 主
𰠴	牛 尧
𰠵	牛 良
𰠶	牛 寸
𰠷	牛 隶
𰠸	牛 可(竒)
𰠹	牛 罢
𰠺	糹 牛
𰠻	牛 田
𰠼	牛 貴
𰠽	子 犬
𰠾	犭 千
𰠿	犭 分
𰡀	匀 犬
𰡁	犭 六
𰡂	犭 青
𰡃	犭 未
𰡄	犭 卢
𰡅	犭 厶
𰡆	犭 用
𰡇	犭 外
𰡈	犬 且
𰡉	犭 亚
𰡊	犭 乔
𰡋	犭 军
𰡌	犭 舟
𰡍	犭 大
𰡎	犭 来
𰡏	犭 呙
𰡐	犭 员
𰡑	犭 亩
𰡒	犭 辛
𰡓	犭 亞
𰡔	犭 斩
𰡕	犭 析
𰡖	犭 皿
𰡗	犭 具
𰡘	犭 贪
𰡙	犭 昏
𰡚	犭 欣
𰡛	犭 侖
𰡜	犭 表
𰡝	犭 目
𰡞	犭 贲
𰡟	犭 則
𰡠	犭 度
𰡡	犭 句
𰡢	犭 婴
𰡣	犭 攵
𰡤	犭 火
𰡥	犭 習
𰡦	啇 犮
𰡧	單 犬
𰡨	犭 袁
𰡩	犭 斤
𰡪	麻 狗
𰡫	犭 馬
𰡬	犭 覃
𰡭	王 九
𰡮	王 八
𰡯	王 戈
𰡰	王 车
𰡱	王 内
𰡲	文 玉
𰡳	玉 丶
𰡴	王 正
𰡵	王 卢
𰡶	王 卡
𰡷	王 儿
𰡸	白 王
𰡹	王 囟
𰡺	王 耒
𰡻	王 脑(㐫)
𰡼	王 朵(朶)
𰡽	王 寿
𰡾	王 妥
𰡿	玉 市
𰢀	王(玨) 夕
𰢁	王(玨) 人
𰢂	王 米
𰢃	尚 玉
𰢄	王 肃
𰢅	王 畐
𰢆	王(玨) 下
𰢇	王(玨) 小
𰢈	王 重
𰢉	王 夂
𰢊	玉 玉
𰢋	王 區
𰢌	王(玨) 佘
𰢍	麻 玉
𰢎	王 棃
𰢏	王 而
𰢐	王 止
𰢑	王 鲁
𰢒	陽 玉
𰢓	王 豊
𰢔	王 人
𰢕	王 木
𰢖	王 巿
𰢗	王 華
𰢘	王 磨
𰢙	王 龠
𰢚	王 聶
𰢛	爪 乙
𰢜	瓜 包
𰢝	瓜 良
𰢞	瓜 金
𰢟	委 瓜
𰢠	瓜 蒂
𰢡	臼 瓜
𰢢	无 瓦
𰢣	瓦 奔
𰢤	贝 瓦
𰢥	要 瓦
𰢦	娄 瓦
𰢧	甘 心
𰢨	甘 月
𰢩	甘 老
𰢪	其 之
𰢫	少 生
𰢬	生 号
𰢭	生 吉
𰢮	里 生
𰢯	生 柬
𰢰	勿 用
𰢱	用 用
𰢲	必 用
𰢳	甬 凡
𰢴	一 田
𰢵	田 凵
𰢶	田 丂
𰢷	八 由
𰢸	川 田
𰢹	田 开
𰢺	田 化
𰢻	由 勿
𰢼	田 衣
𰢽	田 勿
𰢾	亠 人
𰢿	田 右
𰣀	田 生
𰣁	田 右
𰣂	甲 冉
𰣃	夕 田
𰣄	立 甲
𰣅	母 田
𰣆	甲 各
𰣇	凡 甾
𰣈	小 田
𰣉	男 王
𰣊	男 友
𰣋	土 田
𰣌	男 关
𰣍	田 可
𰣎	異 小
𰣏	田 泰
𰣐	申 晃
𰣑	田 示
𰣒	丢 留
𰣓	番 勿
𰣔	畏 劳
𰣕	畐 昌
𰣖	田 且
𰣗	奥 田
𰣘	米 田
𰣙	田 發
𰣚	田 口
𰣛	男 曾
𰣜	口(㽞) 建
𰣝	畐 曾
𰣞	田(𩄣)
𰣟	田 田
𰣠	百 疋
𰣡	亡 疋
𰣢	疒 冈
𰣣	疒 中
𰣤	疒 丹
𰣥	疒 仇
𰣦	疒 为
𰣧	疒 办
𰣨	疒 双
𰣩	疒 宁
𰣪	疒 奴
𰣫	疒 兴
𰣬	疒 齐
𰣭	疒 女(妟)
𰣮	疒 角
𰣯	疒 间
𰣰	疒 月
𰣱	爿 非
𰣲	疒 田
𰣳	痛 一
𰣴	疒 妾
𰣵	疒 耑
𰣶	疒 贵
𰣷	疒 則
𰣸	疒 怨
𰣹	疒 胆
𰣺	病 丙
𰣻	疒 哥
𰣼	疒 积
𰣽	疒 挛
𰣾	疒 田
𰣿	疒 蛇
𰤀	疒 脱
𰤁	爿 留(畱)
𰤂	疒 朝
𰤃	疒 火
𰤄	疒 日
𰤅	爿 萬
𰤆	疒 田
𰤇	疒 羊
𰤈	痣 里
𰤉	疒 標
𰤊	爿 鮮
𰤋	疒 火
𰤌	癶 大
𰤍	癶 弓
𰤎	癶 引
𰤏	癶 电
𰤐	癶 亞(亜)
𰤑	癶 放
𰤒	白 乙
𰤓	白 杨(𠃓)
𰤔	白 巛
𰤕	白 乐
𰤖	白 早
𰤗	白 亥
𰤘	好 白
𰤙	折 白
𰤚	夫 白
𰤛	知 白
𰤜	朋 白
𰤝	白 未
𰤞	皮 丩
𰤟	皮 去
𰤠	耜(㠯) 皮
𰤡	包 皮
𰤢	皮 生
𰤣	至 皮
𰤤	冂 皮
𰤥	各 皮
𰤦	皮 米
𰤧	皮 彐
𰤨	皮 达
𰤩	皮 利
𰤪	完 皮
𰤫	皮 卖
𰤬	卖 皮
𰤭	大 皮
𰤮	昌 皮
𰤯	甚 皮
𰤰	奄 皮
𰤱	皮 骨
𰤲	皿 丁
𰤳	乙 皿
𰤴	几 皿
𰤵	千 皿
𰤶	大 皿
𰤷	田 皿
𰤸	夕 皿
𰤹	氵(汄) 皿
𰤺	四 皿
𰤻	串 皿
𰤼	日 皿
𰤽	残 皿
𰤾	目 皿
𰤿	片 皿
𰥀	目 皿
𰥁	盖 不
𰥂	盖 今
𰥃	声(殸) 皿
𰥄	盖 司
𰥅	益 先
𰥆	乡 皿
𰥇	與 皿
𰥈	盐 都
𰥉	鹵 皿
𰥊	赣 皿
𰥋	目 刁
𰥌	目 下
𰥍	目 大
𰥎	大 目
𰥏	目 口
𰥐	亠 一
𰥑	十 一
𰥒	目 从
𰥓	目 勿
𰥔	目 夭
𰥕	目 青
𰥖	春(𡗗) 目
𰥗	目 打
𰥘	央 目
𰥙	山 目
𰥚	禾 目
𰥛	目 训
𰥜	出 目
𰥝	目 灰
𰥞	莹(𫇦) 目
𰥟	省 乜
𰥠	亦 目
𰥡	守 目
𰥢	目 丽
𰥣	目 坚
𰥤	目 女(妟)
𰥥	禾 目
𰥦	目 役
𰥧	目 攵
𰥨	目 月
𰥩	目 专
𰥪	目 规
𰥫	目 取
𰥬	目 芥
𰥭	目 黾
𰥮	目 岸
𰥯	目 心
𰥰	看 勾
𰥱	目 夫
𰥲	亡 目
𰥳	目 店
𰥴	目 泣
𰥵	目 革
𰥶	看 史
𰥷	目 口
𰥸	目 茶
𰥹	目 党
𰥺	直 作
𰥻	目 宰
𰥼	米 目
𰥽	目 目
𰥾	赦 目
𰥿	目 电
𰦀	目 眷
𰦁	目 炎
𰦂	声 目
𰦃	目 棃
𰦄	目 當
𰦅	目 運
𰦆	目 电
𰦇	目 聞
𰦈	看 針
𰦉	目 兀
𰦊	目 隻
𰦋	目 篾
𰦌	真 真
𰦍	矛 丶
𰦎	戈 矛
𰦏	矛 戋
𰦐	矛 此
𰦑	矛 金
𰦒	人 夫
𰦓	矢 卜
𰦔	矢 见
𰦕	矢 夬
𰦖	矢 矢
𰦗	矢 土
𰦘	知 可
𰦙	知 司
𰦚	矢 矢
𰦛	短 乞
𰦜	矢 罢
𰦝	矢 冋
𰦞	矢 莫
𰦟	矢 土
𰦠	匕 負
𰦡	短 天
𰦢	矢 日
𰦣	矢 來
𰦤	石 卩
𰦥	石 反
𰦦	石 历
𰦧	石 互
𰦨	石 为
𰦩	石 户
𰦪	石 一
𰦫	石 双
𰦬	石 又
𰦭	石 龙
𰦮	石 力
𰦯	石 卡
𰦰	石 择(𠬤)
𰦱	民 石
𰦲	石 对
𰦳	石 耳
𰦴	石 亚
𰦵	石 夺
𰦶	石 亘
𰦷	莹(𫇦) 石
𰦸	石 早
𰦹	石 臼
𰦺	石 么
𰦻	后 皮
𰦼	石 孛
𰦽	石 麦
𰦾	石 严
𰦿	石 呙
𰧀	石 廾
𰧁	石 串
𰧂	含 石
𰧃	石 间
𰧄	石 吝
𰧅	破 卜
𰧆	石 奔
𰧇	石 贤
𰧈	石 苏
𰧉	石 质
𰧊	石 审
𰧋	士 攵
𰧌	石 則
𰧍	石 未
𰧎	石 钦
𰧏	石 前
𰧐	石 亟
𰧑	敖 石
𰧒	石 塌(𦐇)
𰧓	石 荣
𰧔	石 监
𰧕	石 倉
𰧖	石 殺
𰧗	石 北(埀)
𰧘	石 诸
𰧙	石 堂
𰧚	石 圈
𰧛	石 崖
𰧜	石 攵
𰧝	石 貧
𰧞	石 日
𰧟	石 這
𰧠	尉 石
𰧡	石 田
𰧢	石 替
𰧣	斯 石
𰧤	石 筆
𰧥	石 等
𰧦	石 日
𰧧	石 兼
𰧨	石 木(桒)
𰧩	石 赫
𰧪	石 贊
𰧫	石 兔(毚)
𰧬	石 帚
𰧭	士 示
𰧮	示(礻) 丌
𰧯	礻 厶
𰧰	礻 杨(𠃓)
𰧱	示(礻) 冄
𰧲	化 示
𰧳	示 日
𰧴	礻 久(匛)
𰧵	示(礻) 干
𰧶	示(礻) 式
𰧷	示(礻) 夷
𰧸	栽(𢦏) 示
𰧹	示(礻) 如
𰧺	示(礻) 多
𰧻	礻 会
𰧼	礻 右
𰧽	礻 向
𰧾	礻 农
𰧿	亠 示
𰨀	礻 弄
𰨁	礻 土
𰨂	礻 余
𰨃	示(礻) 坐
𰨄	礻 女(㚻)
𰨅	示(礻) 非
𰨆	示(礻) 几
𰨇	隹 示
𰨈	示(礻) 府
𰨉	礻 官
𰨊	礻 子
𰨋	礻 冉
𰨌	礻 可
𰨍	示 建
𰨎	示 田
𰨏	礻 田
𰨐	示 鬲
𰨑	礻 由
𰨒	示 寅
𰨓	示 巽
𰨔	止 頁
𰨕	示 高
𰨖	礻 题
𰨗	示 熹
𰨘	票 隹
𰨙	礻 龠(蘥)
𰨚	乙 禹
𰨛	禾 刀
𰨜	禾 广
𰨝	禾 丰
𰨞	禾 十
𰨟	禾 冄
𰨠	禾 史
𰨡	禾 甲
𰨢	禾 他
𰨣	禾 乎
𰨤	禾 司
𰨥	禾 先
𰨦	禾 齐
𰨧	禾 巟
𰨨	禾 彐
𰨩	百 禾
𰨪	禾 土
𰨫	禾 巴
𰨬	禾 旧
𰨭	禾 女(㚻)
𰨮	秋 日
𰨯	禾 房
𰨰	禾 禹
𰨱	禾 冋
𰨲	臬 禾
𰨳	禾 资
𰨴	禾 殳
𰨵	南 秃
𰨶	禾 米
𰨷	禾 密
𰨸	禾 替
𰨹	稚 乙
𰨺	禾 禹
𰨻	禾 肅
𰨼	禾 路
𰨽	禾 叠
𰨾	禾 百(奭)
𰨿	禾 廉
𰩀	禾 憲
𰩁	禾 羲
𰩂	禾 等
𰩃	禾 瞿
𰩄	穴 双
𰩅	穴 龙
𰩆	穴 叵
𰩇	穴 卩
𰩈	穴 乐
𰩉	穴 力
𰩊	穴 小(尗)
𰩋	穴 土
𰩌	去 穷
𰩍	空 心
𰩎	穴 邑
𰩏	穴 条
𰩐	穴 且
𰩑	穴 具
𰩒	穴 叔
𰩓	穴 见
𰩔	穴 圭
𰩕	及 窄
𰩖	穴 晏
𰩗	穴 草
𰩘	穴 王
𰩙	穴 莫
𰩚	空 要
𰩛	穴 灬(舄)
𰩜	穴 灬
𰩝	穴 殳
𰩞	究 敗
𰩟	穿 等
𰩠	止 立
𰩡	立 仁
𰩢	立 青
𰩣	立 休
𰩤	立 交
𰩥	立 大
𰩦	立 冒
𰩧	须 立
𰩨	立 重
𰩩	声(殸) 立
𰩪	立 畧
𰩫	立 見
𰩬	竹 大
𰩭	竹 山
𰩮	竹 专
𰩯	竹 帀
𰩰	竹 匹
𰩱	竹 冄
𰩲	竹 卢
𰩳	竹 电
𰩴	竹 兄
𰩵	竹 用
𰩶	竹 友
𰩷	竹 二
𰩸	竹 乔
𰩹	竹 汤
𰩺	竹 约
𰩻	竹 过
𰩼	竹 巠
𰩽	竺 瓜
𰩾	竹 吠
𰩿	竹 句
𰪀	竹 東
𰪁	竹 帕
𰪂	竹 非
𰪃	竹 初
𰪄	竹 齐
𰪅	竹 皿
𰪆	竹 括
𰪇	笨 分
𰪈	竹 查
𰪉	竹 点
𰪊	竹 钟
𰪋	竹 独
𰪌	竹 脉
𰪍	竹 音
𰪎	竹 亮
𰪏	竹 辂
𰪐	竹 力
𰪑	筏 冈
𰪒	立 笼
𰪓	竹 豕(冡)
𰪔	竹 救
𰪕	竹 頃
𰪖	竹 雀
𰪗	竹 森
𰪘	筷 示
𰪙	竹 刃(韌)
𰪚	竹 睡
𰪛	竹 蜓
𰪜	竹 券
𰪝	竹 共
𰪞	竹 模
𰪟	竹 攵
𰪠	竹 膚
𰪡	竹 留
𰪢	竹 編
𰪣	竹 赢
𰪤	竹 釋
𰪥	竹 鐻
𰪦	米 乂
𰪧	米 廾
𰪨	乙 匊
𰪩	米 广
𰪪	米 马
𰪫	米 专
𰪬	米 王
𰪭	米 长
𰪮	米 升
𰪯	米 壬
𰪰	尸 米
𰪱	米 青
𰪲	米 可
𰪳	米 灭
𰪴	米 甲
𰪵	米 失
𰪶	米 团
𰪷	米 尖
𰪸	米 旭
𰪹	米 年
𰪺	米 行
𰪻	米 杀
𰪼	米 产
𰪽	米 利
𰪾	米 奉
𰪿	米 劳
𰫀	米 得(㝵)
𰫁	米 庄
𰫂	米 背
𰫃	米 軍
𰫄	米 土
𰫅	米 洛
𰫆	米 馬
𰫇	米 荅
𰫈	米 土
𰫉	米 宾
𰫊	米 浆
𰫋	米 满(𬜯)
𰫌	粉 免
𰫍	米 動
𰫎	米 這
𰫏	米 産
𰫐	米 臼
𰫑	米 敦
𰫒	米 是
𰫓	米 曾
𰫔	米 酸
𰫕	米 齊
𰫖	米 阑
𰫗	糹 入
𰫘	糹 亡
𰫙	糹 子
𰫚	糹 帀
𰫛	糹 勾
𰫜	糹 仇
𰫝	糹 尹
𰫞	糹 龙
𰫟	糹 号
𰫠	糹 甲
𰫡	糹 生
𰫢	糹 杀
𰫣	糹 口
𰫤	糹 艮
𰫥	累 乜
𰫦	糹 作
𰫧	糹 宋
𰫨	糹 刁
𰫩	糹 花
𰫪	糹 山
𰫫	糹 图
𰫬	糹 制
𰫭	糹 又
𰫮	糹 彦
𰫯	糹 亮
𰫰	糹 笋
𰫱	緊 乞
𰫲	糹 這
𰫳	糹 超
𰫴	糹 立
𰫵	糹 百(奭)
𰫶	亻(儇) 糸
𰫷	糹 魯
𰫸	糹 憲
𰫹	孌(䜌) 于
𰫺	縮 糸
𰫻	歡 糸
𰫼	纟 丁
𰫽	纟 不
𰫾	纟 元
𰫿	纟 中
𰬀	纟 介
𰬁	纟 户
𰬂	纟 可
𰬃	纟 丙
𰬄	纟 口
𰬅	纟 付
𰬆	纟 句
𰬇	纟 主
𰬈	纟 玄
𰬉	纟 它
𰬊	纟 兰
𰬋	纟 弘
𰬌	纟 互
𰬍	纟 夹
𰬎	纟 毕
𰬏	纟 朱
𰬐	纟 乔
𰬑	纟 争
𰬒	纟 次
𰬓	纟 亥
𰬔	纟 并
𰬕	纟 女
𰬖	纟 成
𰬗	纟 求
𰬘	纟 孛
𰬙	纟 辰
𰬚	纟 员
𰬛	纟 豸
𰬜	纟 免
𰬝	纟 间
𰬞	纟 侵(𠬶)
𰬟	纟 或
𰬠	纟 画
𰬡	纟 疌
𰬢	纟 妻
𰬣	纟 易
𰬤	纟 卑
𰬥	纟 心
𰬦	纟 忽
𰬧	纟 炎
𰬨	纟 孟
𰬩	纟 肃
𰬪	纟 参
𰬫	纟 致
𰬬	纟 苗
𰬭	纟 封
𰬮	纟 牵
𰬯	纟 夂(㚇)
𰬰	纟 心
𰬱	纟 索
𰬲	纟 原
𰬳	纟 逆
𰬴	纟 宰
𰬵	纟 旋
𰬶	纟 習
𰬷	纟 散
𰬸	纟 惠
𰬹	纟 雋
𰬺	纟 尊
𰬻	纟 矞
𰬼	纟 赖
𰬽	纟 解
𰬾	纟 廉
𰬿	纟 僕
𰭀	纟 憂
𰭁	纟 心(蔥)
𰭂	缶 八
𰭃	缶 又
𰭄	缶 贯
𰭅	缶 康
𰭆	缶 隹
𰭇	缶 田
𰭈	四 攴
𰭉	冖 兑
𰭊	冂 刂
𰭋	四 直
𰭌	四 羊
𰭍	冂 免
𰭎	四 辛
𰭏	冂 或
𰭐	冖 具
𰭑	四 法
𰭒	冈 豕
𰭓	冈 紙
𰭔	四 绢
𰭕	冂 組
𰭖	网 孌(䜌)
𰭗	羊 几
𰭘	羊 丙
𰭙	羊 并
𰭚	羊 娄
𰭛	美 求
𰭜	羊 目
𰭝	羽 一
𰭞	羽 亓
𰭟	及 羽
𰭠	羽 尺
𰭡	羽 发
𰭢	羽 夹
𰭣	寿 羽
𰭤	易 羽
𰭥	羽 彧
𰭦	翻 本
𰭧	耂 乙
𰭨	耂 于
𰭩	大 老
𰭪	母 老
𰭫	老 咬
𰭬	士 而
𰭭	耑 乍
𰭮	耑 且
𰭯	既 而
𰭰	耒 升
𰭱	耒 介
𰭲	耒 干
𰭳	耳 么
𰭴	耳 尤
𰭵	耳 丐
𰭶	父 耳
𰭷	耳 午
𰭸	工(卭) 耳
𰭹	耳 龙
𰭺	奴 耳
𰭻	耳 而
𰭼	乙 聿
𰭽	聿 者
𰭾	肉 乙
𰭿	十 人
𰮀	八 肉
𰮁	月 刀
𰮂	肉 力
𰮃	月 小
𰮄	口 肉
𰮅	月 乡
𰮆	肉 巳
𰮇	月 无
𰮈	肉 市
𰮉	肉 不
𰮊	月 牛
𰮋	月 几
𰮌	勹 月
𰮍	爻 肉
𰮎	凶 肉
𰮏	肉 殳
𰮐	月 冗
𰮑	云 肉
𰮒	月 巨
𰮓	月 二(弍)
𰮔	北 肉
𰮕	甘 肉
𰮖	肉 正
𰮗	占 月
𰮘	肉 且
𰮙	月 刍
𰮚	月 小(尕)
𰮛	肉 生
𰮜	肉 台
𰮝	月 尧
𰮞	肉 牛(㐄)
𰮟	月 牛(㐄)
𰮠	月 厷
𰮡	肺 八
𰮢	匈 肉
𰮣	肉 色
𰮤	月 卷(龹)
𰮥	月 土
𰮦	月 戈
𰮧	冂 吾
𰮨	小 肉
𰮩	月 犬
𰮪	肉 孚
𰮫	林 肉
𰮬	月 具
𰮭	月 黾
𰮮	肉 劳
𰮯	月 房
𰮰	月 近
𰮱	月 月
𰮲	月 肃
𰮳	月 孟
𰮴	弓 背
𰮵	肚 亥
𰮶	南 肉
𰮷	月 若
𰮸	月 則
𰮹	肿 半
𰮺	月 月
𰮻	肉 臾
𰮼	月 比
𰮽	月 香
𰮾	月 又
𰮿	肥 皮
𰯀	月 又(凾)
𰯁	月 蚕
𰯂	月 监
𰯃	月 峯
𰯄	月 帀
𰯅	月 荀
𰯆	肉 帀
𰯇	冬 胃
𰯈	月 拳
𰯉	月 耳
𰯊	月 示
𰯋	难 肉
𰯌	月 心
𰯍	月 巳
𰯎	月 满(𬜯)
𰯏	月 木
𰯐	月 日
𰯑	月 康
𰯒	月 豕
𰯓	月 又
𰯔	月 敢
𰯕	月 德(㥁)
𰯖	厥 肉
𰯗	月 掌
𰯘	月 犮
𰯙	月(朕) 圭
𰯚	月 火(焱)
𰯛	月 蛮
𰯜	肩 怕
𰯝	月 止
𰯞	月 干
𰯟	月 随
𰯠	台(𨾱) 肉
𰯡	月 蒲
𰯢	脱 吝
𰯣	肉 貝(賔)
𰯤	月 旧
𰯥	儉 肉
𰯦	肉 寬(寛)
𰯧	月 廉
𰯨	月 褱
𰯩	月 隹
𰯪	月 隻
𰯫	月 蹙
𰯬	月 纍
𰯭	兔 月
𰯮	卧 乙
𰯯	臣 殳
𰯰	臣 又
𰯱	臣(臤) 斤
𰯲	臣 四
𰯳	臣 帚
𰯴	自 巾
𰯵	自 弗
𰯶	自 干
𰯷	臭 星
𰯸	臼 林
𰯹	臼 果
𰯺	舅 九
𰯻	臿 建
𰯼	臼 昔
𰯽	舌 卡
𰯾	舌 必
𰯿	舌 皮
𰰀	舌 因
𰰁	舌 吕
𰰂	乍 舍
𰰃	舌 免
𰰄	舌 灵
𰰅	舌 忍
𰰆	舌 单
𰰇	舌 厘
𰰈	舌 豕
𰰉	舌 羽(翕)
𰰊	匚 舛
𰰋	舟 双
𰰌	舟 刍
𰰍	舟 又
𰰎	卓 舟
𰰏	舟 带
𰰐	舟 苻
𰰑	舟 娄
𰰒	舟 班
𰰓	舟 進
𰰔	冂 良
𰰕	厂 色
𰰖	色 立
𰰗	色 宁
𰰘	含 色
𰰙	重 色
𰰚	色 恋
𰰛	色 黑
𰰜	艹 十
𰰝	八 乂
𰰞	艸 乂
𰰟	艹 乜
𰰠	艹 与
𰰡	莹(𫇦) 一
𰰢	艹 杨(𠃓)
𰰣	八 弓(弔)
𰰤	艹 区
𰰥	艹 艸
𰰦	八 少
𰰧	艹 衣
𰰨	艹 仑
𰰩	艹 斗
𰰪	艹 丑
𰰫	艹 青
𰰬	艹 灭
𰰭	艹 又
𰰮	艹 归
𰰯	艹 乙
𰰰	艹 犯
𰰱	艹 对
𰰲	艹 划
𰰳	艹 师
𰰴	艹 岂
𰰵	艹 杀
𰰶	艹 杂
𰰷	艹 负
𰰸	艹 弓
𰰹	艹 刘
𰰺	艹 设
𰰻	艹 彐
𰰼	艹 下
𰰽	莹(𫇦) 化
𰰾	艹 过
𰰿	艹 车
𰱀	艹 贡
𰱁	艹 克
𰱂	艹 弄
𰱃	艹 医
𰱄	艹 亡
𰱅	艹 呆
𰱆	艹 牡
𰱇	艹 月
𰱈	莹(𫇦) 示
𰱉	艹 闷
𰱊	艹 应
𰱋	八 攵
𰱌	艹 纳
𰱍	艹 纷
𰱎	艹 孜
𰱏	艹 昔
𰱐	艹 卖
𰱑	艹 斩
𰱒	艹 木
𰱓	艹 杭
𰱔	艹 肯
𰱕	白 芋
𰱖	艹 往
𰱗	艹 初
𰱘	艹 斤
𰱙	艹 勾
𰱚	艹 学
𰱛	艹 终
𰱜	艹 矢
𰱝	艹 项
𰱞	艹 政
𰱟	艹 贲
𰱠	艹 弓
𰱡	艹 欠
𰱢	艹 日
𰱣	艹 响
𰱤	艹 失
𰱥	艹 怠
𰱦	艹 复
𰱧	艹 亢
𰱨	艹 正
𰱩	艹 闾
𰱪	艹 衣
𰱫	艹 寸
𰱬	艹 捎
𰱭	艹 悦
𰱮	艹 虑
𰱯	艹 罢
𰱰	草 少
𰱱	艹 资
𰱲	艹 职
𰱳	艹 措
𰱴	夫 莫
𰱵	艹 人
