#漢字	常家河	榜羅	第三舖	李家店	碧玉	雞川	馬營	寺子川
楞	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴
肋	lei³¹²	lei⁴¹²	lei³¹²	lei³¹²	lɛ¹³	lɛ¹³	lɛ¹³	lɛ¹³
憎	tsəŋ⁴⁴	tsəŋ⁴⁴	tsəŋ⁴⁴	tsəŋ⁴⁴	tsəŋ⁴⁴	tsəŋ⁴⁴	tsəŋ⁴⁴	tsəŋ⁴⁴
蹭	tsʰəŋ⁴⁴	tsʰəŋ⁴⁴	tsʰəŋ⁴⁴	tsʰəŋ⁴⁴	tsʰəŋ⁴⁴	tsʰəŋ⁴⁴	tsʰəŋ⁴⁴	tsʰəŋ⁴⁴
贼	tsʰei¹³	tsʰei¹³	tsʰei¹³	tsʰe¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³
僧	səŋ³¹²	səŋ⁴¹²	səŋ³¹²	səŋ³¹²	səŋ¹³	səŋ¹³	səŋ¹³	səŋ¹³
塞	sei³¹²	sei⁴¹²	sei³¹²	sei³¹²	sɛ¹³	sɛ¹³	sɛ¹³	sɛ¹³
肯	kʰəŋ⁵³	kʰəŋ⁵³	kʰəŋ⁵³	kʰəŋ⁵³	kʰəŋ⁵³	kʰəŋ⁵³	kʰəŋ⁵³	kʰəŋ⁵³
克	kʰei³¹²	kʰei⁴¹²	kʰei³¹²	kʰei³¹²	kʰɛ¹³	kʰɛ¹³	kʰɛ¹³	kʰɛ¹³
恒	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³
黑	xei³¹²	xei⁴¹²	xei³¹²	xe³¹²	xɛ¹³	xɛ¹³	xɛ¹³	xɛ¹³
冰	piŋ³¹²	piŋ⁴¹²	piŋ³¹²	piŋ³¹²	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³
逼	pi³¹²	pi⁴¹²	pi³¹²	pi³¹²	pi¹³	pi¹³	pi¹³	pi¹³
凭	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³
陵	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³	liŋ¹³
力	ȵi³¹²	ȵi⁴¹²	ȵi³¹²	ȵi³¹²	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³
即	tsi³¹²	tsi⁴¹²	tsi³¹²	tɕi³¹²	tɕi¹³	tsi¹³	tɕi¹³	tɕi¹³
媳	si³¹²	si⁴¹²	si³¹²	ɕi³¹²	ɕi¹³	si¹³	ɕi¹³	ɕi¹³
征	tʂəŋ³¹²	tʂəŋ⁴¹²	tʂəŋ³¹²	tʂəŋ³¹²	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³
植	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³
瞪	təŋ⁴⁴	təŋ⁴⁴	təŋ⁴⁴	təŋ⁴⁴	təŋ⁴⁴	təŋ⁴⁴	təŋ⁴⁴	təŋ⁴⁴
直	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³
侧	tsʰei³¹²	tsʰei⁴¹²	tsʰei³¹²	tsʰe³¹²	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³
色	sei³¹²	sei⁴¹²	sei³¹²	se³¹²	sɛ¹³	sɛ¹³	sɛ¹³	sɛ¹³
蒸	tʂəŋ³¹²	tʂəŋ⁴¹²	tʂəŋ³¹²	tʂəŋ³¹²	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³
职	tʂʅ³¹²	tʂʅ⁴¹²	tʂʅ³¹²	tʂʅ³¹²	tʂʅ¹³	tʂʅ¹³	tʂʅ¹³	tʂʅ¹³
胜	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴
食	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³
式	ʂʅ³¹²	ʂʅ⁴¹²	ʂʅ³¹²	ʂʅ³¹²	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³
仍	zəŋ³¹²	ʐəŋ⁴¹²	zəŋ³¹²	zəŋ³¹²	zəŋ¹³	zəŋ¹³	zəŋ¹³	zəŋ¹³
扔	zɿ⁵³	ʐʅ⁵³	zɿ⁵³	zɿ⁵³	zɿ⁵³	zɿ⁵³	zɿ⁵³	zɿ⁵³
国	kuei³¹²	kuei⁴¹²	kuei³¹²	kue³¹²	kuɛ¹³	kuɛ¹³	kuɛ¹³	kuɛ¹³
极	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³
兴	ɕiŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴
弘	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³
或	xuei³¹²	xuei⁴¹²	xuei³¹²	xue³¹²	xuɛ¹³	xuɛ¹³	xuɛ¹³	xuɛ¹³
应	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴
抑	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³
域	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴
蝇	iŋ¹³	iŋ¹³	iŋ¹³	iŋ¹³	iŋ¹³	iŋ¹³	iŋ¹³	iŋ¹³
孕	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴	yŋ⁴⁴
百	pei³¹²	pei⁴¹²	pei³¹²	pe³¹²	pɛ¹³	pɛ¹³	pɛ¹³	pɛ¹³
拍	pʰei³¹²	pʰei⁴¹²	pʰei³¹²	pʰe³¹²	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³
棚	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³
白	pʰei¹³	pʰei¹³	pʰei¹³	pʰe¹³	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³
猛	məŋ⁵³	məŋ⁵³	məŋ⁵³	məŋ⁵³	məŋ⁵³	məŋ⁵³	məŋ⁵³	məŋ⁵³
麦	mei³¹²	mei⁴¹²	mei³¹²	me³¹²	mɛ¹³	mɛ¹³	mɛ¹³	mɛ¹³
打	ta⁵³	ta⁵³	ta⁵³	ta⁵³	ta⁵³	ta⁵³	ta⁵³	ta⁵³
冷	ləŋ⁵³	ləŋ⁵³	ləŋ⁵³	ləŋ⁵³	ləŋ⁵³	ləŋ⁵³	ləŋ⁵³	ləŋ⁵³
撑	tsʰəŋ³¹²	tʂʰəŋ⁴¹²	tsʰəŋ³¹²	tsʰəŋ³¹²	tsʰəŋ¹³	tsʰəŋ¹³	tsʰəŋ¹³	tsʰəŋ¹³
拆	tsʰei³¹²	tʂʰei⁴¹²	tsʰei³¹²	tsʰe³¹²	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³
摘	tsei³¹²	tʂei⁴¹²	tsei³¹²	tse³¹²	tsɛ¹³	tsɛ¹³	tsɛ¹³	tsɛ¹³
窄	tsei³¹²	tʂei⁴¹²	tsei³¹²	tse³¹²	tsɛ¹³	tsɛ¹³	tsɛ¹³	tsɛ¹³
争	tsəŋ³¹²	tʂəŋ⁴¹²	tsəŋ³¹²	tsəŋ³¹²	tsəŋ¹³	tsəŋ¹³	tsəŋ¹³	tsəŋ¹³
生	səŋ³¹²	ʂəŋ⁴¹²	səŋ³¹²	səŋ³¹²	səŋ¹³	səŋ¹³	səŋ¹³	səŋ¹³
册	tsʰei³¹²	tsʰei⁴¹²	tsʰei³¹²	tsʰe³¹²	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³
埂	kəŋ⁵³	kəŋ⁵³	kəŋ⁵³	kəŋ⁵³	kəŋ⁵³	kəŋ⁵³	kəŋ⁵³	kəŋ⁵³
格	kei³¹²	kei⁴¹²	kei³¹²	ke³¹²	kɛ¹³	kɛ¹³	kɛ¹³	kɛ¹³
耕	kei³¹²	kei⁴¹²	kei³¹²	ke³¹²	kɛ¹³	kɛ¹³	kɛ¹³	kɛ¹³
隔	kei³¹²	kei⁴¹²	kei³¹²	ke³¹²	kɛ¹³	kɛ¹³	kɛ¹³	kɛ¹³
客	kʰei³¹²	kʰei⁴¹²	kʰei³¹²	kʰe³¹²	kʰɛ¹³	kʰɛ¹³	kʰɛ¹³	kʰɛ¹³
额	kei³¹²	kei⁴¹²	kei³¹²	ke³¹²	kɛ¹³	kɛ¹³	kɛ¹³	kɛ¹³
杏	xəŋ⁴⁴	xəŋ⁴⁴	xəŋ⁴⁴	xəŋ⁴⁴	xəŋ⁴⁴	xəŋ⁴⁴	xəŋ⁴⁴	xəŋ⁴⁴
核(审~)	xei³¹²	xei⁴¹²	xei³¹²	xe³¹²	xɛ¹³	xɛ¹³	xɛ¹³	xɛ¹³
核(~桃)	kʰə¹³	kʰə¹³	kʰə¹³	kʰə¹³	xə¹³	xə¹³	xə¹³	xə¹³
核(果~)	xu¹³	xu¹³	xu¹³	xu¹³	xu¹³	xu¹³	xu¹³	xu¹³
兵	piŋ³¹²	piŋ⁴¹²	piŋ³¹²	piŋ³¹²	piŋ¹³	piŋ¹³	piŋ¹³	piŋ¹³
饼	piŋ⁵³	piŋ⁵³	piŋ⁵³	piŋ⁵³	piŋ⁵³	piŋ⁵³	piŋ⁵³	piŋ⁵³
壁	pi³¹²	pi⁴¹²	pi³¹²	pi³¹²	pi¹³	pi¹³	pi¹³	pi¹³
病	pʰiŋ⁴⁴	pʰiŋ⁴⁴	pʰiŋ⁴⁴	pʰiŋ⁴⁴	pʰiŋ⁴⁴	pʰiŋ⁴⁴	pʰiŋ⁴⁴	pʰiŋ⁴⁴
命	miŋ⁴⁴	miŋ⁴⁴	miŋ⁴⁴	miŋ⁴⁴	miŋ⁴⁴	miŋ⁴⁴	miŋ⁴⁴	miŋ⁴⁴
领	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³	liŋ⁵³
井	tsiŋ⁵³	tsiŋ⁵³	tsiŋ⁵³	tsiŋ⁵³	tsiŋ⁵³	tsiŋ⁵³	tsiŋ⁵³	tsiŋ⁵³
脊	tsi¹³	tsi¹³	tsi¹³	tsi¹³	tsi¹³	tsi¹³	tsi¹³	tsi¹³
请	tsʰiŋ⁵³	tsʰiŋ⁵³	tsʰiŋ⁵³	tɕʰiŋ⁵³	tɕʰiŋ⁵³	tsʰiŋ⁵³	tɕʰiŋ⁵³	tɕʰiŋ⁵³
净	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tsʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴
姓	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴	siŋ⁴⁴	ɕiŋ⁴⁴	ɕiŋ⁴⁴
惜	si³¹²	si⁴¹²	si³¹²	ɕi³¹²	ɕi¹³	si¹³	ɕi¹³	ɕi¹³
席	si¹³	si¹³	si¹³	ɕi¹³	ɕi¹³	si¹³	ɕi¹³	ɕi¹³
贞	tʂəŋ³¹²	tʂəŋ⁴¹²	tʂəŋ³¹²	tʂəŋ³¹²	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³	tʂəŋ¹³
逞	tʂʰəŋ⁵³	tʂʰəŋ⁵³	tʂʰəŋ⁵³	tʂʰəŋ⁵³	tʂʰəŋ⁵³	tʂʰəŋ⁵³	tʂʰəŋ⁵³	tʂʰəŋ⁵³
郑	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴
政	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴
只	tʂʅ³¹²	tʂʅ⁴¹²	tʂʅ³¹²	tʂʅ³¹²	tʂʅ¹³	tʂʅ¹³	tʂʅ¹³	tʂʅ¹³
尺	tʂʰʅ³¹²	tʂʰʅ⁴¹²	tʂʰʅ³¹²	tʂʰʅ³¹²	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³
射	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴
声	ʂəŋ³¹²	ʂəŋ⁴¹²	ʂəŋ³¹²	ʂəŋ³¹²	ʂəŋ¹³	ʂəŋ¹³	ʂəŋ¹³	ʂəŋ¹³
适	ʂʅ³¹²	ʂʅ⁴¹²	ʂʅ³¹²	ʂʅ³¹²	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³	ʂʅ¹³
诚	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³	tʂʰəŋ¹³
镜	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴
劲	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴
庆	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴	tɕʰiŋ⁴⁴
影	iŋ⁵³	iŋ⁵³	iŋ⁵³	iŋ⁵³	iŋ⁵³	iŋ⁵³	iŋ⁵³	iŋ⁵³
译	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³
瓶	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³	pʰiŋ¹³
顶	tiŋ⁵³	tiŋ⁵³	tiŋ⁵³	tiŋ⁵³	tiŋ⁵³	tiŋ⁵³	tiŋ⁵³	tiŋ⁵³
滴	tiə³¹²	tiə⁴¹²	tiə³¹²	tiə³¹²	tiə¹³	tiə¹³	tiə¹³	tiə¹³
听	tɕʰiŋ³¹²	tɕʰiŋ⁴¹²	tʰiŋ³¹²	tʰiŋ³¹²	tʰiŋ¹³	tʰiŋ¹³	tʰiŋ¹³	tʰiŋ¹³
踢	tɕʰi³¹²	tɕʰi⁴¹²	tʰi³¹²	tʰi³¹²	tʰi¹³	tʰi¹³	tʰi¹³	tʰi¹³
定	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴
敌	ti¹³	ti¹³	ti¹³	ti¹³	ti¹³	tɕi¹³	ti¹³	ti¹³
宁	tɕiŋ¹³	tɕiŋ¹³	ȵiŋ¹³	ȵiŋ¹³	ȵiŋ¹³	ȵiŋ¹³	ȵiŋ¹³	ȵiŋ¹³
另	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴
历	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³
析	si³¹²	si⁴¹²	si³¹²	ɕi³¹²	ɕi¹³	si¹³	ɕi¹³	ɕi¹³
醒	siŋ⁵³	siŋ⁵³	siŋ⁵³	siŋ⁵³	siŋ⁵³	siŋ⁵³	siŋ⁵³	siŋ⁵³
经	tɕiŋ³¹²	tɕiŋ⁴¹²	tɕiŋ³¹²	tɕiŋ³¹²	tɕiŋ¹³	tɕiŋ¹³	tɕiŋ¹³	tɕiŋ¹³
击	tɕi³¹²	tɕi⁴¹²	tɕi³¹²	tɕi³¹²	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³
吃	tʂʰʅ³¹²	tʂʰʅ⁴¹²	tʂʰʅ³¹²	tʂʰʅ³¹²	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³	tʂʰʅ¹³
形	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³	ɕiŋ¹³
横	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³	xəŋ¹³
宏	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³
划	xua¹³	xua¹³	xua¹³	xua¹³	xua¹³	xua¹³	xua¹³	xua¹³
荣	ʑyŋ¹³	ʑyŋ¹³	ʐuŋ¹³	ʑyŋ¹³	ʐuŋ¹³	ʑyŋ¹³	ʐuŋ¹³	ʑyŋ¹³
兄	ɕyŋ³¹²	ɕyŋ⁴¹²	ɕyŋ³¹²	ɕyŋ³¹²	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³	ɕyŋ¹³
永	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³	yŋ⁵³
疫	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³	ʑi¹³
篷	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³
扑	pʰəŋ³¹²	pʰəŋ⁴¹²	pʰəŋ³¹²	pʰəŋ³¹²	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³	pʰəŋ¹³
蒙	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³	məŋ¹³
木	mu³¹²	mu⁴¹²	mu³¹²	mu³¹²	mu¹³	mu¹³	mu¹³	mu¹³
懂	tuŋ⁵³	tuŋ⁵³	tuŋ⁵³	tuŋ⁵³	tuŋ⁵³	tuŋ⁵³	tuŋ⁵³	tuŋ⁵³
痛	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴
秃	tʰu³¹²	tʰu⁴¹²	tʰu³¹²	tʰu³¹²	tʰu¹³	tʰu¹³	tʰu¹³	tʰu¹³
动	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴
洞	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴
脓	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³
龙	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³
鹿	lu³¹²	lu⁴¹²	lu³¹²	lu³¹²	lu¹³	lu¹³	lu¹³	lu¹³
总	tsuŋ⁵³	tsuŋ⁵³	tsuŋ⁵³	tsuŋ⁵³	tsuŋ⁵³	tsuŋ⁵³	tsuŋ⁵³	tsuŋ⁵³
聪	tsʰuŋ³¹²	tsʰuŋ⁴¹²	tsʰuŋ³¹²	tsʰuŋ³¹²	tsʰuŋ¹³	tsʰuŋ¹³	tsʰuŋ¹³	tsʰuŋ¹³
族	tsʰu¹³	tsʰu¹³	tsʰu¹³	tsʰu¹³	tsʰu¹³	tsʰu¹³	tsʰu¹³	tsʰu¹³
送	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴
速	su³¹²	su⁴¹²	su³¹²	su³¹²	su¹³	su¹³	su¹³	su¹³
公	kuŋ³¹²	kuŋ⁴¹²	kuŋ³¹²	kuŋ³¹²	kuŋ¹³	kuŋ¹³	kuŋ¹³	kuŋ¹³
谷	ku³¹²	ku⁴¹²	ku³¹²	ku³¹²	ku¹³	ku¹³	ku¹³	ku¹³
孔	kʰuŋ⁵³	kʰuŋ⁵³	kʰuŋ⁵³	kʰuŋ⁵³	kʰuŋ⁵³	kʰuŋ⁵³	kʰuŋ⁵³	kʰuŋ⁵³
哭	kʰu³¹²	kʰu⁴¹²	kʰu³¹²	kʰu³¹²	kʰu¹³	kʰu¹³	kʰu¹³	kʰu¹³
烘	xuŋ³¹²	xuŋ⁴¹²	xuŋ³¹²	xuŋ³¹²	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³
红	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³	xuŋ¹³
屋	vu³¹²	vu⁴¹²	vu³¹²	vu³¹²	vu¹³	vu¹³	vu¹³	vu¹³
冬	tuŋ³¹²	tuŋ⁴¹²	tuŋ³¹²	tuŋ³¹²	tuŋ¹³	tuŋ¹³	tuŋ¹³	tuŋ¹³
督	tu³¹²	tu⁴¹²	tu³¹²	tu³¹²	tu¹³	tu¹³	tu¹³	tu¹³
统	tʰuŋ⁵³	tʰuŋ⁵³	tʰuŋ⁵³	tʰuŋ⁵³	tʰuŋ⁵³	tʰuŋ⁵³	tʰuŋ⁵³	tʰuŋ⁵³
毒	tʰu¹³	tʰu¹³	tʰu¹³	tʰu¹³	tʰu¹³	tʰu¹³	tʰu¹³	tʰu¹³
农	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³	luŋ¹³
宗	tsuŋ³¹²	tsuŋ⁴¹²	tsuŋ³¹²	tsuŋ³¹²	tsuŋ¹³	tsuŋ¹³	tsuŋ¹³	tsuŋ¹³
宋	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴	suŋ⁴⁴
风	fəŋ³¹²	fəŋ⁴¹²	fəŋ³¹²	fəŋ³¹²	fəŋ¹³	fəŋ¹³	fəŋ¹³	fəŋ¹³
福	fu³¹²	fu⁴¹²	fu³¹²	fu³¹²	fu¹³	fu¹³	fu¹³	fu¹³
梦	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴
目	mu³¹²	mu⁴¹²	mu³¹²	mu³¹²	mu¹³	mu¹³	mu¹³	mu¹³
六	liəu³¹²	liou⁴¹²	liəu³¹²	liəu³¹²	liəu¹³	liəu¹³	liəu¹³	liəu¹³
宿	ɕy³¹²	ɕy⁴¹²	ɕy³¹²	ɕy³¹²	ɕy¹³	ɕy¹³	ɕy¹³	ɕy¹³
忠	tʃʯŋ³¹²	tʃʯŋ⁴¹²	tʃʯŋ³¹²	tʃʯŋ³¹²	tʃʯŋ¹³	tʃʯŋ¹³	tʃʯŋ¹³	tʃʯŋ¹³
竹	tʃʯ³¹²	tʃʯ⁴¹²	tʃʯ³¹²	tʃʯ³¹²	tʃʯ¹³	tʃʯ¹³	tʃʯ¹³	tʃʯ¹³
虫	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³	tʃʰʯŋ¹³
逐	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³
轴	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³
缩	suə³¹²	suə⁴¹²	suə³¹²	suə³¹²	suə¹³	suə¹³	suə¹³	suə¹³
终	tʃʯŋ³¹²	tʃʯŋ⁴¹²	tʃʯŋ³¹²	tʃʯŋ³¹²	tʃʯŋ¹³	tʃʯŋ¹³	tʃʯŋ¹³	tʃʯŋ¹³
叔	ʃʯ³¹²	ʃʯ⁴¹²	ʃʯ³¹²	ʃʯ³¹²	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³
熟	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³
戎	ʒʯŋ¹³	ʒʯŋ¹³	ʒʯŋ¹³	ʒʯŋ¹³	ʒʯŋ¹³	ʒʯŋ¹³	ʒʯŋ¹³	ʒʯŋ¹³
肉	ʐəu⁴⁴	ʐou⁴⁴	ʐəu⁴⁴	ʐəu⁴⁴	ʐəu⁴⁴	ʐəu⁴⁴	ʐəu⁴⁴	ʐəu⁴⁴
宫	kuŋ³¹²	kuŋ⁴¹²	kuŋ³¹²	kuŋ³¹²	kuŋ¹³	kuŋ¹³	kuŋ¹³	kuŋ¹³
菊	tɕy¹³	tɕy¹³	tɕy¹³	tɕy¹³	tɕy¹³	tɕy¹³	tɕy¹³	tɕy¹³
穷	tɕʰyŋ¹³	tɕʰyŋ¹³	tɕʰyŋ¹³	tɕʰyŋ¹³	tɕʰyŋ¹³	tɕʰyŋ¹³	tɕʰyŋ¹³	tɕʰyŋ¹³
