汉字	罗马字	IPA	注释																
乳	dzi2	dzi˥˨																	
拘	ki1	ki˧˧																	
駒	ki1	ki˧˧																	
俱	ki7	ki˨˨																	
矩	ki2	ki˥˨																	
句	ku3	ku˨˩																	
枸	kou2	kou˥˨																	
佝	ku1	ku˧˧	𤸫痀un3 ku1， 蹺痀kʰiau1 ku1， 厾痀tok4 ku1																
痀	ku1	ku˧˧	𤸫痀un3 ku1， 蹺痀kʰiau1 ku1， 厾痀tok4 ku1																
區	khi1	kʰi˧˧																	
驅	khi1	kʰi˧˧																	
軀	su1	su˧˧	浑躯hin1 su1																
軀	khi1	kʰi˧˧																	
具	ki7	ki˨˨																	
懼	ki7	ki˨˨																	
虞	gi5	gi˩˨																	
愚	gi5	gi˩˨	愚笨																
愚	i5	i˩˨	愚公移山																
娛	gi5	gi˩˨																	
遇	gi7	gi˨˨																	
寓	gi7	gi˨˨																	
迂	i1	i˧˧																	
于	i5	i˩˨																	
盂	ou5	ou˩˨																	
雨	hou7	hou˨˨	(白)																
雨	i2	i˥˨	(文)																
禹	i2	i˥˨																	
宇	i2	i˥˨																	
羽	i2	i˥˨																	
芋	ou7	ou˨˨																	
逾	i5	i˩˨																	
榆	ji5	ji˩˨																	
愉	ji5	ji˩˨																	
愉	i5	i˩˨																	
愈	ji2	ji˥˨																	
愈	lu2	lu˥˨	dz音变为l																
喻	ji7	ji˨˨																	
裕	ju7	ju˨˨																	
戴	ti3	ti˨˩	(白)																
戴	tai3	tai˨˩	(文)																
胎	tʰe1	tʰe˧˧	(白)鸡仔胎																
胎	tʰai1	tʰai˧˧	(文)风胎:轮胎																
台	tʰai1	tʰai˧˧	风台																
台	tai5	tai˩˨																	
態	tʰai3	tʰai˨˩																	
貸	tai7	tai˨˨																	
臺	tai5	tai˩˨																	
苔	ti5	ti˩˨	(白)青苔																
苔	tʰi5	tʰi˩˨	同ti5																
苔	tʰai1	tʰai˧˧	(文)																
抬	tai5	tai˩˨																	
殆	tai7	tai˨˨																	
待	tʰai7	tʰai˨˨	管待																
怠	tai7	tai˨˨																	
代	te7	te˨˨	(白)后代																
代	tai7	tai˨˨	(文)																
袋	te7	te˨˨																	
袋	te2	te˥˨	(训)粪te2:农村的垃圾堆																
乃	nai2	nai˥˨																	
耐	nai7	nai˨˨																	
來	lai5	lai˩˨																	
災	tse1	tse˧˧	(白)死囡仔灾， 着灾死囡仔																
災	tsai1	tsai˧˧	(文)																
栽	tsai1	tsai˧˧	倒头栽																
宰	tsai2	tsai˥˨																	
載	tsai3	tsai˨˩																	
再	tsai3	tsai˨˩																	
載	tsai3	tsai˨˩																	
猜	tshai1	tsʰai˧˧																	
采	tshai2	tsʰai˥˨																	
睬	tshai2	tsʰai˥˨																	
彩	tshai2	tsʰai˥˨																	
菜	tshai3	tsʰai˨˩																	
裁	tsai5	tsai˩˨																	
材	tsai5	tsai˩˨																	
材	tsha5	tsʰa˩˨																	
才	tsai5	tsai˩˨	(白)																
才	tshai5	tsʰai˩˨	(文)																
財	tsai5	tsai˩˨																	
在	ti7	ti˨˨																	
在	tsai7	tsai˨˨	在厝奇南香hiũ1，出厝松柏丛:在家中受呵护可以娇贵，出门就得像松柏根须那样自寻门路了																
在	tshai7	tsʰai˨˨	在牢牢tsʰai7 tiau5 tiau5																
腮	sai1	sai˧˧	(文)腮仔																
腮	tshi1	tsʰi˧˧	(白)牙槽腮																
賽	sai3	sai˨˩																	
該	kai1	kai˧˧																	
改	ke2	ke˥˨	(白)戒																
改	kai2	kai˥˨	(文)改良仔:芗剧																
溉	khai3	kʰai˨˩																	
概	khai3	kʰai˨˩																	
開	khui1	kʰui˧˧	(白)																
開	khai1	kʰai˧˧	(文)																
凱	khai2	kʰai˥˨																	
愷	khai2	kʰai˥˨																	
慨	khai3	kʰai˨˩																	
呆	tai1	tai˧˧																	
礙	gai7	gai˨˨	妨碍																
海	hai2	hai˥˨																	
孩	hai5	hai˩˨																	
亥	hai7	hai˨˨																	
哀	ai1	ai˧˧																	
埃	ai1	ai˧˧																	
埃	ia1	ia˧˧	轰埃eŋ1 ia1																
唉	hai7	hai˨˨																	
愛	ai3	ai˨˩																	
貝	pue3	pue˨˩																	
杮	phue3	pʰue˨˩	樵杮仔:木片																
沛	phue3	pʰue˨˩	颠沛																
沛	phai3	pʰai˨˩	丰沛																
帶	tua3	tua˨˩	(白)																
帶	tai3	tai˨˩	(文)																
泰	tʰua3	tʰua˨˩	(白)长泰tio5 tʰua3																
泰	tʰai3	tʰai˨˩	(文)																
太	tʰai3	tʰai˨˩	公太																
大	tua7	tua˨˨	(白)																
大	tai7	tai˨˨	(文)																
汰	tʰua7	tʰua˨˨	水冲洗:汰衫裤，汰喙																
奈	tai7	tai˨˨	无奈何tai7 ua5																
奈	nai7	nai˨˨																	
賴	lua7	lua˨˨	(白)																
賴	nai7	nai˨˨	(文)依赖																
瀨	lua3	lua˨˩	地名:山格镇洪濑口，崎岭乡古濑村																
癩	tʰai2	tʰai˥˨	癞哥(鬼):原指麻风病人，后引申为恶心肮脏																
蔡	tshua3	tsʰua˨˩																	
蓋	kua3	kua˨˩	名词:盖仔																
蓋	kah4	kaʔ˦˨	动词:盖被																
蓋	khan3	kʰan˨˩	1.动词:盖厝瓦:瓦片厝 2.名词:盖仔																
蓋	kai3	kai˨˩	盖好也:太好了																
蓋	khop4	kʰop˦˨	盖住																
蓋	hop4	hop˦˨	(训)1.盖住 2.闷着																
蓋	khah8	kʰaʔ˩˧	(训)1.粘黏 2.关门																
丐	kai3	kai˨˩																	
艾	hiann7	hiã˨˨																	
害	hai7	hai˨˨																	
藹	ai2	ai˥˨	和蔼																
拜	pai3	pai˨˩																	
排	pai5	pai˩˨																	
埋	bai5	bai˩˨																	
埋	tai5	tai˩˨	(训)死(度人)埋si2 hoŋ5 tai5																
齋	tse5	tse˩˨																	
豺	tsha5	tsʰa˩˨	豺狗																
皆	kai1	kai˧˧																	
街	ke1	ke˧˧																	
階	kai1	kai˧˧																	
戒	kai3	kai˨˩	戒尺																
芥	kua3	kua˨˩	(白)芥菜																
芥	kɛ3	kɛ˨˩	(白)芥芒仔菜kɛ3 me5																
芥	kai3	kai˨˩	芥蓝仔																
尬	kai3	kai˨˩																	
界	ke3	ke˨˩	(白)大四界:多的是																
界	kai3	kai˨˩	界限																
介	kai3	kai˨˩																	
疥	kai3	kai˨˩	疥疮:痔疮																
届	kai3	kai˨˩																	
楷	khai2	kʰai˥˨																	
諧	hiap8	hiap˩˧																	
駭	hai3	hai˨˩																	
械	hai7	hai˨˨																	
挨	e1	e˧˧	(白)挨笼																
挨	he5	he˩˨	(白)1.摩擦，肘击 2.闲逛																
擺	pai2	pai˥˨																	
派	phai3	pʰai˨˩																	
牌	pai5	pai˩˨																	
罷	pa7	pa˨˨																	
稗	phe7	pʰe˨˨	稗仔																
買	be2	be˥˨																	
賣	be7	be˨˨																	
奶	ne1	ne˧˧																	
奶	leng1	leŋ˧˧	树奶:橡胶																
奶	le2	le˥˨	娘妳																
債	tsɛ3	tsɛ˨˩																	
釵	tshɛ1	tsʰɛ˧˧	金簪釵																
差	tshɛ1	tsʰɛ˧˧																	
柴	tsha5	tsʰa˩˨																	
篩	tʰai5	tʰai˩˨	(白)米筛目，筛仔																
篩	sai5	sai˩˨	(文)筛选																
灑	se3	se˨˩	洒物件:摔东西																
灑	sa2	sa˥˨	潇洒																
曬	sai3	sai˨˩																	
佳	kɛ1	kɛ˧˧																	
佳	kai1	kai˧˧	(训)佳哉:太好了																
解	e7	e˨˨	解晓																
解	ke2	ke˥˨	1.戒:解熏解酒，2.改错:歹习惯爱解一下																
解	kai2	kai˥˨	(文)																
涯	gia5	gia˩˨																	
崖	gia5	gia˩˨																	
鞋	e5	e˩˨																	
蟹	he7	he˨˨	(白)毛蟹，草蟹，蟳蟹																
懈	hai7	hai˨˨																	
矮	e2	e˥˨																	
隘	ek4	ek˦˨	地名:隘仔楼																
敗	pai7	pai˨˨	卸败:丢人																
邁	mai7	mai˨˨																	
寨	tsɛ7	tsɛ˨˨																	
蔽	pi3	pi˨˩																	
斃	pi3	pi˨˩																	
敝	pi7	pi˨˨																	
幣	pi3	pi˨˩																	
弊	pi7	pi˨˨																	
厲	li7	li˨˨																	
勵	le7	le˨˨																	
例	li7	li˨˨																	
例	le7	le˨˨																	
祭	tse3	tse˨˩	祭墓																
際	tse3	tse˨˩																	
際	tsia3	tsia˨˩	地名:山格镇高示村，坂仔镇白水漈，安厚镇漈口																
際	tsua3	tsua˨˩	地名:崎岭乡际头村，小溪镇豆坪际脚，霞寨镇百丈漈村、漈尾村																
漈	tsia3	tsia˨˩	地名:山格镇高示村，坂仔镇白水漈，安厚镇漈口																
漈	tsua3	tsua˨˩	地名:崎岭乡际头村，小溪镇豆坪际脚，霞寨镇百丈漈村、漈尾村																
磜	tsia3	tsia˨˩	地名:山格镇高示村，坂仔镇白水漈，安厚镇漈口																
磜	tsua3	tsua˨˩	地名:崎岭乡际头村，小溪镇豆坪际脚，霞寨镇百丈漈村、漈尾村																
滯	tih8	tiʔ˩˧																	
制	tsi3	tsi˨˩																	
制	tse3	tse˨˩	(白)																
製	tsi3	tsi˨˩																	
製	tse3	tse˨˩	(白)																
漬	tsi3	tsi˨˩	i3 tsi3:肮脏																
漬	tshi5	tsʰi˩˨	潮湿																
舐	tsi7	tsi˨˨	1.舔，2.用布止住:水洒出来去tsi7下																
勢	se3	se˨˩	(白)否势pʰaĩ2 se3																
勢	si3	si˨˩	(文)好势否势bai2 si3																
世	se3	se˨˩	(白)																
世	si3	si˨˩																	
誓	tsua7	tsua˨˨	(白)咒誓																
誓	si7	si˨˨	(文)																
誓	se7	se˨˨	(白)																
逝	si7	si˨˨	(文)																
逝	tsua7	tsua˨˨	(白)次:只逝，下逝																
藝	ge7	ge˨˨																	
閉	pi3	pi˨˩																	
閉	kheh4	kʰeh˦˨	(训)闭眼睛:禁kʰeʔ4目																
箅	pi3	pi˨˩																	
批	phe1	pʰe˧˧																	
陛	pi3	pi˨˩																	
迷	be5	be˩˨	(白)迷信																
迷	mi5	mi˩˨	(文)迷彩服，迷路																
米	bi2	bi˥˨																	
謎	be5	be˩˨																	
堤	tʰe1	tʰe˧˧																	
低	te1	te˧˧																	
底	te2	te˥˨																	
抵	te2	te˥˨																	
抵	tu2	tu˥˨	抵数																
帝	te3	te˨˩																	
蒂	ti3	ti˨˩	耳蒂仔:耳垂， 咙喉蒂仔:悬雍垂																
梯	tʰui1	tʰui˧˧	(白)																
梯	tʰi1	tʰi˧˧	(文)																
體	tʰe2	tʰe˥˨																	
替	tʰe3	tʰe˨˩																	
涕	tʰe3	tʰe˨˩																	
剃	tʰi3	tʰi˨˩																	
提	tʰe5	tʰe˩˨																	
提	tʰeh8	tʰeh˩˧	拿东西:提物件																
提	kheh8	kʰeh˩˧	(训)给别人																
提	kuann7	kuã˨˨	(训)kuã7物件:提物品																
提	gim2	gim˥˨	(训)拿东西																
題	te5	te˩˨																	
蹄	te5	te˩˨																	
啼	tʰi5	tʰi˩˨	鸡啼																
弟	ti7	ti˨˨	(白)小弟仔																
弟	te7	te˨˨	(文)徒弟																
第	te7	te˨˨																	
遞	te7	te˨˨																	
泥	ni5	ni˩˨																	
犁	le5	le˩˨																	
黎	le5	le˩˨																	
禮	le2	le˥˨	畏小礼																
麗	le7	le˨˨																	
隸	le7	le˨˨																	
擠	kheh4	kʰeh˦˨	(训)																
濟	tse7	tse˨˨	偌济																
濟	tse3	tse˨˩	救济																
妻	tshe1	tsʰe˧˧																	
凄	tshe1	tsʰe˧˧																	
砌	kih4	kiʔ˦˨	砌石，五骹砌																
砌	tshiat4	tsʰiat˦˨	砌墙，砌石																
齊	tse5	tse˩˨																	
臍	tsai5	tsai˩˨	(白)肚脐																
薺	tsi5	tsi˩˨	马荸																
西	sai1	sai˧˧	(白)																
西	se1	se˧˧	(文)																
棲	tshe1	tsʰe˧˧																	
犀	sai1	sai˧˧	犀角																
犀	se1	se˧˧	犀牛																
洗	se2	se˥˨																	
細	se3	se˨˩																	
細	tsiau1	tsiau˧˧	(训)tsiau1 tuʔ4 ua:一点点																
婿	sai3	sai˨˩																	
雞	ke1	ke˧˧																	
稽	ke1	ke˧˧																	
計	ke3	ke˨˩																	
繼	ke3	ke˨˩																	
系	he7	he˨˨																	
溪	khe1	kʰe˧˧																	
啟	khe2	kʰe˥˨																	
契	khe3	kʰe˨˩																	
倪	ge5	ge˩˨																	
詣	tsi2	tsi˥˨																	
奚	he5	he˩˨																	
繫	he7	he˨˨																	
係	he7	he˨˨																	
縊	ek4	ek˦˨	自缢																
杯	pue1	pue˧˧																	
輩	pue3	pue˨˩																	
背	pue3	pue˨˩	背身																
背	pue7	pue˨˨	背诵																
背	phainn7	pʰaĩ˨˨	(训)背金斗:形容人运气差，金斗瓮仔落地就不能随便迁移，动了风水会给逝者家庭带来坏运																
背	ainn7	aĩ˨˨	(训)																
背	hiannh4	hiãʔ˦˨	(训)																
背	tsiang7	tsiaŋ˨˨	(训)用布背孩子:tsiaŋ7囝仔																
褙	pue3	pue˨˩	涂褙																
坯	phue1	pʰue˧˧	粗坯仔																
胚	phue1	pʰue˧˧	猪胚仔，胚才仔，死人胚，皇神胚，胚死命																
配	phue3	pʰue˨˩	物配																
培	pue5	pue˩˨																	
陪	pue5	pue˩˨																	
賠	pue5	pue˩˨																	
倍	pue7	pue˨˨																	
佩	phue7	pʰue˨˨																	
佩	phuah8	pʰuaʔ˩˧	佩衫裤																
媒	bue5	bue˩˨																	
枚	bue5	bue˩˨																	
玫	bue5	bue˩˨																	
侮	bu2	bu˥˨																	
梅	m5	m˩˨	树梅，杨梅tsʰo5 m5(连读做tsʰom5)																
梅	bue5	bue˩˨	梅州，梅花																
每	bue2	bue˥˨																	
昧	mai7	mai˨˨																	
昧	mɛ7	mɛ˨˨	(白)																
妹	mai7	mai˨˨	小妹仔																
妹	mɛ7	mɛ˨˨	(白)																
妹	mai1	mai˧˧	阿妹，臭妹																
妹	mɛ1	mɛ˧˧	(白)																
堆	tu1	tu˧˧	名词，草堆																
堆	lu1	lu˧˧	肿块																
堆	tui1	tui˧˧																	
對	tui3	tui˨˩	联对																
推	tʰui1	tʰui˧˧																	
推	tʰe1	tʰe˧˧	(白)																
推	tshui1	tsʰui˧˧	推销																
推	lu1	lu˧˧																	
推	lu7	lu˨˨	(替)																
推	tu1	tu˧˧	1.推卸责任， 2.囤积"堆堆作垺"																
推	sak4	sak˦˨	(训)推出去																
推	tshiau5	tsʰiau˩˨	(训)1.移动:tsʰiau5桌仔 2.调整:tsʰiau5时钟 3.协商:tsʰi1 tsʰiau5																
撨	tshiau5	tsʰiau˩˨	(训)1.移动:tsʰiau5桌仔 2.调整:tsʰiau5时钟 3.协商:tsʰi1 tsʰiau5																
腿	tʰui2	tʰui˥˨																	
退	tʰue3	tʰue˨˩																	
退	tʰe3	tʰe˨˩																	
頽	tʰui5	tʰui˩˨																	
隊	tui7	tui˨˨																	
内	lai7	lai˨˨	(替)里，内胎:内裤																
雷	lui5	lui˩˨																	
儡	le2	le˥˨	轱儡仔ka1 le2 a																
催	tshui1	tsʰui˧˧																	
崔	tshui1	tsʰui˧˧																	
罪	tsue7	tsue˨˨																	
碎	tshui3	tsʰui˨˩																	
瑰	bue5	bue˩˨																	
盔	khue1	kʰue˧˧																	
魁	khue1	kʰue˧˧																	
魁	khuei1	kʰuei˧˧	地名:芦溪镇双峰村大魁. 应为大窠转写，当地窠念kʰuei																
詼	khue1	kʰue˧˧	做诙:丑角																
恢	hue1	hue˧˧																	
塊	te3	te˨˩																	
塊	kat4	kat˦˨	(训)塗墼厝:土砖房，塗墼印:印制土砖的模具																
桅	ui5	ui˩˨																	
灰	hue1	hue˧˧																	
灰	hu1	hu˧˧	(白)壁灰，香灰																
悔	hue2	hue˥˨																	
賄	hue3	hue˨˩																	
賄	hue2	hue˥˨	分家贿:分财产																
晦	hui3	hui˨˩	晦气																
回	hue5	hue˩˨	衫仔裾回着涂粉																
洄	hue5	hue˩˨	地名:秀峰乡坪洄村																
匯	hue7	hue˨˨																	
潰	khui3	kʰui˨˩																	
煨	ue1	ue˧˧	文火慢炖																
兌	tui7	tui˨˨																	
兌	tue7	tue˨˨																	
最	tsue3	tsue˨˩																	
劊	kue3	kue˨˩																	
會	hue7	hue˨˨	开会																
會	kue3	kue˨˩	会计																
外	gua7	gua˨˨																	
外	gue7	gue˨˨	外甥仔，外妈																
繪	hue7	hue˨˨																	
乖	kuai1	kuai˧˧																	
怪	kuai3	kuai˨˩																	
怪	kue3	kue˨˩	(白)																
淮	huai5	huai˩˨																	
懷	huai5	huai˩˨																	
懷	kui7	kui˨˨	怀囝仔:用布把孩子背在身上																
槐	huai5	huai˩˨																	
傀	ka1	ka˧˧	(替)ka1 le2仔:木偶戏																
壞	hai7	hai˨˨	1.品质差:坏厝 2.坏掉了:坏伊也																
拐	kuai2	kuai˥˨																	
拐	kue7	kue˨˨	(训)kue7 tsun7 le5: 扭到了																
掛	kua3	kua˨˩																	
挂	kua3	kua˨˩																	
卦	kuɛ3	kuɛ˨˩																	
卦	kua3	kua˨˩	又																
歪	uai1	uai˧˧																	
畫	uɛ7	uɛ˨˨	画尪仔:画画																
蛙	kuai1	kuai˧˧	蛤蛙，青蛙，大肚蛙																
蛙	kuainn1	kuaĩ˧˧	同kuai1，大肚蛙kuaĩ1，刚长出尾巴的蝌蚪:kam2 kuaĩ1																
快	khuann3	kʰuã˨˩	快活																
快	khuai3	kʰuai˨˩																	
筷	khuai3	kʰuai˨˩																	
