字	类型	读音
	IPA	soɯ / soʔ / so / sɯeʔ
寞	假名	モ
	IPA	mo
寶	假名	パ◦ウ／パウ／ホウ／ハーウ／パーウ
	IPA	paɯ / hoɯ / haɯ
摸	假名	モウ／モヲヽ
	IPA	moɯ / moːo
漠	假名	モ
	IPA	mo
莫	假名	モ
	IPA	mo
壑	假名	ホ
	IPA	ho
熇	假名	カ◦ウ
	IPA	kaɯ
藿	假名	ホツ／ポツ
	IPA	hoʔ / poʔ
諾	假名	ノ
	IPA	no
厝	假名	ツヲヽ
	IPA	tsɯoː
錯	假名	ツヲヽ
	IPA	tsɯoː
廓	假名	コ
	IPA	ko
恪	假名	コエ
	IPA	koe
萼	假名	ノ
	IPA	no
鰐／鱷	假名	クワアヽ／ネ
	IPA	kɯwaː / ne
鶚	假名	クワアヽ
	IPA	kɯwaː
作	假名	ツヲ／ツヲヽ／ソ／ソ゚
	IPA	tsɯo / tsɯoː / so
柞	假名	ツヲツ
	IPA	tsɯoʔ
鑿	假名	ツヲツ／ヅヲ
	IPA	tsɯoʔ / dzɯo
各	假名	コ
	IPA	ko
格	假名	ゲ
	IPA	ge
郭	假名	クワ
	IPA	kɯwa
閣	假名	コツ／コ／ケ
	IPA	koʔ / ko / ke
籜	假名	ツヱ
	IPA	tsɯe
託／托	假名	ト
	IPA	to
魄	假名	ペ
	IPA	pe
壩	假名	パア
	IPA	paː
杷	假名	パア／パアヽ／バアヽ
	IPA	paː / baː
棚	假名	ポン
	IPA	poN
榜	假名	パン／バン
	IPA	paN / baN
榮	假名	ヨン／イヨン
	IPA	joN / ijoN
蠑	假名	ヨン
	IPA	joN
鎗	假名	ツアン／ツヤン
	IPA	tsɯaN / tsɯjaN
桁	假名	ヘン
	IPA	heN
橫	假名	ヒヲン／ウヲン／ウワン
	IPA	çioN / ɯoN / ɯwaN
蝗	假名	ハアン
	IPA	haːN
行	假名	ヒン／ピン／ハアン／ハン／ヘン／ヒイウ／イン／イヒン／ヒイン
	IPA	çiN / piN / haːN / haN / heN / çiːɯ / iN / içiN / çiːN
衡	假名	ヘン／ヒエン
	IPA	heN / çieN
兵	假名	ピン／ビン
	IPA	piN / biN
英	假名	イン
	IPA	iN
霙	假名	イン
	IPA	iN
杷	假名	パア／パアヽ／バアヽ
	IPA	paː / baː
杷	假名	パア／パアヽ／バアヽ
	IPA	paː / baː
鳴	假名	ミン／ミイン／メイ
	IPA	miN / miːN / mei
兄	假名	ヒヨン／ヒアン
	IPA	çijoN / çiaN
卿	假名	キン
	IPA	kiN
坑/阬	假名	ケ゚ン
	IPA	kǝN
澄	假名	チン
	IPA	tɕiN
牲	假名	スイン
	IPA	sɯiN
猩	假名	スイン
	IPA	sɯiN
生	假名	スエン／スヱン／ス゚ヱン
	IPA	sɯeN
甥	假名	スヱン
	IPA	sɯeN
笙	假名	スエン
	IPA	sɯeN
迎	假名	ニヤン／ニン／ニイン
	IPA	nijaN / niN / niːN
擎	假名	キン／ギイン／ギン
	IPA	kiN / giːN / giN
鯨	假名	キン／ギイン
	IPA	kiN / giːN
京	假名	キン／キイン
	IPA	kiN / kiːN
庚	假名	ケン
	IPA	keN
更	假名	ケン／ゲン／ケ゚ン／コン
	IPA	keN / geN / kǝN / koN
秔/粳	假名	ケン
	IPA	keN
羹	假名	ケン
	IPA	keN
荊／荆	假名	キン
	IPA	kiN
觥	假名	クヲン／コヲン
	IPA	kɯoN / koːN
庄	假名	チヤン
	IPA	tɕijaN
棚	假名	ポン
	IPA	poN
凈	假名	ツイン
	IPA	tsɯiN
噌	假名	ツ
	IPA	ʔ
錚	假名	ツエン
	IPA	tsɯeN
紘	假名	ホン
	IPA	hoN
閎	假名	ホン
	IPA	hoN
儜	假名	ニン
	IPA	niN
櫻	假名	イン
	IPA	iN
罌	假名	イン
	IPA	iN
鶯	假名	イン
	IPA	iN
鸎	假名	オウ
	IPA	oɯ
鸚	假名	イン
	IPA	iN
萌	假名	モン／ムン／メン
	IPA	moN / mɯN / meN
轟	假名	ホン
	IPA	hoN
砰	假名	ペン
	IPA	peN
丁	假名	テイ／テイン／ヒアヤヽ／リン／テ゚ン
	IPA	tei / teiN / çiaːja / riN / diN
爭／争	假名	ツヱン／ツエン／ヅエン
	IPA	tsɯeN / dzɯeN
箏	假名	ツヱン／ツエン
	IPA	tsɯeN
耕	假名	ケン／ケエン
	IPA	keN / keːN
嬴	假名	イン
	IPA	iN
楹	假名	イン
	IPA	iN
瀛	假名	イン
	IPA	iN
盈	假名	イン／ヂン
	IPA	iN / dʑiN
贏	假名	ルイ
	IPA	rɯi
令	假名	リン
	IPA	riN
城	假名	チン／ヂン
	IPA	tɕiN / dʑiN
成	假名	チン／ヂン／ジン
	IPA	tɕiN / dʑiN
盛	假名	ジン／チン／ヂン
	IPA	dʑiN / tɕiN
筬	假名	チン
	IPA	tɕiN
誠	假名	ヂン／チン
	IPA	dʑiN / tɕiN
巴	假名	パアヽ／バ／ク゚／パ／ワ
	IPA	paː / ba / pa / wa
并	假名	ピン
	IPA	piN
嬰	假名	イン
	IPA	iN
縈	假名	ヨン
	IPA	joN
纓	假名	イン
	IPA	iN
蘡	假名	イン
	IPA	iN
情	假名	ヅイン／ツイン／チン／スイン／ズイン
	IPA	dzɯiN / tsɯiN / tɕiN / sɯiN / zɯiN
晴	假名	ツイン／ヅイン／ヂン
	IPA	tsɯiN / dzɯiN / dʑiN
請	假名	ツイン／チン
	IPA	tsɯiN / tɕiN
檉	假名	チン
	IPA	tɕiN
芭	假名	パアヽ
	IPA	paː
聲／声	假名	シン／シイン／ジン／スイン
	IPA	ɕiN / ɕiːN / dʑiN / sɯiN
清	假名	ツイン／チン／スイン
	IPA	tsɯiN / tɕiN / sɯiN
淸	假名	ツイン
	IPA	tsɯiN
傾	假名	キン
	IPA	kiN
輕	假名	キン
	IPA	kiN
頃	假名	キン
	IPA	kiN
呈	假名	チン
	IPA	tɕiN
程	假名	ヂン／チン／テ゚ン
	IPA	dʑiN / tɕiN / diN
酲	假名	ジン
	IPA	dʑiN
禎	假名	チン
	IPA	tɕiN
貞	假名	チン
	IPA	tɕiN
征	假名	チン
	IPA	tɕiN
正	假名	チン
	IPA	tɕiN
鉦	假名	チン
	IPA	tɕiN
鯖	假名	ツイン
	IPA	tsɯiN
旌	假名	ツイン
	IPA	tsɯiN
睛	假名	チン
	IPA	tɕiN
精	假名	チイン／ツイン／チン
	IPA	tɕiːN / tsɯiN / tɕiN
菁	假名	ツイン
	IPA	tsɯiN
蜻	假名	ツイン
	IPA	tsɯiN
鶄	假名	ツイン
	IPA	tsɯiN
鼱	假名	キユイ
	IPA	kijɯi
嬛	假名	ワン
	IPA	waN
煢	假名	ギヨン
	IPA	gijoN
璚	假名	キ◦ン
	IPA	kiN
瓊	假名	キヨン／ケヨン／ギヨン
	IPA	kijoN / kejoN / gijoN
琶	假名	パアヽ／バアヽ／パア／バア
	IPA	paː / baː
潘	假名	パアン
	IPA	paːN
萍	假名	ビン／ピン
	IPA	biN / piN
令	假名	リン
	IPA	riN
伶	假名	リン
	IPA	riN
冷	假名	レン／ルン／ルエン
	IPA	reN / rɯN / rɯeN
泠	假名	リン
	IPA	riN
玲	假名	リン
	IPA	riN
苓	假名	キン／リン
	IPA	kiN / riN
蛉	假名	リン
	IPA	riN
鈴	假名	リン
	IPA	riN
零	假名	リン
	IPA	riN
靈	假名	リン
	IPA	riN
駖	假名	リン
	IPA	riN
鴒	假名	リン
	IPA	riN
麢	假名	リン
	IPA	riN
齡	假名	リン
	IPA	riN
形	假名	イン／ヒイン／ヒン
	IPA	iN / çiːN / çiN
熒	假名	ヨン
	IPA	joN
螢	假名	ヨン
	IPA	joN
亭	假名	デイン／デン／テ゚ン
	IPA	deiN / deN / diN
停	假名	デイン／テイン
	IPA	deiN / teiN
庭	假名	テイン／デイン／デン／テ゚ン
	IPA	teiN / deiN / deN / diN
挺	假名	デイン
	IPA	deiN
蜓	假名	テイン／デイン
	IPA	teiN / deiN
星	假名	スイン／シン
	IPA	sɯiN / ɕiN
猩	假名	スイン
	IPA	sɯiN
惺/醒	假名	スイン
	IPA	sɯiN
鮏	假名	スヱン
	IPA	sɯeN
冥	假名	ミン／ミイン
	IPA	miN / miːN
瞑	假名	ミン
	IPA	miN
半	假名	ハアン／パアン／ヤン／パン
	IPA	haːN / paːN / jaN / paN
銘	假名	ミン
	IPA	miN
馨	假名	ヒアン／ヒン
	IPA	çiaN / çiN
嚀	假名	ニン
	IPA	niN
寧	假名	ニン
	IPA	niN
蜻	假名	ツイン
	IPA	tsɯiN
青	假名	チイン／ツイン／チン
	IPA	tɕiːN / tsɯiN / tɕiN
鯖	假名	ツイン
	IPA	tsɯiN
鶄	假名	ツイン
	IPA	tsɯiN
靑	假名	チン
	IPA	tɕiN
丁	假名	テイ／テイン／ヒアヤヽ／リン／テ゚ン
	IPA	tei / teiN / çiaːja / riN / diN
叮	假名	テイン
	IPA	teiN
釘	假名	テイン
	IPA	teiN
扃	假名	キヨン
	IPA	kijoN
經	假名	キン
	IPA	kiN
廳	假名	テ゚ン
	IPA	diN
汀	假名	テイン／テ゚ン
	IPA	teiN / diN
聽	假名	テイン／テ゚ン
	IPA	teiN / diN
聴	假名	テ゚ン
	IPA	diN
永	假名	ヨン／ユン／イヨン
	IPA	joN / jɯN / ijoN
冷	假名	レン／ルン／ルエン
	IPA	reN / rɯN / rɯeN
杏	假名	イン／ヒン
	IPA	iN / çiN
荇	假名	ヒン
	IPA	çiN
秉	假名	ピン
	IPA	piN
影	假名	イン／イヽン
	IPA	iN / iːN
猛	假名	モン／メウ
	IPA	moN / meɯ
皿	假名	ミン
	IPA	miN
房	假名	ハアン／ハン／ワン／フワン
	IPA	haːN / haN / waN / ɸɯwaN
蜢	假名	モン
	IPA	moN
省	假名	スヱン／スイン
	IPA	sɯeN / sɯiN
打	假名	タアヽ／タア
	IPA	taː
境	假名	キン
	IPA	kiN
景	假名	キン
	IPA	kiN
梗	假名	ケン
	IPA	keN
倖／幸	假名	ヒン／イン
	IPA	çiN / iN
耿	假名	ケン
	IPA	keN
穎/頴	假名	イン
	IPA	iN
嶺	假名	リン
	IPA	riN
袊	假名	リン
	IPA	riN
領	假名	リン
	IPA	riN
併	假名	ピン
	IPA	piN
房	假名	ハアン／ハン／ワン／フワン
	IPA	haːN / haN / waN / ɸɯwaN
番	假名	ハアン／パン／ハン／ウワン
	IPA	haːN / paN / haN / ɯwaN
睜	假名	ツヱン
	IPA	tsɯeN
靖	假名	ツイン／ヅイン
	IPA	tsɯiN / dzɯiN
靜／静	假名	ヅイン／ツイン／チン／ヂン
	IPA	dzɯiN / tsɯiN / tɕiN / dʑiN
騁	假名	ピン
	IPA	piN
省	假名	スヱン／スイン
	IPA	sɯeN / sɯiN
睛	假名	チン
	IPA	tɕiN
請	假名	ツイン／チン
	IPA	tsɯiN / tɕiN
頃	假名	キン
	IPA	kiN
整	假名	チン
	IPA	tɕiN
井	假名	ツイン／チン
	IPA	tsɯiN / tɕiN
並／併	假名	ビン／ピン
	IPA	biN / piN
冷	假名	レン／ルン／ルエン
	IPA	reN / rɯN / rɯeN
脛	假名	キン
	IPA	kiN
迥	假名	ヨン
	IPA	joN
挺	假名	デイン
	IPA	deiN
梃	假名	デイン
	IPA	deiN
艇	假名	テイン
	IPA	teiN
蜓	假名	テイン／デイン
	IPA	teiN / deiN
椗	假名	デイン
	IPA	deiN
鞞	假名	セ゚イ／ヒイ／ピイ
	IPA	tɕiei / çiː / piː
箵	假名	ツイン
	IPA	tsɯiN
醒	假名	スイン
	IPA	sɯiN
番	假名	ハアン／パン／ハン／ウワン
	IPA	haːN / paN / haN / ɯwaN
酩	假名	ミン
	IPA	miN
濘	假名	ニン
	IPA	niN
打	假名	タアヽ／タア
	IPA	taː
酊	假名	テイン
	IPA	teiN
頂	假名	テイン／テ゚ン
	IPA	teiN / diN
鼎	假名	テイン／テン／テ゚ン／ディン
	IPA	teiN / teN / diN
病	假名	ビン／ヒン／ピン
	IPA	biN / çiN / piN
詠	假名	ヨン
	IPA	joN
橫	假名	ヒヲン／ウヲン／ウワン
	IPA	çioN / ɯoN / ɯwaN
蝗	假名	ハアン
	IPA	haːN
行	假名	ヒン／ピン／ハアン／ハン／ヘン／ヒイウ／イン／イヒン／ヒイン
	IPA	çiN / piN / haːN / haN / heN / çiːɯ / iN / içiN / çiːN
柄	假名	ピン
	IPA	piN
榜	假名	パン／バン
	IPA	paN / baN
映	假名	イン
	IPA	iN
命	假名	ミン／ミイン
	IPA	miN / miːN
番	假名	ハアン／パン／ハン／ウワン
	IPA	haːN / paN / haN / ɯwaN
慶	假名	キン
	IPA	kiN
撐	假名	ツヱン／チエン
	IPA	tsɯeN / tɕieN
生	假名	スエン／スヱン／ス゚ヱン
	IPA	sɯeN
迎	假名	ニヤン／ニン／ニイン
	IPA	nijaN / niN / niːN
競/誩	假名	キン
	IPA	kiN
敬	假名	キン
	IPA	kiN
更	假名	ケン／ゲン／ケ゚ン／コン
	IPA	keN / geN / kǝN / koN
竟	假名	キン
	IPA	kiN
鏡	假名	キン
	IPA	kiN
迸	假名	ピン
	IPA	piN
轟	假名	ホン
	IPA	hoN
硬	假名	ゲヱン／ゲン／へヱン
	IPA	geːN / geN / heːN
諍	假名	ツヱン
	IPA	tsɯeN
令	假名	リン
	IPA	riN
盛	假名	ジン／チン／ヂン
	IPA	dʑiN / tɕiN
併／并	假名	ピン
	IPA	piN
屛	假名	ヒン
	IPA	çiN
淨/浄	假名	ツイン／チン
	IPA	tsɯiN / tɕiN
浄	假名	ツイン／チン
	IPA	tsɯiN / tɕiN
請	假名	ツイン／チン
	IPA	tsɯiN / tɕiN
靚	假名	サイ
	IPA	sai
姓	假名	スイン
	IPA	sɯiN
性	假名	スイン／シン
	IPA	sɯiN / ɕiN
聖	假名	シン
	IPA	ɕiN
輕	假名	キン
	IPA	kiN
呈	假名	チン
	IPA	tɕiN
政	假名	チン
	IPA	tɕiN
正	假名	チン
	IPA	tɕiN
精	假名	チイン／ツイン／チン
	IPA	tɕiːN / tsɯiN / tɕiN
令	假名	リン
	IPA	riN
零	假名	リン
	IPA	riN
脛	假名	キン
	IPA	kiN
定	假名	テイ／テイン／デイン／テン／テ゜イン／テ゜ン
	IPA	tei / teiN / deiN / teN / diːN / diN
醒	假名	スイン
	IPA	sɯiN
濘	假名	ニン
	IPA	niN
磬	假名	キン
	IPA	kiN
定	假名	テイ／テイン／デイン／テン／テ゜イン／テ゜ン
	IPA	tei / teiN / deiN / teN / diːN / diN
釘	假名	テイン
	IPA	teiN
俓/徑	假名	キン／キイン
	IPA	kiN / kiːN
經	假名	キン
	IPA	kiN
汀	假名	テイン／テ゚ン
	IPA	teiN / diN
聽	假名	テイン／テ゚ン
	IPA	teiN / diN
帛	假名	ペ／ベ
	IPA	pe / be
番	假名	ハアン／パン／ハン／ウワン
	IPA	haːN / paN / haN / ɯwaN
番	假名	ハアン／パン／ハン／ウワン
	IPA	haːN / paN / haN / ɯwaN
苩	假名	ペ
	IPA	pe
柵	假名	ソツ／ツヱツ／サ゚
	IPA	soʔ / tsɯeʔ / tsa
簎	假名	チヨツ
	IPA	tɕijoʔ
伯	假名	ペ
	IPA	pe
盤	假名	パアン／ホワン／バアン／バワン／ハアン／パ／バン／パン／プヲワン／ボワン
	IPA	paːN / howaN / baːN / bawaN / haːN / pa / baN / paN / pɯowaN / bowaN
牌	假名	ハイ／バイ
	IPA	hai / bai
栢	假名	ペ／ペヱ
	IPA	pe / peː
啞	假名	ア／アー
	IPA	a
牌	假名	ハイ／バイ
	IPA	hai / bai
鞴	假名	パイ
	IPA	pai
陌	假名	モ゚／メ／ペ／ム／メ゚
	IPA	mə / me / pe / mɯ / mʰe
驀	假名	モ
	IPA	mo
嚇	假名	ホ
	IPA	ho
砉	假名	ヘ
	IPA	he
赫	假名	ヘ
	IPA	he
客	假名	ケツ／ゲ／ケ／ケ゚／ギ／コ
	IPA	keʔ / ge / ke / kǝ / gi / ko
綌／绤	假名	キ
	IPA	ki
怕	假名	パアヽ／パア
	IPA	paː
拍	假名	ポ
	IPA	po
擺	假名	パイ
	IPA	pai
魄	假名	ペ
	IPA	pe
宅	假名	ツヱツ／ヅエ／チ゚エ
	IPA	tsɯeʔ / dzɯe / tɕie
擇	假名	ヅヱ
	IPA	dzɯe
澤	假名	チツ／ツエツ／ツユ／ツヱツ／ヅエ
	IPA	tɕiʔ / tsɯeʔ / tsɯjɯ / dzɯe
索	假名	ソウ／ソツ／ソ／スエツ
	IPA	soɯ / soʔ / so / sɯeʔ
逆	假名	ネ
	IPA	ne
額	假名	ヨツ／チ
	IPA	joʔ / tɕi
舴	假名	ツエツ
	IPA	tsɯeʔ
劇	假名	キ
	IPA	ki
屐	假名	キツ／キ／ギ
	IPA	kiʔ / ki / gi
㦸	假名	キツ
	IPA	kiʔ
窄	假名	ツヱ
	IPA	tsɯe
舴	假名	ツエツ
	IPA	tsɯeʔ
蚱	假名	ツヲ
	IPA	tsɯo
戟	假名	キツ／ギ／ゲ
	IPA	kiʔ / gi / ge
格	假名	ゲ
	IPA	ge
冊	假名	ツヱ
	IPA	tsɯe
柵	假名	ソツ／ツヱツ／サ゚
	IPA	soʔ / tsɯeʔ / tsa
策	假名	ツヱ／ツエ／スエツ
	IPA	tsɯe / sɯeʔ
核／覈	假名	ホツ／ウヲ
	IPA	hoʔ / ɯo
獲	假名	フウ／ウヲ／フオ／ホ
	IPA	ɸɯː / ɯo / ɸɯo / ho
畫	假名	ハアヽ／ワアヽ／ウアヽ／ウワア／ワア
	IPA	haː / waː / ɯaː / ɯwaː
繳	假名	トツ
	IPA	toʔ
画	假名	ワアヽ
	IPA	waː
檗	假名	ペヱ
	IPA	peː
薜	假名	ヒ
	IPA	çi
厄	假名	エ
	IPA	e
啞	假名	ア／アー
	IPA	a
脉／脈	假名	モ／メ
	IPA	mo / me
稗	假名	パイ／ピイ
	IPA	pai / piː
索	假名	ソウ／ソツ／ソ／スエツ
	IPA	soɯ / soʔ / so / sɯeʔ
債	假名	サ゚イ
	IPA	tsai
責/拆	假名	ゼ
	IPA	ze
隔	假名	ケ
	IPA	ke
革	假名	ケ
	IPA	ke
敗	假名	パイ／ハイ／バイ
	IPA	pai / hai / bai
敗	假名	パイ／ハイ／バイ
	IPA	pai / hai / bai
辟／闢	假名	ヒ
	IPA	çi
亦	假名	イ
	IPA	i
奕/弈	假名	イ
	IPA	i
射	假名	セヱヽ／ゼヱヽ／シヱヽ
	IPA	seː / zeː / ɕieː
嶧	假名	ズエ
	IPA	zɯe
帟	假名	イツ
	IPA	iʔ
役	假名	ヨツ／ヨ
	IPA	joʔ / jo
懌	假名	イ
	IPA	i
掖	假名	イツ
	IPA	iʔ
易	假名	イヽ／イ
	IPA	iː / i
液	假名	ヱツ
	IPA	eʔ
蜴	假名	イツ／テ
	IPA	iʔ / te
驛	假名	イ
	IPA	i
石	假名	シ／シツ／ジ
	IPA	ɕi / ɕiʔ / dʑi
碩	假名	ヂ
	IPA	dʑi
璧	假名	ピ
	IPA	pi
碧	假名	ピ
	IPA	pi
辟	假名	ヒ
	IPA	çi
益	假名	イ
	IPA	i
簎	假名	チヨツ
	IPA	tɕijoʔ
籍	假名	ツヱ／ヂ
	IPA	tsɯe / dʑi
惜	假名	スヱ／シ／スエ
	IPA	sɯe / ɕi
昔	假名	スヱ／シ／シヤク／スイツ
	IPA	sɯe / ɕi / ɕijakɯ / sɯiʔ
尺	假名	チツ／テツ／チ
	IPA	tɕiʔ / teʔ / tɕi
蚇	假名	チ
	IPA	tɕi
赤	假名	チツ／チ
	IPA	tɕiʔ / tɕi
適	假名	シ
	IPA	ɕi
釋	假名	シ
	IPA	ɕi
刺	假名	ツウ／ラ
	IPA	tsɯː / ra
僻	假名	ピ
	IPA	pi
辟	假名	ヒ
	IPA	çi
擲	假名	チ
	IPA	tɕi
躑	假名	チツ／チ
	IPA	tɕiʔ / tɕi
䗪	假名	ツヲヽ
	IPA	tsɯoː
跖	假名	チツ／ジ
	IPA	tɕiʔ / dʑi
適	假名	シ
	IPA	ɕi
隻	假名	チ
	IPA	tɕi
借	假名	ツヱヽ／ツエヽ
	IPA	tsɯeː
積	假名	ツイン／ツヱ／チ／ツウ
	IPA	tsɯiN / tsɯe / tɕi / tsɯː
脊	假名	スヱツ／ツヱ／チ
	IPA	sɯeʔ / tsɯe / tɕi
跡	假名	ツヱ／チイ／チ／ツイツ
	IPA	tsɯe / tɕiː / tɕi / tsɯiʔ
鯽	假名	ツヱ
	IPA	tsɯe
射	假名	セヱヽ／ゼヱヽ／シヱヽ
	IPA	seː / zeː / ɕieː
麝	假名	ジエヽ
	IPA	dʑieː
夕	假名	ヅヱ／チ
	IPA	dzɯe / tɕi
席／蓆	假名	ヅヱ
	IPA	dzɯe
鞴	假名	パイ
	IPA	pai
鞴	假名	パイ
	IPA	pai
寥	假名	リヤ◦ウ
	IPA	rijaɯ
曆／歷	假名	レツ／レ／リ
	IPA	reʔ / re / ri
瀝	假名	リ
	IPA	ri
靂	假名	リ／レ
	IPA	ri / re
敵	假名	テ
	IPA	te
笛	假名	テ／デ
	IPA	te / de
荻	假名	テ
	IPA	te
蓧	假名	テヤ◦ウ
	IPA	tejaɯ
炮/砲	假名	ハウ／パ◦ウ
	IPA	haɯ / paɯ
寂	假名	ヅヱ／チ
	IPA	dzɯe / tɕi
淅	假名	シエ
	IPA	ɕie
錫	假名	スヱ／スヱツ／シ
	IPA	sɯe / sɯeʔ / ɕi
覓	假名	メ
	IPA	me
砉	假名	ヘ
	IPA	he
溺	假名	ニ
	IPA	ni
慼／戚	假名	ツヱ／ツエツ
	IPA	tsɯe / tsɯeʔ
喫	假名	キ／チ
	IPA	ki / tɕi
僻	假名	ピ
	IPA	pi
劈	假名	ピ
	IPA	pi
霹	假名	ピ
	IPA	pi
鷁	假名	ネ
	IPA	ne
弔	假名	チヤ◦ウ／テヤ◦ウ
	IPA	tɕijaɯ / tejaɯ
滴	假名	テ
	IPA	te
的	假名	テ／テツ
	IPA	te / teʔ
芍	假名	シヨ／シヤ
	IPA	ɕijo / ɕija
適	假名	シ
	IPA	ɕi
績	假名	ツヱツ／ツヱ／チ
	IPA	tsɯeʔ / tsɯe / tɕi
擊	假名	ヒイ／ケ
	IPA	çiː / ke
激	假名	キ
	IPA	ki
踢	假名	テ
	IPA	te
逖	假名	デ
	IPA	de
靶	假名	パウ
	IPA	paɯ
鵙	假名	チウ／ポイ
	IPA	tɕiɯ / poi
囉／啰	假名	ロウ／ロヲヽ／ラ／ノ
	IPA	roɯ / roːo / ra / no
籮	假名	ロウ
	IPA	roɯ
羅	假名	ロウ／ラ／ロ／ロヲ
	IPA	roɯ / ra / ro / roː
蘿	假名	ロウ／ロヲ
	IPA	roɯ / roː
鑼	假名	ロウ
	IPA	roɯ
何	假名	ホウ／カ／ホ／ホヲ／ポヲ
	IPA	hoɯ / ka / ho / hoː / poː
河	假名	ホ◦ウ／ホウ／ポウ／ホ／ホヲ
	IPA	hoɯ / poɯ / ho / hoː
荷	假名	ホウ／ホヲ
	IPA	hoɯ / hoː
佗	假名	タア
	IPA	taː
池	假名	チイ／ヅウ／ツウ／ズウ／チ
	IPA	tɕiː / dzɯː / tsɯː / zɯː / tɕi
酡	假名	ト
	IPA	to
陀/陁	假名	タウ／トウ／ト
	IPA	taɯ / toɯ / to
駝	假名	ドウ
	IPA	doɯ
鼉	假名	ドウ／ドヲ
	IPA	doɯ / doː
阿	假名	ア／ヲ
	IPA	a / o
娑	假名	ソウ／サア／サ／ソ／ソヲ
	IPA	soɯ / saː / sa / so / soː
獻	假名	ケン／ヘン
	IPA	keN / heN
呵	假名	ホウ
	IPA	hoɯ
訶／诃	假名	カウ／コウ／ヲヽ／ホウ／カ／ホ
	IPA	kaɯ / koɯ / oː / hoɯ / ka / ho
那	假名	ナアヽ／ナア／ナ／ノ／ナー
	IPA	naː / na / no
磋	假名	ツヲヽ
	IPA	tsɯoː
珂	假名	ヲウ
	IPA	oɯ
哦/誐	假名	ギ
	IPA	gi
娥	假名	ゴウ
	IPA	goɯ
峨	假名	ゴウ
	IPA	goɯ
莪	假名	ゴウ
	IPA	goɯ
蛾	假名	ゴウ
	IPA	goɯ
鵝/鵞	假名	ゴウ
	IPA	goɯ
多	假名	トウ／ト／トヲ
	IPA	toɯ / to / toː
哥	假名	コウ
	IPA	koɯ
柯	假名	ホウ／コヲ
	IPA	hoɯ / koː
歌	假名	コウ／コヲ
	IPA	koɯ / koː
他	假名	タアヽ／タア／タ／ト
	IPA	taː / ta / to
佗	假名	タア
	IPA	taː
袍	假名	パウ／バ◦ウ
	IPA	paɯ / baɯ
皤	假名	ポ
	IPA	po
繁	假名	ワン
	IPA	waN
螺	假名	レイ／ロウ
	IPA	rei / roɯ
蠡	假名	リイ
	IPA	riː
騾/驘	假名	ロウ
	IPA	roɯ
和/龢	假名	ホウ／ホ／ホヲ／フヲヽ
	IPA	hoɯ / ho / hoː / ɸɯoː
禾	假名	ホウ
	IPA	hoɯ
褓	假名	パウ／パ◦ウ
	IPA	paɯ
袍	假名	パウ／バ◦ウ
	IPA	paɯ / baɯ
皤	假名	ポ
	IPA	po
銼	假名	ツヲヽ
	IPA	tsɯoː
唆	假名	ソウ
	IPA	soɯ
梭	假名	ソウ
	IPA	soɯ
莎	假名	ソ
	IPA	so
蓑	假名	ソウ
	IPA	soɯ
保	假名	ハウ／パウ／パ◦ウ／バ◦ウ／パーウ
	IPA	haɯ / paɯ / baɯ
波	假名	パウ／ポウ／ホ／ポ／ポヲ
	IPA	paɯ / poɯ / ho / po / poː
魔	假名	ミ／モ
	IPA	mi / mo
靴/鞾	假名	コウ
	IPA	koɯ
佉	假名	キ゚／ケ
	IPA	ky / ke
科	假名	コウ
	IPA	koɯ
萪	假名	クハ
	IPA	kɯɰa
蝌	假名	コウ
	IPA	koɯ
坡	假名	ポウ／ホヲ
	IPA	poɯ / hoː
婆	假名	パウ／ポウ／ボウ／ホ／ボ／ポ／ポヲ
	IPA	paɯ / poɯ / boɯ / ho / bo / po / poː
頗	假名	ポウ／ポ
	IPA	poɯ / po
訛	假名	ハアヽ
	IPA	haː
伽	假名	キヱヽ／ケヱヽ／ケ／キヤ
	IPA	kieː / keː / ke / kija
枷	假名	キヤアヽ
	IPA	kijaː
茄	假名	キヤ◦ウ／ゲウ
	IPA	kijaɯ / geɯ
堝	假名	コウ
	IPA	koɯ
戈	假名	カウ／コ
	IPA	kaɯ / ko
迦	假名	キヤ
	IPA	kija
過	假名	コウ／コワ／コ／コヲ／ゴヲ
	IPA	koɯ / kowa / ko / koː / goː
鍋	假名	コウ
	IPA	koɯ
何	假名	ホウ／カ／ホ／ホヲ／ポヲ
	IPA	hoɯ / ka / ho / hoː / poː
荷	假名	ホウ／ホヲ
	IPA	hoɯ / hoː
爹	假名	テイ
	IPA	tei
舵	假名	ドウ
	IPA	doɯ
婀	假名	ヲウ
	IPA	oɯ
娑	假名	ソウ／サア／サ／ソ／ソヲ
	IPA	soɯ / saː / sa / so / soː
娜	假名	ナアヽ／ノウ
	IPA	naː / noɯ
那	假名	ナアヽ／ナア／ナ／ノ／ナー
	IPA	naː / na / no
可	假名	コウ／コ／コヲ
	IPA	koɯ / ko / koː
我	假名	ゴウ／コウ／ゴヲ／コ／ゴ／コヲ
	IPA	goɯ / koɯ / goː / ko / go / koː
哆	假名	トウ／ト
	IPA	toɯ / to
左	假名	ツヲヽ／ツヲ／ソ゚
	IPA	tsɯoː / tsɯo
哿	假名	コ／ス
	IPA	ko / sɯ
卵	假名	ロハン
	IPA	rohaN
夥	假名	ホウ
	IPA	hoɯ
禍	假名	ヲウ／ホウ
	IPA	oɯ / hoɯ
伙	假名	ホウ
