序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
11492	上街	動	詞目分類索引/交通通訊	shong11 ge11		到街上去。	例：年會到了！盡多人上街辦年貨。(年關將近！非常多人到街上去買年貨。)	去街路		hk0000011977-1-5
11493	上肩	動		shong11 geen11		將物品扛上肩膀。	例：阿來妹身體當砸，恁大个穀包上肩毋使人扶。(（阿來妹身體很壯，這麼大裝著穀子的麻袋扛上肩膀，不用他人幫忙。）)			hk0000011978-1-5
11494	上京	動		shong11 giang11		進京、到京城去。	例：頭擺讀書人都望上京赴考中狀元，光宗耀祖。(以前讀書人都希望進京趕考中狀元，光宗耀祖。)	入京		hk0000011979-1-5
11495	上工	動	詞目分類索引/產業勞動	shong11 gung11		開始工作。	例：上工了！今晡日下班以前愛摎這兜貨趕出來。(開始工作了！今天下班以前要把這些貨趕出來。)	上班　做工		hk0000011981-1-5
11496	上岸	動		shong11 ngan31		登上岸去。	例：愛漲潮了，遽遽上岸，莫過搞水。(要漲潮了，快點登上岸，別再玩水。)			hk0000011987-1-5
11497	上棚	動	詞目分類索引/植物 詞目分類索引/教育文化	shong11 pang53		1.戲劇上演。　2.進入棚架。	例：逐年做神戲，就係下晝頭、暗晡頭正上棚，朝晨頭無做戲。(每年做神戲，都是下午、晚上戲劇才上演，早上沒演戲。) 例：冬瓜藤递上棚正會菁。(冬瓜爬上棚架才會長得好。)		下棚　煞棚	hk0000011988-1-5
11498	桑		詞目分類索引/植物	song11		植物名。葉卵形，粗鋸齒緣，可飼蠶。枝幹短小，枝條可編筐，樹皮可製紙，木材堅重，可製成器具。				hk0000011997-1-5
11499	商	名		shong11		1.做生意的人。　2.指做生意之事業。　3.估量、討論。　4.朝代名。　5. 算術中某數以他數除之，所得的數值。　6.姓。	例：米商。 例：經商。 例：商量。			hk0000012002-1-5
11500	商場	名	詞目分類索引/產業勞動	shong11 chong53		許多商店聚集在一起，進行交易的場所。	例：這隻賣電腦个商場，逐日就有當多人出入。(這個賣電腦的商場，每天來往人潮眾多。)	賣場　大賣場		hk0000012003-1-5
11501	商店	名	詞目分類索引/產業勞動	shong11 deem31		買賣物品的店鋪。	例：這條街有當多商店，實在已鬧熱。(這條街有很多商店，非常熱鬧。)	店仔　商號　商行		hk0000012004-1-5
11502	商號	名	詞目分類索引/產業勞動	shong11 hoo55		1.商店。　2.商店名稱。	例：阿伯打算退休後愛開一家商號。(伯父打算退休後要開一家商店。) 例：這擺開个店，愛用麼个商號？(這次開的店，要用什麼名稱？)	1.店仔　商店　商行		hk0000012005-1-5
11503	商業	名	詞目分類索引/產業勞動 詞目分類索引/財經法政	shong11 ngiab43		從事買賣生產的經濟活動，專以營利為目的。	例：對當多國家來講，商業係當重要个產業之一。(對很多國家來說，商業是很重要的產業之一。)			hk0000012007-1-5
11504	喪			song11		有關死者哀葬之事宜。	例：喪事。			hk0000012008-1-5
11505	喪事	名	詞目分類索引/宗教民俗	song11 su55		人死後殮葬、哀祭等事宜。	例：辦喪事應該愛簡單隆重，做到哀榮。(辦理喪事應該要簡單隆重，盡到哀榮。)			hk0000012009-1-5
11506	傷	動		shong11		1.人或物體破損之處。　2.損壞。　3.妨害。　4.悲痛。	例：損傷。 例：傷身。 例：傷感情。 例：傷心。			hk0000012010-1-5
11507	傷風	名	詞目分類索引/疾病醫療	shong11 fung11		上呼吸道受病毒或細菌感染，常在受冷或受潮後發生流鼻水、咽痛、輕度發燒、怕冷與全身不適等症狀。	例：傷風个人愛多休息，愛食營養个東西正會較遽好。(感染傷風要多休息，要多吃營養的東西才好得快。)	感冒		hk0000012012-1-5
11508	傷寒		詞目分類索引/疾病醫療	shong11 hon53		病名。由沙門氏傷寒桿菌所引起的急性傳染病。潛伏期約為兩週，症狀為發燒、頭痛、發冷、腹痛、便祕或腹瀉、脈博緩慢，甚至出現肝脾腫大、胸腹部有玫瑰疹等病症。可能引起腸胃出血、肺炎等併發症。亦稱為「腸傷寒」。				hk0000012014-1-5
11509	傷身	動	詞目分類索引/疾病醫療	shong11 shin11		損害身體健康。	例：酒毋好啉忒多，會傷身。(酒不要喝太多，會傷身。)			hk0000012015-1-5
11510	常			shong53		1.恆久而不變的、規律的。　2.一般的、平庸的。　3.時時，表示頻繁的意思。	倫常。(常識。) 常時。			hk0000012017-1-5
11511	常識		詞目分類索引/教育文化	shong53 shid24		一般人所應具備、了解的基本知識。	例：大學生愛有麼个該有个常識，你知無？(大學生要有什麼該有的常識，你知道嗎？)			hk0000012019-1-5
11512	裳	名	詞目分類索引/衣著裝扮	shong53		衣服。	例：衣裳。			hk0000012021-1-5
11513	嘗		詞目分類索引/宗教民俗 詞目分類索引/飲食	shong53		1.以口來辨別滋味。通「嚐」。　2.試探。　3.祭祀的一種。　4.指大宗族之公田。	嘗鹹淡。(嘗試。) 義民嘗。(公嘗。)			hk0000012022-1-5
11514	嫦			shong53		見「嫦娥」。				hk0000012023-1-5
11515	嫦娥		詞目分類索引/宗教民俗	shong53 ngo53		人名。為后羿之妻姮娥。相傳因盜食不死之靈藥而飛昇月宮，成為仙女。漢人為避文帝諱，而改「姮」為「嫦」。				hk0000012024-1-5
11516	上	動		shong11		2.放置、安裝。　1.上聲，漢語聲調之一。	例：上梁、上架。			hk0000012025-1-5
11517	爽	形	詞目分類索引/思維心態	song31		1.舒適、愉快。　2.豪邁、不拘小節的。　3.明亮、清朗。　4.差誤、違失。　5.糟蹋或可惜。	例：鬆爽。 例：豪爽。 例：秋高氣爽。 例：爽約。 例：打爽。			hk0000012027-1-5
11518	爽約	動	詞目分類索引/人際互動	song31 rhio24		失約，不依照約定。	例：為著上擺𠊎臨時爽約个事，佢一直無麼个歡喜。(為了上次我臨時爽約的事，他一直不太高興。)	失約		hk0000012028-1-5
11519	賞	動	詞目分類索引/人際互動 詞目分類索引/人物品評	shong31		1.將財物等實質物品賜予人，以資鼓勵。與「罰」相對。　2.賜予或獎給的事物。　3.讚美、嘉許。　4.欣賞、觀賞、把玩。　5.對他人施恩於己的敬稱。	例：獎賞。 例：懸賞。 例：贊賞。 例：賞月。 例：賞光。			hk0000012032-1-5
11520	賞罰	名	詞目分類索引/人際互動 詞目分類索引/財經法政	shong31 fad43		獎勵有功勞的人與責罰有罪過的人。	例：佢係一位賞罰嚴明个法官。(他是一位賞罰嚴明的法官。)			hk0000012033-1-5
11521	賞識	動	詞目分類索引/人際互動	shong31 shid24		認識別人的才能而加以欣賞、器重。	例：阿祥哥當有才能，頭家當賞識佢。(阿祥哥很有才能，老闆很賞識他。)			hk0000012034-1-5
11522	償			shong53		1.歸還、送還。　2.實現、完成。　3.相抵、抵補。	例：償還。 例：如願以償。 例：賠償。			hk0000012035-1-5
11523	上	形	詞目分類索引/空間方位	shong55		1.在高處。　2.表時間或次序在前的、在前面的。　3.等級、品質高的。　4.接在名詞後，表示位置、範圍、過程或某方面等。　5.對他人的尊稱。　6.指手臂或腿的上半部，即上臂或大腿部位。	例：上頭。 例：上擺（上一次）。 例：上等貨。 例：表面上。 例：上姓。 例：上想（上臂、大腿）。			hk0000012037-1-5
11524	上帝	名	詞目分類索引/宗教民俗	shong55 di31		基督教徒對其所信仰、崇拜的神的稱呼，又稱為「天主」。	例：阿來妹求上帝保佑全家人平安健康。(阿來妹求上帝保佑全家人平安健康。)			hk0000012040-1-5
11525	上家	名		shong55 ga11		前面一戶人家。	例：滿姑戴在𫣆上家。(（小姑姑住在我們前面一戶人家。）)	上屋上家屋	下家	hk0000012042-1-5
11526	上格	名	詞目分類索引/器物用品	shong55 ga24		櫥櫃的上方層架。	例：該兜書放在書架仔上格，看忒愛放轉去。(那些書放在書架上層，看完要放回去。)			hk0000012043-1-5
11527	上港	名	詞目分類索引/空間方位	shong55 gong31		北部，指臺中以北的地區。	例：老弟高中畢業以後就去上港做事。(弟弟高中畢業以後就去北部工作。)	上背		hk0000012044-1-5
11528	上古	名	詞目分類索引/時間節令	shong55 gu31		以前、從前。	例：上古个時節，這搭仔係歸片樹林，這下全部都起屋了。(從前，這裡是整片樹林，現在全部都蓋房子了。)	上早　頭擺		hk0000012045-1-5
11529	上杭		詞目分類索引/空間方位	shong55 hong53		縣名。屬福建省，位於汀江中游。是閩西金三角和珠江三角洲的腹地及閩西、粵東、贛南的交通樞紐和物產集散地。居民以漢族為主，其中以客家人居多，方言屬客家語系，為名揚海外的客家祖地。境內的李氏大宗祠，是目前福建省保存最完整、規模最大的宗祠，以獨特的建築特色和在客家遷徙史上的重要地位而引人注目。				hk0000012047-1-5
11530	上游	名	詞目分類索引/空間方位	shong55 rhiu53		河流發源地及附近的區域。	例：河壩个上游做毋得畜頭牲，避免汙染水源。(河川的上游不可以畜養牲畜，避免汙染水源。)			hk0000012049-1-5
11531	上將	名	詞目分類索引/產業勞動 詞目分類索引/財經法政 詞目分類索引/稱謂身分	shong55 ziong31		為我國現行陸、海、空軍將級軍階的一種。位在中將之上，共有二級上將，一級上將，特級上將三等。	例：阿伯在海軍恁多年，這下階級係上將。(伯父在海軍這麼多年，現在階級是上將。)			hk0000012051-1-5
11532	上流	形	詞目分類索引/人物品評 詞目分類索引/事物情狀	shong55 liu53		上等或地位尊貴的。	例：上流社會个生活，毋係普通人過得起个。(上流社會的生活，不是普通人過得起的。)	一流　上等		hk0000012053-1-5
11533	上品	形	詞目分類索引/事物情狀	shong55 pin31		最上等的品級、類別。	例：「烏珍珠」蓮霧係臺灣上品个水果。(「黑珍珠」蓮霧是臺灣上等的水果。)	一等		hk0000012054-1-5
11534	上頭	名		shong55 teu53		1.上面。　2.長官、上級。	例：阿妹在杯仔个上頭貼了一張盡生趣个貼紙。(（妹妹在杯子的上面貼了一張很有趣的貼紙。）) 例：這件事情係上頭交代个，𫣆愛全力做好。(（這件事情是上級交代的，我們要全力做好。）)	上司		hk0000012056-1-5
11535	上想			shong55 siong31		上截，指手臂或腿的上半部，即上臂或大腿部位。	例：𫣆人个手佮腳攏共樣，上想單支骨，下想雙支骨。(我們人的手跟腳都一樣，上截單支骨，下截兩支骨。)			
11536	上奏	動	詞目分類索引/人際互動 詞目分類索引/財經法政	shong55 zeu31		下級向上級呈報事務。	例：頭擺國家毋管發生麼个事情，大臣都愛上奏皇帝。(以前國家不管發生什麼事情，大臣都要向皇帝呈報。)			hk0000012060-1-5
11537	上等貨	名	詞目分類索引/器物用品	shong55 den31 foo31		質量高、品質好的貨品。	例：這間店仔賣个東西都係上等貨。(這間商店賣的東西都是品質好的貨品。)	一等貨		hk0000012063-1-5
11538	上梁不正下梁歪	諺		shong55 liong53 bud24 zhang31 ha11 liong53 uainn11		屋子的主棟梁不正，則其餘的梁柱也就跟著歪了；比喻在上位的人或長輩行為不正，其下者或晚輩也受影響而行為不正。	例：上梁不正下梁歪，所以做世大人講話毋好信嘴出。(上梁不正下梁也就跟著歪了，所以當長輩講話不可信口開河。)			hk0000012067-1-5
11539	尚			shong55		1.尊崇、重視。　2.囂張、跋扈。　3.胡語的音譯。泛稱男性僧侶。　4.姓。	例：尚武。 例：尚勝。 例：和尚。			hk0000012068-1-5
11540	喪		詞目分類索引/思維心態	song31		失敗、不得志的樣子。	例：落喪。			hk0000012069-1-5
11541	收	動		shiu11		1.把攤開、零散的狀態加以聚攏、縮合起來。　2.接到、取回、獲得。　3.割取已成熟的農作物。　4.保存儲藏。　5.整飭、清理。　6.容納、接納。　7.拘押、捉拿。　8.結束、停止。　9.操縱、約束。	例：收集。 例：收支。 例：收冬。 例：你愛摎這張畫圖收好勢。(你要把這張圖保存好。) 例：收揫。 例：收留。 例：收押。 例：收尾。 例：收心。			hk0000012070-1-5
11542	收押	動	詞目分類索引/財經法政	shiu11 ab24		將犯人扣留拘捕監禁起來。	例：係講罪證明確，法官就做得摎犯人收押禁見。(假使罪證明確，法官即可將犯人收押禁見。)			hk0000012071-1-5
11543	收兵	動	詞目分類索引/財經法政	shiu11 bin11		1.招攬吸收士兵。　2.撤退士兵或軍隊。	例：一到暑假，總係有當多个軍校為著收兵招生个工作無閒。(一到暑假，總是有很多的軍校為了收兵招生的工作忙碌著。) 例：將軍一看著勢頭毋對，黏時鳴金收兵，退守營地。(將軍一見情勢不妙，立即鳴金收兵，退守營地。)			hk0000012072-1-5
11544	收著	動		shiu11 choo55		收到、接到。	例：老妹逐擺收著厥朋友寫來个信，面項總係笑咪咪仔。(妹妹每次收到她朋友寫來的信，臉上總是笑咪咪的。)			hk0000012074-1-5
11545	收工	動	詞目分類索引/產業勞動	shiu11 gung11		完成或結束工作。	例：今晡日有颱風愛來，所以提早收工。(今天有颱風要來，所以提早收工。)			hk0000012078-1-5
11546	收買	動	詞目分類索引/人際互動 詞目分類索引/財經法政	shiu11 mi11		用錢財或利益買通籠絡人，使其能受己所利用。	例：佢做官清廉，麼人也收買佢毋著。(他為官清廉，誰也收買不了他。)	買收		hk0000012081-1-5
11547	收尾	動		shiu11 mui11		收場、結尾。	例：這齣戲个收尾當精彩，大家都當阿腦。(這齣戲的結尾很精彩，大家都相當稱讚。)		起點	hk0000012082-1-5
11548	收心	動	詞目分類索引/思維心態	shiu11 sim11		約束放縱散漫的心，或約束自己做壞事的意念。	例：年假都放煞了，請你收心摎精神放在工作項，好無？(年假都放完了，請你收心把精神放在工作上，好嗎？)			hk0000012088-1-5
11549	收租	動	詞目分類索引/建築住居	shiu11 zu11		收取房屋或土地等的租金。	例：阿爸逐隻月都會親身去向房客收租。(爸爸每個月都會親自去向房客收租。)			hk0000012089-1-5
11550	收轉去	動		shiu11 zhen31 kui31		收回去、拿回去。	例：雞嫲生个雞卵分阿婆收轉去煎菜脯卵了。(母雞生的雞蛋被奶奶拿回去煎菜脯蛋了。)			hk0000012092-1-5
11551	收壞銅壞鐵	動	詞目分類索引/產業勞動	shiu11 fai55 tung53 fai55 teed24		收取別人所丟棄不用的五金類物品。	例：佢收壞銅壞鐵係為著做環保。(他收壞銅壞鐵是為了做環保。)			hk0000012093-1-5
11552	書	名	詞目分類索引/器物用品 詞目分類索引/教育文化	shi11		1.以文字或圖畫來記載事物的冊子。　2.信件、信札。　3.文件。　4.字體、書體。　5.寫、記載。	例：百科全書。 例：家書。 例：證明書。 例：楷書。 例：書墊仔。			hk0000012094-1-5
11553	書本	名	詞目分類索引/教育文化	shi11 bun31		裝訂成冊的書籍。	例：優良个書本做得帶分𫣆良好个智識。(優良的書本可以帶給我們良好的知識。)			hk0000012096-1-5
11554	書法	名	詞目分類索引/教育文化	shi11 fad24		1.毛筆字書寫的方法。主要講究執筆、用筆、點畫、結構、分布等方法。　2.用毛筆書寫而成的文字作品。	例：書法係中國个一種傳統藝術。(書法是中國的一種傳統藝術。) 例：這幅書法係宋朝蘇東坡个作品。(這幅書法是宋朝蘇東坡的作品。)			hk0000012098-1-5
11555	書房	名	詞目分類索引/建築住居 詞目分類索引/教育文化	shi11 fong53		書齋。指讀書寫字的房間。	例：阿公當好一儕人坐在書房裡背看書。(爺爺很喜歡一個人坐在書房裡看書。)			hk0000012099-1-5
11556	書院	名	詞目分類索引/建築住居 詞目分類索引/教育文化	shi11 inn11		舊時私人講學的場所。	例：唐朝係中國頭一個設置書院个朝代。(唐朝是中國第一個設置書院的朝代。)			hk0000012100-1-5
11557	書簽	名	詞目分類索引/器物用品 詞目分類索引/教育文化	shi11 ciam11		夾在書裡，用作閱讀進度標識的卡片。	例：這套書簽係舊年阿姊送分𠊎个生日禮物。(這套書籤是去年姊姊送給我的生日禮物。)			hk0000012101-1-5
11558	書生	名	詞目分類索引/稱謂身分 詞目分類索引/教育文化	shi11 sen11		讀書人，即現今所說的知識分子。	例：佢係一個溫文儒雅、謙恭有禮个書生。(他是一個溫文儒雅、謙恭有禮的書生。)			hk0000012102-1-5
11559	書籍	名	詞目分類索引/教育文化	shi11 zid24		書本冊籍的總稱。	例：圖書館裡背蒐集當多各式各樣个書籍。(圖書館裡收藏了很多各式各樣的書籍。)			hk0000012103-1-5
11560	書信	名	詞目分類索引/器物用品 詞目分類索引/教育文化	shi11 sin31		往來通訊、慰問的信件。	例：阿哥當兵該下，逐隻月就會寫一封書信轉來摎阿爸阿姆報平安。(哥哥當兵時，每個月都會寫一封書信回來和爸爸媽媽報平安。)			hk0000012104-1-5
11561	殊			shi11		1.特別的、異常的。　2.不同的、互異的。	例：特殊教育。 例：殊途同歸。			hk0000012106-1-5
11562	殊途同歸	形	詞目分類索引/事物情狀	shi11 tu53 tung53 gui11		走不同的道路，卻能到達同一目的。比喻所採取的方法雖不盡相同，但得到的結果卻是相同的。	例：當多宗教教義殊途同歸，最尾都係在該勸化人為善个。(許多宗教教義殊途同歸，最後都是在勸人為善的。)			hk0000012107-1-5
11563	酥		詞目分類索引/事物情狀 詞目分類索引/飲食	su11		1.以油和麵粉等製成的鬆脆食品。　2.鬆脆易碎貌。	酥糖。(酥酥。)			hk0000012108-1-5
11564	酥餅	名	詞目分類索引/飲食	su11 biang31		一種由麵粉、奶油、糖、發泡劑等調配烤製而成的鬆脆食品。	例：這間店仔賣个乳油酥餅當好食。(這間店賣的奶油酥餅很好吃。)			hk0000012109-1-5
11565	酥糖	名	詞目分類索引/飲食	su11 tong53		用麵粉、糖與芝麻或花生等製成的甜食。	例：阿姆自家做个酥糖又香又好食。(媽媽自己做的花生酥糖又香又好吃。)			hk0000012110-1-5
11566	舒			shu11		1.伸展、舒張。　2.遲緩、從容不迫。　3.安逸、暢快。　4.姓。	例：舒張壓。 例：舒緩。 例：舒適。			hk0000012111-1-5
11567	舒適			shu11 shid24		舒服安適，自在合意。	例：天下無白食个午餐，肯煞作打拚，定著會用過猶較舒適个生活。(天下沒有白吃的午餐，肯努力打拚，一定能過更舒適的生活。)			
11568	蔬		詞目分類索引/飲食 詞目分類索引/植物	su11		食用草本植物的通稱，如青菜瓜果類等。	例：蔬菜。			hk0000012114-1-5
11569	輸	動	詞目分類索引/事物情狀	shi11		1.運送、轉運。　2.負、敗。與「贏」相對。	例：輸送。 例：無輸無贏。			hk0000012115-1-5
11570	穌			su11		人名。	例：耶穌。			hk0000012119-1-5
11571	仇	名		shiu53		1.深切的怨恨。　2.結仇敵視對立的人。　3.姓。	例：仇報仇，冤報冤。 例：仇人。			hk0000012120-1-5
11572	仇人	名	詞目分類索引/人際互動 詞目分類索引/稱謂身分	shiu53 ngin53		有深切仇怨的人。	例：佢兜兩子爺就像仇人共樣，見面就冤家。(他們父子倆就像仇人似的，見面就吵架。)	仇家　仇敵　冤仇人		hk0000012121-1-5
11573	薯	名	詞目分類索引/疾病醫療 詞目分類索引/飲食 詞目分類索引/植物	shi53		1.植物名。　2.皮膚因細菌感染或皮脂腺阻塞等原因而生成的膿包。	例：馬鈴薯。 例：長薯（青春痘）。			hk0000012122-1-5
11574	手	名	詞目分類索引/人體器官 詞目分類索引/疾病醫療	shiu31		1.人體的上肢。　2.擅長某種技藝的人。　3.技能、本領。　4.處理事情的方法。　5.親自去做。　6.與手有關的事物。	例：右手。 例：選手。 例：展一手。 例：手段。 例：親手。 例：手落仔。			hk0000012123-1-5
11575	手背	名	詞目分類索引/人體器官 詞目分類索引/疾病醫療	shiu31 bue31		手掌的背面。	例：阿公个手背皮皺皺，摸起來粗粗。(爺爺的手背上有很多皺紋，摸起來很粗糙。)			hk0000012126-1-5
11576	手痺痺	形	詞目分類索引/疾病醫療	shiu31 bi31 bi31		手麻木不靈活的樣子。	例：寒天用冷水洗碗筷，洗到手痺痺。(冬天用冷水洗碗筷，洗得手麻木不靈活。)	手瘸瘸		hk0000012147-1-5
11577	手指罅			特shiu31 zhi31 la55		指縫。手指間之縫隙。	例：佢雖然恁會趁錢，毋過佢手指罅足開，到今無長麼个錢。(他雖然很會賺錢，不過他出手闊綽，到現在沒存多少錢。)	手指縫　手縫		
11578	手指腡	名	詞目分類索引/人體器官 詞目分類索引/疾病醫療	shiu31 zhi31 loo53		手指頭上的指紋。	例：逐儕人个手指腡都無共樣。(每個人的指紋都不一樣。)			
11579	手指頭	名	詞目分類索引/人體器官 詞目分類索引/疾病醫療	shiu31 zhi31 teu53		1.手指。　2.大拇指。	例：佢分燒水熝著，十隻手指頭都盡痛。(他被熱水燙到，十個指頭都很痛。) 例：拈東西長透會用著手指頭。(撿東西常常會用到大拇指。)	手指公		hk0000012161-1-5
11580	手輕腳輕	形		shiu31 kiang11 gioo24 kiang11		形容動作謹慎、輕巧。	例：大家睡當晝个時節，佢就手輕腳輕行落教室。(（大家在睡午覺的時候，他動作很輕巧的進入教室。）)	輕手輕腳	賤手賤腳	hk0000012165-1-5
11581	手長衫袖短	諺	詞目分類索引/慣用語 詞目分類索引/生活狀態	shiu31 chong53 sam11 ciu55 don31		原指衣袖不夠長，遮不住雙手。比喻無法掩飾自己的窘境。	例：屋下逐隻月支出多，收入少，輒輒毋罅使，正經係手長衫袖短。(家裡每個月支出多，收入少，常常不敷使用，真是手長衣袖短。)			hk0000012171-1-5
11582	手指拗入無拗出	諺	詞目分類索引/人際互動	shiu31 zhi31 au31 ngib43 mo53 au31 chid24		手指頭向內彎而沒有向外彎的，比喻凡事照顧自己人，不會照顧外人。	例：手指拗入無拗出，有錢佢當然先分屋下人賺。(胳臂往內彎，有錢他當然先給家人賺。)			hk0000012172-1-5
11583	手指伸出有長短	諺	詞目分類索引/人物品評	shiu31 zhi31 chin11 chid24 rhiu11 chong53 don31		手指伸出來各有長短。比喻人的賢愚天賦各有不同，無法勉強其達到平等。	例：手指伸出有長短，你無理由要求逐儕都像愛因斯坦。(十指有長短，你不能要求每個人都像愛因斯坦。)	馬路有高低		hk0000012173-1-5
11584	守	動　名	詞目分類索引/財經法政	shiu31		1.防禦、看管。　2.維持、遵行。　3.駐留、等待。　4.氣節、品性。　5.職官名。古代一郡的行政長官。	守顧。(守法。) 熬更守夜。(操守。) 太守。			hk0000012175-1-5
11585	守寡	動	詞目分類索引/宗教民俗 詞目分類索引/生活狀態	shiu31 gua31		婦人於丈夫死後，從未再改嫁。	例：阿婆自從三十年前阿公過身以後，就守寡到現下。(奶奶自從三十年前爺爺過世後，就守寡到現在。)			hk0000012176-1-5
11586	守約	動	詞目分類索引/人際互動	shiu31 rhio24		遵守與人約定好的事。	例：摎人講好勢个事，定著愛守約。(與人約好的事，務必要守約。)			hk0000012177-1-5
11587	守節	動	詞目分類索引/人物品評	shiu31 zied24		1.不改易原本的節操。　2.婦人守寡，不再改嫁。	例：文天祥守節毋屈服个精神，當得人欽佩。(文天祥守節不屈的精神，使人欽佩。) 例：姐婆守寡到今，已經守節三十零年了。(外婆守寡到今，已經守節三十多年了。)			hk0000012178-1-5
11588	首		詞目分類索引/量詞	shiu31		1.頭、腦袋。　2.領袖、帶頭領導的人。　3.開頭、開端。　4.最先的、第一的。　5.出面檢舉告發或自陳罪狀。　6.量詞。計算詩詞、歌曲等的單位。	斬首。(元首。) 篇首。(首富。) 自首。			hk0000012180-1-5
11589	首長	名	詞目分類索引/產業勞動 詞目分類索引/財經法政 詞目分類索引/稱謂身分	shiu31 zhong31		最高階層的長官。	例：市長係市政府裡背官位最高个行政首長。(市長是市政府內官位最高的行政首長。)			hk0000012182-1-5
11590	戌		詞目分類索引/宗教民俗 詞目分類索引/時間節令	sud24		1.地支的第十一位。　2.時辰名。相當於晚上七時到九時。				hk0000012183-1-5
11591	受	動		shiu55		1.接納。　2.容忍。　3.被、遭。	例：接受。 例：忍受。 例：受害。			hk0000012184-1-5
11592	受氣	動	詞目分類索引/人際互動	shiu55 ki31		遭到欺侮而生氣。	例：從細到大佢吂識恁受氣。(從小到大他沒有這樣受氣過。)	委屈		hk0000012185-1-5
11593	受害	動	詞目分類索引/生活狀態	shiu55 hoi55		遭受傷害。	例：這擺个水災，當多人受害。(這次的水災，很多人遭受傷害。)	受難　受罪		hk0000012187-1-5
11594	受理	動		shiu55 li31		接受並加以處理。	例：這件案仔法院已經受理了。(這件案子法院已經接受並加以處理了。)			hk0000012189-1-5
11595	受領	動		shiu55 liang31		接受。	例：佢个保險金麼人受領？(他的保險金誰領取？)			hk0000012190-1-5
11596	素		詞目分類索引/事物情狀 詞目分類索引/飲食	su31		1.白色的。　2.質樸無華、清淡。　3.事物的基本成分、性質。　4.一種用豆、麥等物製成的調味品。　5.通常指不包括蔥、蒜、韭等蔬菜性的食物。與「葷」相對。	例：素絲。 例：素素仔。 例：色素。 例：味素（味精）。 例：素菜。			hk0000012192-1-5
11597	恕		詞目分類索引/思維心態 詞目分類索引/人際互動	shi55		1.推己及人之道。　2.原諒。	例：忠恕。 例：寬恕。			hk0000012193-1-5
11598	庶			shi55		1.眾多。　2.古代稱平民為「庶」。　3.旁支的。　4.不遠、差不多。	例：富庶。 例：庶民。 例：庶子。 例：庶幾。			hk0000012194-1-5
11599	授	動	詞目分類索引/教育文化	shiu55		1.給與。　2.傳習。	例：授意。 例：教授。			hk0000012195-1-5
11600	售		詞目分類索引/財經法政	shiu55		賣出。	例：銷售。			hk0000012196-1-5
11601	訴			su31		1.陳述、敘說。　2.告狀。　3.求助。	例：訴苦。 例：控訴。 例：訴諸武力。			hk0000012197-1-5
11602	訴狀	名	詞目分類索引/財經法政	su31 cong55		陳述事實、事件的書面文字。	例：佢拿訴狀去法院告該個壞人。(他拿訴狀去法院告那個壞人。)	稟仔　狀仔		hk0000012198-1-5
11603	訴訟		詞目分類索引/財經法政	su31 siung55		因受到侵害、或其他事項發生爭執不能解決時，請求司法機關依法裁判的行為。	兩片个人都愛和解，就毋使進行訴訟了。 兩邊的人都要和解，就不必進行訴訟了。	打官司		hk0000012199-1-5
11604	壽	名	詞目分類索引/宗教民俗	shiu55		1.活得久、年紀大。　2.年歲。　3.生日。　4.祝壽用的。　5.死後準備裝殮用的。　6.姓。	例：福壽雙全。 例：壽命。 例：壽辰。 例：壽桃。 例：壽板。			hk0000012200-1-5
11605	壽命	名	詞目分類索引/疾病醫療	shiu55 miang55		1.指生物的生命期限。　2.物品存在或使用的期限。	例：人類个平均壽命做得到七八十歲。(人類的平均生命可以到七八十歲。) 例：這隻電池个壽命，斯有三點鐘定定。(這個電池的使用期限，只有三個小時而已。)	壽年		hk0000012201-1-5
11606	壽終	動	詞目分類索引/宗教民俗	shiu55 zhung11		（忌）自然死亡。	例：隔壁个老阿伯昨暗晡壽終，厥屋下人當難過。(隔壁的老阿伯昨晚自然死亡，他的家人很難過。)	變仙　過身		hk0000012203-1-5
11607	壽比南山	形	詞目分類索引/宗教民俗	shiu55 bi31 nam53 san11		喻壽命如南山那樣長久，為祝人長壽之辭。	例：今晡日係阿公个生日，大家恭祝佢壽比南山。(今天是爺爺的生日，大家恭祝他壽比南山。)			hk0000012205-1-5
11608	署	名　動		shi55		1.政府的組織單位。例：衛生署。　2.布置。例：部署。　3.簽寫。例：署名。				hk0000012206-1-5
11609	賜	動		su31		1.上對下的給予。　2.恩惠。　3.有求於人時的謙敬詞。	例：恩賜。 例：受賜。 例：賜教。			hk0000012207-1-5
11610	賜福	動	詞目分類索引/宗教民俗	su31 fu24		給予幸福。	例：這下做得過好日仔，愛感謝上天賜福。(現在能夠過好日子，要感謝上天給予幸福。)	降福		hk0000012208-1-5
11611	賜教	動	詞目分類索引/人際互動	su31 gau11		請人指教的敬詞。	例：假使有人對這篇文章有意見，請賜教。(假如有人對這篇文章有意見，請賜教。)	指教　指導		hk0000012209-1-5
11612	數	名		su31		數目、數量。	例：數字。			hk0000012210-1-5
11613	樹	名		shi55		2.種植、栽培。　3.建立。　1.木本植物之總稱。	例：百年樹人。 例：樹德。			hk0000012212-1-5
11614	樹枝	名	詞目分類索引/植物	shi55 gi11		樹枝。	例：地泥恁多樹枝愛拿走，係無會杈著人。(地上這麼多樹枝要拿開，不然會擋到人。)			hk0000012215-1-5
