汉字	注释	关峡	羊石	兰蓉	五团	麻林	牛头
疆		tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕiaŋ³³	tɕʰiaŋ³³	tɕiaŋ³³
姜	生姜	tɕiəu⁴⁴	tɕio¹³	tɕio⁵⁵	tɕio⁵⁵	tɕio³⁵	tɕio⁵⁵
姜	姓	tɕiaŋ⁴⁴	tɕiaŋ¹³	tɕio⁵⁵	tɕiaŋ³³	tɕio³⁵	tɕiaŋ³³
脚		tɕiəu²¹³	tɕio⁴⁴	tɕio³³	tɕio¹¹²	tɕiɤu²²	tɕio¹¹
却		tɕʰio⁵³	tɕʰye⁴⁴	tɕʰio²⁴	tɕʰio¹¹²	tɕʰio¹³	tɕʰio¹¹
强	坚强	tɕʰiaŋ²¹³	tɕʰio²¹	dʑio²⁴	dʑiaŋ¹¹²	dʑiaŋ¹³	tɕʰiaŋ¹¹
强	勉强	tɕʰiaŋ³³	/	tɕʰiaŋ³³	tɕʰiaŋ²²	tɕʰiaŋ²²	tɕʰiaŋ²²
仰		/	/	iaŋ³³	niaŋ²²	/	ȵiaŋ²²
虐		nio²¹³	nye⁴⁴	nio²⁴	/	io¹³	ȵio²¹
香		ɕiəu⁴⁴	ɕio¹³-~气；ɕiaŋ⁴⁴=~菇	ɕio⁵⁵	ɕio⁵⁵	ɕio³⁵	ɕio⁵⁵
乡		ɕiaŋ⁴⁴	ɕio¹³-~里人；ɕiaŋ⁴⁴=~巴老	ɕio⁵⁵	ɕio⁵⁵	ɕio³⁵	ɕiaŋ³³
响		/	ɕio⁴⁵	/	/	ɕio²²	/
向		ɕiaŋ⁵³	ɕiaŋ³³	ɕio⁴⁴	ɕio³³	ɕio³³	ɕio³³
央		iaŋ⁴⁴	iaŋ¹³	io⁵⁵	io⁵⁵	iaŋ³³	io⁵⁵
秧		iəu⁴⁴	iaŋ¹³	io⁵⁵	io⁵⁵	io³⁵	io⁵⁵
约		io²¹³	io¹¹	io²⁴	io¹¹²	io¹³	io¹¹
羊		iəu²²	io²¹	io²⁴	io¹¹²	io¹³	io¹¹
洋		iəu²²	iaŋ²¹	iaŋ²⁴	io¹¹²	iaŋ¹²	iaŋ¹¹
杨		iəu²²	io²¹	io²⁴	io¹¹²	io¹³	io¹¹
阳		iəu²²-~气；iaŋ²¹³=~光	io²¹	iaŋ⁵⁵~姓	iaŋ³³~姓	io¹³	iaŋ¹¹
养		iəu⁵³	io³³	io³³	io²²	io²²	io²²
痒		iaŋ³³	io³³	io³³	io²²	io²²	io¹¹
样		iəu⁴⁴	io³³	io¹¹	io⁴²	io¹¹	io⁵²
药		iəu²¹³	io¹¹	io¹¹	io¹¹²	iɤu²²	io²¹¹
钥		/	/	/	/	sɿ³⁵	/
光		ku⁴⁴	kio¹³-月~；kuaŋ⁴⁴=~头	ko⁵⁵	kio⁵⁵	lo³⁵	tɕio⁵⁵
广		kuaŋ³³	kuaŋ³³	kuaŋ³³	kuaŋ²²	ko²²	kuaŋ²²
郭		ko⁴⁴	ko⁴⁴	ko²⁴	ko¹¹²	ko¹³	ko¹¹
旷		kʰuaŋ³³	/	kʰuaŋ⁴⁴	kʰo¹¹²	kʰuaŋ³⁵	kʰuaŋ³⁵
扩	扩充	/	kʰo⁴⁴	kʰo³³	kʰo¹¹²	kʰo¹³	kʰo¹¹
荒		xəu⁴⁴	faŋ¹³	ho⁵⁵	ho⁵⁵	ho³⁵	faŋ³³
慌		faŋ⁴⁴	faŋ¹³	faŋ⁵⁵	ho⁵⁵	ho³⁵	faŋ³³
谎		faŋ³¹	faŋ³³	faŋ³³	faŋ²²	faŋ²²	faŋ²²
黄		u²²	o²¹	ho²⁴	ɦo¹¹²	ho¹³	ɦo¹¹
皇		u²²	xo²¹	ho²⁴	ɦo¹¹²	vaŋ¹²	ɦo¹¹
晃	晃眼	faŋ³³	/	/	faŋ²²	faŋ²²	faŋ²²
汪	一汪水	/	/	/	vaŋ⁵⁵	vaŋ³³	vaŋ³³
方		xo⁴⁴一~；xəu⁴⁴地~	faŋ¹³	ho⁵⁵~向；po⁵⁵横~	ho⁵⁵~向；po⁵⁵横~	ho³⁵	ho⁵⁵门~；faŋ³³地~
放		o³³~盐；xəu³³~羊	xo³³	po⁴⁴~牛；ho⁴⁴~心	po³³	po³³	po³³
芳		faŋ⁴⁴	faŋ⁴⁴	faŋ⁵⁵	ho⁵⁵	faŋ³³	faŋ³³
纺		xəu⁵³	faŋ³³	faŋ³³	faŋ²²	pʰo²²	faŋ²²
房		xəu²²	xo²¹-一间~；faŋ¹³=填~	bo²⁴	ɦo¹¹²	bo¹³	faŋ¹¹
防		faŋ²²	faŋ²¹	/	faŋ¹¹²	vaŋ¹²	faŋ¹¹
缚		/	fu¹¹	po¹¹	bo³¹	bo²²	bo²¹¹
亡		uaŋ²¹³	/	vaŋ²⁴	vaŋ¹¹²	vaŋ¹²	vaŋ¹¹
网		məu³³	mo³³	mo³³	mo²²	mo¹¹	mo²²
忘		məu³³	mo³³	mo¹¹	mo⁴²	mo¹¹	mo⁵²
望		məu³³	mo³³	mo¹¹	mo⁴²	mo¹¹	mo⁵²
筐		kʰuaŋ⁴⁴	kʰuaŋ⁴⁴	/	kʰuaŋ³³	kʰuaŋ³³	kʰuaŋ³³
狂		kʰuaŋ²¹³	kuaŋ¹³	ɡuaŋ²⁴	ɡuaŋ¹¹²	ɡuaŋ¹²	kʰuaŋ¹¹
况		kʰuaŋ⁵³	kʰuaŋ⁴⁵	kʰuaŋ⁵⁵	kʰuaŋ⁵⁵	kʰuaŋ³⁵	kʰuaŋ³⁵
枉		uaŋ³³	uaŋ³³	vaŋ²⁴	vaŋ²²	vaŋ²²	vaŋ²²
王		uaŋ²²	uaŋ²¹	vaŋ²⁴	vaŋ¹¹²	o¹³	vaŋ¹¹
往		uaŋ³³	uaŋ³³	vaŋ³³	vaŋ²²	vaŋ²²	vaŋ²²
旺	兴旺	uaŋ⁵³	uaŋ³³	vaŋ²⁴	vaŋ²⁴	vaŋ³⁵	vaŋ³⁵
绑		paŋ³³	paŋ⁴⁵	paŋ³³	paŋ²²	po²²	po²²
剥		po²¹³	po⁴⁴	po³³	po¹¹²	pɤu²²	po¹¹
胖		/	pʰaŋ⁴⁵	/	/	pʰaŋ³⁵	/
棒		paŋ⁵³	paŋ³³	paŋ⁵⁵	paŋ²⁴	paŋ¹³	paŋ²²
蚌		paŋ⁵³	paŋ³³	paŋ⁵⁵	baŋ²⁴	po²²	paŋ³⁵
雹		pʰao⁵³	pʰao⁴⁴	pʰao⁵⁵	pʰao⁵⁵	pʰao³⁵	po³³
桩		/	tsaŋ¹³	/	tsuaŋ⁵⁵	tɕio³⁵	toŋ⁵⁵
桌		tsəu²¹³	tso⁴⁴	tso⁵⁵	tso¹¹²	tso¹³	tso¹¹
啄		/	tsa⁴⁴	tia³³	tɑ¹¹²	tia²²	tie¹¹
戳		/	/	tsʰo⁵⁵	/	/	/
撞		tsʰoŋ³³	tsʰoŋ³³	tsʰaŋ³³	to⁴²	tɕio¹¹	tsʰuaŋ²²
捉		tsəu²¹³	tso⁴⁴	to³³	to¹¹²	tiɤu²²	to¹¹
窗		tsʰaŋ⁴⁴	tsʰo¹³-~子；tsʰaŋ⁴⁴=~帘	tɕʰio⁵⁵	/	tɕʰio³⁵	/
镯	锅子	/	tsʰo¹¹	to¹¹	/	/	/
双		səu⁴⁴	so¹³	so⁵⁵	so⁵⁵	ɕio³⁵	ɬo⁵⁵
江		kəu⁴⁴	ko¹³	ko⁵⁵	ko⁵⁵	ko⁵⁵	ko⁵⁵
讲		kəu⁵³	ko⁴⁵	ko³³	tɕiao²²	ko²²	tɕiao²²
港	港口	kaŋ³³	kaŋ³³	/	kaŋ²²	kaŋ²²	/
降	下降	tɕiaŋ⁵³	tɕiaŋ³³	tɕiaŋ⁴⁴	tɕiaŋ⁵⁵	tɕiaŋ³⁵	tɕiaŋ³⁵
虹	天上虹	/	xoŋ²¹	hoŋ²⁴	/	ko³³	/
觉	知觉	/	tɕio⁴⁴	tɕio²⁴	tɕio¹¹²	tɕio¹³	tɕio¹¹
角		kəu²¹³	ko⁴⁴	ko³³	ko¹¹²；tɕio¹¹²	tɕiɤu²²	ko¹¹
腔		tɕʰiaŋ⁴⁴	tɕʰiaŋ⁴⁴	tɕʰiaŋ⁴⁴	tɕʰiaŋ⁵⁵	tɕʰio³⁵	tɕʰiaŋ³³
确		tɕʰio²¹³	tɕʰio⁴⁴	tɕʰio²⁴	tɕʰio¹¹²	tɕʰio¹³	kʰo¹¹
壳		kʰəu²¹³	kʰo⁴⁴	ho³³-；kʰo³³=	kʰo¹¹²	ho²²	ho¹¹
岳		ye²¹³	io¹¹	io²⁴	io²⁴	io¹³	io¹¹
乐	音乐	lo²¹³	lo¹¹	io²⁴	lo⁴²	io¹³	io¹¹
降	投降	ɕiaŋ²¹³	ɕiaŋ²¹	ʑio²⁴	ɕiaŋ¹¹²	iaŋ²²	ɕiaŋ¹¹
项		ɕiaŋ⁵³	xaŋ¹³	haŋ²⁴	haŋ¹¹	haŋ²²	haŋ³⁵
学		xəu³¹²	xo¹¹-~堂；ɕio¹³=同~	ho²⁴	ɦo³¹	hɤu¹¹	ɦo²¹¹
握		o⁵³	o¹¹	o⁵⁵	o⁵⁵	o¹³	o¹¹
北		pe²¹³	pe⁴⁴	pai³³	pai¹¹²	pai²²	pai¹¹
朋		poŋ²²	poŋ²¹	boŋ²⁴	boŋ¹¹²	boŋ¹³	poŋ¹¹
墨		mai²¹³	mai¹¹	mai¹¹	mai³¹	mai¹¹	mai²¹¹
灯		taŋ⁴⁴	taŋ¹³	taŋ⁵⁵	taŋ⁵⁵	taŋ³⁵	taŋ⁵⁵
等		taŋ⁵³	taŋ⁴⁵	taŋ³³	taŋ²²	taŋ²²	taŋ²²
凳		taŋ³³	taŋ³³	taŋ⁴⁴	taŋ²²	taŋ³³	taŋ³³
得		te²¹³	tai⁴⁴	tai³³	tai¹¹²	tai²²	tai¹¹
德		te²¹³	te¹³	tɤ²⁴	tei¹¹²	te¹³	tə¹¹
腾		taŋ²²	taŋ²¹	/	tʰen¹¹²	daŋ¹³	tʰen¹¹
藤		taŋ²²	taŋ²¹	daŋ²⁴	daŋ¹¹²	daŋ¹³	daŋ¹¹
邓		tən⁵³	tin³³	din⁵⁵	ten²⁴	ten³⁵	ten³⁵
特		tʰe²¹³	tʰe¹¹	tʰɤ²⁴	tʰə¹¹²	tʰe¹³	tʰə²¹¹
能		nin²²	nin²¹	len²⁴	len¹¹²	len¹²	len¹¹
肋		le²¹³	/	/	/	lei³⁵	lə²¹¹
曾	姓	tsin⁴⁴	tsin¹³	tsin⁴⁴	tsin⁵⁵	tsen³³	tsin³³
增		tsin⁴⁴	tsin¹³	tsin⁴⁴	tsin³³	tsen³³	tsin³³
曾	曾经	/	tsʰin²¹	/	/	dzen¹³	/
层		tsaŋ²²	tsʰaŋ²¹	dzaŋ²⁴	dzaŋ¹¹²	dzaŋ¹³	ɮaŋ¹¹
贼		tsʰai³¹²	tsʰai¹¹	tsai¹¹	dzai³¹	dzai¹¹	ɮai²¹¹
塞		sai²¹³	sai⁴⁴	saŋ³³	sai¹¹²	sei²²	ɬai¹¹
肯		kʰaŋ⁵³	kʰaŋ³³	haŋ³³	haŋ²²	kʰaŋ²²	kʰen²²
刻	时刻	kʰe²¹³	kʰe⁴⁴	kʰɤ²⁴	kʰə¹¹²	kʰe¹³	kʰə¹¹
克		kʰe²¹³	kʰe⁴⁴	kʰɤ²⁴	kʰe⁵⁵	kʰe¹³	kʰə¹¹
黑		xai²¹³	xai⁴⁴	hai³³	hai¹¹²	hai²²	hai¹¹
冰		pin⁴⁴	pin⁴⁴	pin⁴⁴	pin³³	pin³³	pin³³
逼		pi²¹³	pi¹¹	pi²⁴	pi¹¹²	pi²²	pi¹¹
凭		pʰin¹³	pin²¹	bin²⁴	bin¹¹²	bin¹²	pʰin¹¹
凌		lin²²	lin²¹	lin²⁴	lin¹¹²	lin¹²	lin¹¹
菱		lin²²	lin²¹	lin²⁴	lin¹¹²	lin¹²	lin¹¹
力		li²¹³	li¹¹	li¹¹	lei³¹	lei²²	liu²¹¹
鲫		tsi²¹³	tsi⁴⁴	tɕi²⁴	tɕi¹¹²	tɕi²²	tɕi¹¹
息		si²¹³	ɕi¹³	ɕi²⁴	ɕi¹¹²	ɕi¹³	ɕi¹¹
熄		si²¹³	ɕi¹³	ɕi⁴⁴	ɕi¹¹²	ɕi¹³	ɕi¹¹
媳		si²¹³	ɕi¹³	ɕi²⁴	ɕi¹¹²	/	ɕi¹¹
征	征求	tsin⁴⁴	tɕin¹³	/	tsin³³	tɕin³³	tsin³³
直		ti³¹²	tie¹¹	ti¹¹	dei³¹	dei¹¹	diu²¹¹
值		ti³¹²~钱；tɕi²¹³~班	tɕʰie¹¹	ti¹¹~钱；tɕi²⁴~班	tɕi²⁴	/	dʑi²¹¹
侧		tsʰe²¹³	tsʰə⁴⁴	tsʰɤ²⁴	tsʰə⁴²	tsʰe¹³	tsʰə¹¹
测		tsʰe²¹³	tsʰə⁴⁴	tsʰɤ²⁴	tsʰe¹¹²	tsʰe¹³	tsʰə¹¹
色		se²¹³	sə⁴⁴	sɤ²⁴	sə¹¹²	ɕiai²²	sə¹¹
蒸		tsan⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin⁵⁵	tɕin³⁵	tɕin⁵⁵
证		tɕin³³	tɕin³³	tɕin⁴⁴	tɕin⁵⁵	tsen³⁵	tɕin³⁵
症		tɕin³³	tɕin³³	tɕin⁴⁴	tɕin⁵⁵	tsen³⁵	tɕin³⁵
织		tɕi²¹³	tɕi⁴⁴	tɕi³³	tɕi¹¹²	tɕi¹³	tɕiu¹¹
职		tɕi²¹³	tɕi⁴⁴	tɕi²⁴	tɕi¹¹²	tsɿ¹³	tɕi¹¹
称		tɕʰin⁴⁴	tɕʰin¹³	tɕʰin⁵⁵	tɕʰin⁵⁵	tɕʰin³⁵	tɕʰin⁵⁵
秤	名	tɕʰin³³	tɕʰin³³	tɕʰin⁴⁴	tɕʰin³³	tɕʰin³³	tɕʰin³³
乘		tɕʰin²¹³	tɕʰin²¹	dʑin²⁴	tsʰen¹¹²	dzen¹³	tsʰen¹¹
绳		/	ɕyn²¹	/	ɕin¹¹²	zen¹³	sen¹¹
剩		ɕin³³	ɕie³³	ɕin¹¹	ɕin⁴²	/	ɕin⁵²
食		ie³¹²	i¹¹~饭；ɕi¹³隔~	i¹¹	y³¹	ie¹¹；y¹¹	iu²¹¹
升		ɕin⁴⁴	ɕin¹³	ɕin⁵⁵	ɕin⁵⁵	ɕin³³	ɕin⁵⁵
胜	胜败	ɕin⁵³	ɕin⁴⁵	ɕin⁵⁵	ɕin⁵⁵	sen³⁵	sen³⁵
识		ɕu²¹³	ɕie⁴⁴	ɕi³³	ɕy¹¹²	sɿ¹³	ɕiu¹¹
式		sɿ⁵³	ɕie⁴⁴	/	sɿ⁴²	s³⁵	ɕi³⁵
承		tɕʰin²¹³	tɕʰin¹³	/	tɕʰin¹¹²	dzen²²	tsʰen¹¹
极		/	tɕi¹¹	/	tɕi¹¹²	tʰi¹³	tɕi¹¹
兴	兴旺	ɕin⁴⁴	ɕin¹³	ɕin⁴⁴	ɕin⁵⁵	ɕin³³	ɕin³³
兴	高兴	ɕin³³	ɕin³³	ɕin⁵⁵	ɕin³³	ɕin³⁵	ɕin³⁵
应	应当	in⁴⁴	in¹³	in⁵⁵	in⁵⁵	in³⁵	in³³
鹰		in⁴⁴	in¹³	in⁴⁴	in³³	in³³	in³³
应	应对	in³³	in³³	in⁵⁵	in⁵⁵	in³⁵	in³⁵
亿		i⁵³	i¹¹	i⁵⁵	i⁵⁵	i³⁵	i³⁵
蝇		/	in²¹	/	/	zen¹³	in³³
孕		/	yn³³	/	yn⁵⁵	yn³⁵	yn³⁵
国		kue²¹³	kue⁴⁴	kue²⁴	ko¹¹²	kue¹³	ko¹¹
或		xo³³	xo⁴⁴	/	fe¹¹²	fe¹³	ho¹¹
百		po²¹³	pa⁴⁴	pa³³	pɑ¹¹²	pa²²	pɑ¹¹
柏		po²¹³	pə⁴⁴	pʰa³³	pe¹¹²	pe¹³	pɑ¹¹
伯		pa²¹³	pə⁴⁴	pa³³	pɑ¹¹²	pe¹³	pɑ¹¹
迫		pʰo⁵³	pʰə⁴⁴	/	pʰe¹¹²	pʰe¹³	pʰə¹¹
拍		pʰo²¹³	pʰə⁴⁴	pʰa³³	pʰɑ¹¹²	pʰa²²	pʰɑ¹¹
彭		poŋ²²	pʰen¹³	bin²⁴	bin¹¹²	boŋ¹³	pʰen¹¹
白		po³¹²	pa¹¹	ba¹¹	bɑ³¹	ba¹¹	bɑ²¹¹
猛		moŋ³³	moŋ³³	moŋ³³	moŋ²²	moŋ²²	moŋ²²
孟		moŋ⁵³	moŋ³³	moŋ⁵⁵	moŋ⁵⁵	moŋ³⁵	moŋ³⁵
打		ta⁵³	ta⁴⁵	ta³³	tɑ²²	ta²²	tɑ²²
冷		laŋ³³	laŋ³³	lai³³	lai²²	lai²²	lai²²
撑		tsʰaŋ⁴⁴	tsʰaŋ¹³	tsʰoŋ³³	tʰai⁵⁵	tʰai³⁵	tʰai⁵⁵
拆		tsʰo²¹³	tsʰa⁴⁴	tʰa³³	tʰɑ¹¹²	tɕʰia²²	tʰɑ¹¹
泽		tse²¹³	tsə¹¹	tsʰɤ²⁴	tsʰe¹¹²	tse¹³	tsə¹¹
择	择菜	tso³¹²	tsʰa¹¹	ta¹¹	dɑ³¹	tse¹³	tsə¹¹
生		saŋ⁴⁴	saŋ¹³-~熟；sen⁴⁴=学~	ɕiai⁵⁵	sai⁵⁵	ɕiai³⁵	ɬai⁵⁵
甥		saŋ⁴⁴	soŋ¹³	sin⁴⁴	soŋ⁵⁵	ɕiai³⁵	soŋ⁵⁵
省	省长	sin⁵³	ɕin³³	sin³³	soŋ²²	soŋ²²	sen²²
省	省钱	sin⁵³	ɕin³³	/	sin²²	sen²²	sen²²
更	三更	kən⁴⁴	ken¹³	kai⁵⁵；kin⁵⁵	kai⁵⁵	kai³⁵	kai⁵⁵
庚		kəu⁴⁴	ken¹³	kin⁴⁴	kai⁵⁵	ken³³	kai⁵⁵
哽		/	/	kin³³	kai²²	/	kʰai²²
埂	田埂	kən³³	kaŋ³³	/	/	ken²²	kai²²
梗		kaŋ⁵³	kaŋ³³	kai³³	kai²²	ken²²	kai²²
更		kən³³	ken³³	kin⁵⁵	kin⁵⁵	ken³⁵	ken³⁵
格		ke²¹³	kə⁴⁴	/	ke¹¹²	ke¹³	ke¹¹
客		xo²¹³	xa⁴⁴	ha³³	hɑ¹¹²	ha²²	hɑ¹¹
硬		ŋaŋ³³	ŋaŋ³³	ŋai¹¹	ŋai⁴²	ŋai¹¹	ŋai³³
额		ŋo²¹³	ŋa¹¹	ŋa¹¹	ŋɑ³¹	ŋa²²	ŋɑ²¹¹
吓	恐虾	xo²¹³	xa⁴⁴	ha³³	hɑ¹¹²	ha²²	hɑ¹¹
行	行为	xən²²	xaŋ²¹	hai²⁴	ɕin¹¹²	ʑin²²	ɕin¹¹
衡	衡山	xən²²	xen²¹	/	ɦin¹¹²	hai¹³	hen¹¹
杏		/	/	/	ɕyn⁴²	hen¹³	ɕin³⁵
棚		poŋ²²	poŋ²¹	boŋ²⁴	boŋ¹¹²	boŋ¹³	boŋ¹¹
麦		mo³¹²	ma¹¹	ma¹¹	mɑ³¹	ma¹¹	mɑ²¹¹
脉		mai³¹²	mai¹¹	mai¹¹	mai³¹	mai¹¹	mai²¹¹
摘		tso²¹³	tsa⁴⁴	ta³³	tɑ¹¹²	tɕia²²	tɑ¹¹
橙		tsən²²	tɕʰin²¹	dʑin²⁴	tsʰin¹¹²	dzen²²	tsʰen¹¹
争		tsaŋ⁴⁴	tsaŋ¹³	tai⁵⁵	tai⁵⁵	tɕiai³⁵	tsin⁵⁵
睁		tsaŋ⁴⁴	tsaŋ¹³	tsin⁵⁵	tʰai³³	tɕʰiaŋ³³	tai⁵⁵
责		tse²¹³	tsə¹³	tsɤ²⁴	tse¹¹²	tse¹³	tsə¹¹
策		tsʰe²¹³	tsʰə¹³	tsʰɤ²⁴	tsʰe¹¹²	tsʰe¹³	tsʰə¹¹
册		tsʰe²¹³	tsʰə²⁴	/	tsʰe¹¹²	tsʰe¹³	tsʰə¹¹
耕		kən⁴⁴	/	/	kai⁵⁵	kin³⁵	kai⁵⁵
革		ke²¹³	kə⁴⁴	kɤ²⁴	ke¹¹²	ke¹³	kə¹¹
隔		ke²¹³	ka⁴⁴-~壁；kə¹³=~食	ka³³	kɑ¹¹²	ka²²	kɑ¹¹
幸		ɕin³³	ɕin³³	ʑin²⁴	ɕin²⁴	/	ɕin³⁵
鹦		in⁴⁴	in¹³	in⁴⁴	in⁵⁵	in³³	in³³
轭		ŋo³³	ŋa¹¹	a³³	ŋɑ²²	a²²	ɑ³³
兵		pin⁴⁴	pin¹³	pin⁵⁵	pin⁵⁵	pin³³	pin³³
丙		pin⁵³	pin³³	pin³³	pin²²	pin²²	pin³³
平		pe²²	pe²¹	bie²⁴	bie¹¹²	bie¹³	bie¹¹
坪		pe²²	pe²¹	bie²⁴	bie¹¹²	bie¹³	bie¹¹
病		pe⁴⁴	pe³³	pie¹¹	pie⁴²	pie¹¹	pie⁵²
明		me²²	me²¹	mie²⁴	mie¹¹²	mie¹³	mie¹¹
命		me³³	me³³	mie¹¹	mie⁴²	mie¹¹	mie⁵²
京		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin³³	tɕin³³	tɕin³³
惊		tɕin⁴⁴	/	tɕin⁵⁵	tɕie⁵⁵	tɕie³⁵	tɕie⁵⁵
境		tɕin⁵³	tɕin⁴⁵	tɕin⁵⁵	tɕin²²	tɕin³⁵	tɕin³⁵
景		tɕin³³	tɕin³³	tɕin³³	tɕin²²	tɕin²²	tɕin²²
警		tɕin³¹	tɕin³³	tɕin³³	tɕin²²	tɕin²²	tɕin²²
敬		tɕin⁵⁵	tɕin³³	tɕin³³	tɕin⁵⁵	tɕin³⁵	tɕin³⁵
镜		tɕie³³	tɕin³³	/	tɕin⁵⁵	tɕin³³	tɕin³³
庆		tɕʰin⁵³	tɕʰin³³	tɕʰin⁵⁵	tɕʰin⁵⁵	tɕʰin³⁵	tɕʰin³⁵
竞		/	/	/	tɕin⁴²	tɕin³⁵	tɕin³⁵
迎		in²²	in²¹	in²⁴	in¹¹²	in¹²	in¹¹
英		in⁴⁴	in¹³	in⁵⁵	in³³	in³³	in³³
影		ie⁵³	in⁴⁵	in³³	e²²-~哩；in²²=电~	in²²	ie²²
饼		pin⁵³	pin⁴⁵	pin³³	pin²²	pin²²	pin²²
聘		/	pʰin³³	pʰin⁵⁵	pʰin⁵⁵	pʰin³⁵	pʰin³⁵
名		me²²	me²¹	mie²⁴	mie¹¹²	mie¹³	mie¹¹
领		lin³³	lin⁴⁵	lin³³	lie²²	lie²²	lie²²
岭		lin³³	lin⁴⁵	lin³³	/	lin²²	lin²²
令		lin⁵³	lin³³	lin²⁴	lin⁵⁵	lin³⁵	lin³⁵
精		tse⁴⁴	tse¹³	tsie⁵⁵	tsie⁵⁵	tsei³⁵-；tɕin³⁵=	tsin³³
晶		tsin⁴⁴	/	/	tɕin³³	tɕin³³	tsin³³
睛	眼晴	tse⁴⁴	tse¹³	tsie⁵⁵	tsie⁵⁵	tsei³⁵	tɬie⁵⁵
井		tse⁵³	tse⁴⁵	tsie³³	tsie²²	tsai²²	tɬie²²
积		tsi²¹³	tsi⁴⁴	tɕi²⁴	tsie¹¹²	tɕi¹³	tɕi¹¹
脊		tsio²¹³	tsi⁴⁴	/	tsi¹¹²	tɕia²²	tɕi¹¹
清		tsʰe⁴⁴	tsʰe¹³	tsʰie⁵⁵	tsʰie⁵⁵	tsʰai³⁵	tʰie⁵⁵
请		tsʰe⁵³	tsʰe⁴⁵	tsʰie³³	tsʰie²²	tsʰai²²	tʰie²²
情		tsin²²	tsʰin²¹	dʑin²⁴	dʑin¹¹²	dʑin¹³	ɮin¹¹
晴		tse²²	tsʰe²¹	dzie²⁴	dzie¹¹²	dzai¹³	ɮie¹¹
静		tsin⁵³	tsin³³	/	tsin⁴²	dʑin¹³	tsin³³
净		tsin³³	tsʰin³³	tsin¹¹	tsin⁵⁵	tɕin¹¹	tsin⁵²
性		se³³	se³³	/	sin⁵⁵	ɕin³⁵	ɕin³⁵
姓		se³³	se³³	sin⁴⁴	sie³³	ɕie³³	ɬie³³
惜		si²¹³	si⁴⁴	si²⁴	se⁵⁵	ɕi¹³	ɬie¹¹
席		tsio³¹²-；si²¹³=	tsia¹¹-；si⁴⁴=	dzio¹¹-；si²⁴=	si³¹	dʑia¹¹-；ɕie¹³=	dzia¹¹-；ɮi²¹¹=
贞		/	tɕin⁴⁴	tɕin⁴⁴	tɕin³³	tsen³³	tsin³³
侦		/	tɕin⁴⁴	tɕin⁴⁴	tɕin³³	tsen³³	tsin³³
程		tɕʰin²²	tɕʰin¹³	dʑin²⁴	tɕʰin¹¹²	dzen¹³	tsʰin¹¹
郑		tɕin⁵³	tɕʰin³³	tɕin⁵⁵	dʑin²⁴	dzen¹³	tsin³⁵
正	正月	tɕie⁴⁴	tɕin¹³	tɕie⁵⁵	tɕin³³	tɕie³⁵	tɕie⁵⁵
征		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin³³	tɕin³³	tsin³³
整		tɕin⁵⁵	tɕin⁴⁵	tɕin³³	tɕin²²	tsen²²	tsin²²
正		tɕin⁵³	tɕin³³	tɕin³³	tɕin⁵⁵	tsen³⁵	tsin³⁵
政		tɕin⁵³	tɕin³³	tɕin⁵⁵	tɕin⁵⁵	tsen³⁵	tsin³⁵
隻		tɕio²¹³	tɕia⁴⁴	tɕia³³	tɕiɑ¹¹²	tɕia²²	tɕiɑ¹¹
赤		tɕʰio²¹³	tɕʰia⁴⁴	tɕʰi²⁴	tɕʰiɑ¹¹²	tɕʰia²²	tɕʰiɑ¹¹
尺		tɕʰio²¹³	tɕʰia⁴⁴	tɕʰia³³	tɕʰiɑ¹¹²	tɕʰia²²	tɕʰiɑ¹¹
射		ɕio³³	ɕia¹¹	ɕia¹¹	ɕiɑ⁴²	ɕia¹¹	ɕie³⁵
声		ɕie⁴⁴	ɕie¹³	ɕie⁵⁵	ɕie⁵⁵	ɕie³⁵	ɕie⁵⁵
圣		ɕin⁵³	ɕin⁴⁵	ɕin⁵⁵	ɕin⁵⁵	sen³⁵	sin³⁵
适		ɕi²¹³	sɿ⁴⁴	ɕi²⁴	ɕi¹¹²	sɿ¹³	ɕi¹¹
释		ɕi²¹³	sɿ⁴⁴	ɕi²⁴	ɕi¹¹²	sɿ¹³	ɕi¹¹
成		tɕʰin²¹³	tsʰin²¹	dʑin²⁴	dʑin¹¹²	dʑie¹³	dʑie¹¹
城		tɕʰin¹³	tsʰin²¹	dʑin²⁴	dʑin¹¹²	dʑin¹³	tsʰen¹¹
诚		tɕʰin²¹³	tsʰin²¹	dʑin²⁴	dʑin¹¹²	dzen²²	tsʰen¹¹
盛	兴盛	ɕin³³	ɕin³³	ɕin⁵⁵	ɕin²⁴	zen³⁵	sin³⁵
石		ɕio²¹³	tɕʰia¹¹	dʑia¹¹-~头；ɕi²⁴=~榴	dʑiɑ³¹	/	dʑiɑ²¹¹
颈		ke⁵³	tɕie⁴⁵	tɕiaŋ³³	tɕie²²	tɕie²²	tɕie²²
轻	轻重	tɕʰie⁴⁴	tɕʰie¹³	tɕʰie⁵⁵	tɕʰie⁵⁵	tɕʰie³⁵	tɕʰie⁵⁵
益		i⁵³	i⁴⁴	i²⁴	i⁵⁵	i¹³	i¹¹
