"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"廗"	"廗"	"dɑ6"	"俚有兩~房子。聲調類推"	"蘇州同音常用字彙"	""	""	""
"檯"	"台"	"de2"	"~子"	"蘇州同音字彙1892"	""	""	""
"抬"	"抬"	"de2"	""	"蘇州同音字彙1892"	""	""	""
"代"	"代"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"兊"	"兑"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"岱"	"岱"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"埭"	"埭"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"埭"	"埭"	"dɑ6"	"白讀：去一~亦好"	"蘇州同音常用字彙"	""	""	""
"怠"	"怠"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"迨"	"迨"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"殆"	"殆"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"待"	"待"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"貸"	"贷"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"逮"	"逮"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"黛"	"黛"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"靆"	"叇"	"de6"	""	"蘇州同音字彙1892"	""	""	""
"踏"	"踏"	"dɑʔ8"	""	"蘇州同音字彙1892"	""	""	""
"達"	"达"	"dɑʔ8"	""	"蘇州同音字彙1892"	""	""	""
"⿺辶𬑔"	"⿺辶𬑔"	"dɑʔ8"	"疑爲“遝”"	"蘇州同音字彙1892"	""	""	""
"沓"	"沓"	"dɑʔ8"	""	"蘇州同音字彙1892"	""	""	""
"噠"	"哒"	"dɑʔ8"	""	"蘇州同音字彙1892"	""	""	""
"道"	"道"	"dɐɵ6"	""	"蘇州同音字彙1892"	""	""	""
"稻"	"稻"	"dɐɵ6"	""	"蘇州同音字彙1892"	""	""	""
"凸"	"凸"	"dəʔ8"	""	"蘇州同音字彙1892"	""	""	""
"籐"	"籐"	"dən2"	"同“藤”"	"蘇州同音字彙1892"	""	""	""
"屯"	"屯"	"dən2"	""	"蘇州同音字彙1892"	""	""	""
"沌"	"沌"	"dən6"	""	"蘇州同音字彙1892"	""	""	""
"囤"	"囤"	"dən6"	""	"蘇州同音字彙1892"	""	""	""
"遁"	"遁"	"dən6"	""	"蘇州同音字彙1892"	""	""	""
"骰"	"骰"	"dəʏ2"	"~子"	"蘇州同音字彙1892"	""	""	""
"荳"	"荳"	"dəʏ6"	""	"蘇州同音字彙1892"	""	""	""
"苐"	"苐"	"di2"	"同“第”或“荑”"	"蘇州同音字彙1892"	""	""	""
"弟"	"弟"	"di6"	""	"蘇州同音字彙1892"	""	""	""
"鰷"	"鲦"	"diɐɵ2"	""	"蘇州同音字彙1892"	""	""	""
"絛"	"绦"	"diɐɵ2"	""	"蘇州同音字彙1892"	""	""	""
"笤"	"笤"	"diɐɵ2"	"~帚"	"蘇州同音字彙1892"	""	""	""
"窕"	"窕"	"diɐɵ6"	""	"蘇州同音字彙1892"	""	""	""
"蓧"	"蓧"	"diɐɵ6"	""	"蘇州同音字彙1892"	""	""	""
"廸"	"廸"	"diɪʔ8"	""	"蘇州同音字彙1892"	""	""	""
"碟"	"碟"	"diɪʔ8"	""	"蘇州同音字彙1892"	""	""	""
"凟"	"凟"	"doʔ8"	"同“瀆”"	"蘇州同音字彙1892"	""	""	""
"度"	"度"	"doʔ8"	"猜~"	"蘇州同音字彙1892"	""	""	""
"踱"	"踱"	"doʔ8"	""	"蘇州同音字彙1892"	""	""	""
"鐸"	"铎"	"doʔ8"	""	"蘇州同音字彙1892"	""	""	""
"糰"	"团"	"dœ̃2"	"湯~"	"蘇州同音字彙1892"	""	""	""
"摶"	"抟"	"dœ̃2"	""	"蘇州同音字彙1892"	""	""	""
"譚"	"谭"	"dœ̃2"	""	"蘇州同音字彙1892"	""	""	""
"叚"	"叚"	"dœ̃6"	"疑爲“段”"	"蘇州同音字彙1892"	""	""	""
"縀"	"縀"	"dœ̃6"	"疑爲“緞”"	"蘇州同音字彙1892"	""	""	""
"瑕"	"瑕"	"dœ̃6"	"疑爲“瑖” "	"蘇州同音字彙1892"	""	""	""
"仝"	"仝"	"doŋ2"	""	"蘇州同音字彙1892"	""	""	""
"艟"	"艟"	"doŋ2"	""	"蘇州同音字彙1892"	""	""	""
"膛"	"膛"	"dɔŋ2"	""	"蘇州同音字彙1892"	""	""	""
"糖"	"糖"	"dɔŋ2"	""	"蘇州同音字彙1892"	""	""	""
"溏"	"溏"	"dɔŋ2"	""	"蘇州同音字彙1892"	""	""	""
"謁"	"谒"	"əʔ7"	""	"蘇州同音常用字彙"	""	""	""
"呃"	"呃"	"əʔ7"	"打~。正字可能是“餩”"	"蘇州同音常用字彙"	""	""	""
"狠"	"狠"	"ɦən4"	""	"蘇州同音字彙1892"	""	""	""
"漚"	"沤"	"əʏ5"	""	"蘇州同音字彙1892"	""	""	""
"厚"	"厚"	"ɦəʏ4"	"忠~。據《廣韻》：胡口切"	"蘇州同音常用字彙"	""	""	""
"厚"	"厚"	"ɦəʏ6"	"據《廣韻》：胡遘切"	"蘇州同音字彙1892"	""	""	""
"後"	"后"	"ɦəʏ6"	""	"蘇州同音字彙1892"	""	""	""
"法"	"法"	"fɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"𤼵"	"发"	"fɑʔ7"	"同“發”"	"蘇州同音字彙1892"	""	""	""
"髪"	"发"	"fɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"𠵽"	"𠵽"	"fɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"咈"	"咈"	"fəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"勿"	"勿"	"fəʔ7"	"正字可能是“弗”"	"蘇州同音字彙1892"	""	""	""
"沸"	"沸"	"fəʔ7"	"可能爲誤讀"	"蘇州同音字彙1892"	""	""	""
"氛"	"氛"	"fən1"	""	"蘇州同音字彙1892"	""	""	""
"馚"	"馚"	"fən1"	"～馧，香氣"	"蘇州同音字彙1892"	""	""	""
"雰"	"雰"	"fən1"	""	"蘇州同音字彙1892"	""	""	""
"吩"	"吩"	"fən1"	"~咐"	"蘇州同音字彙1892"	""	""	""
"腓"	"腓"	"fi1"	""	"蘇州同音字彙1892"	""	""	""
"菲"	"菲"	"fi3"	""	"蘇州同音字彙1892"	""	""	""
"榧"	"榧"	"fi3"	""	"蘇州同音字彙1892"	""	""	""
"豐"	"丰"	"foŋ1"	""	"蘇州同音字彙1892"	""	""	""
"瘋"	"疯"	"foŋ1"	""	"蘇州同音字彙1892"	""	""	""
"捧"	"捧"	"foŋ3"	""	"蘇州同音字彙1892"	""	""	""
"訪"	"访"	"fɔŋ3"	""	"蘇州同音字彙1892"	""	""	""
"彷"	"彷"	"fɔŋ3"	""	"蘇州同音字彙1892"	""	""	""
"舫"	"舫"	"fɔŋ3"	""	"蘇州同音字彙1892"	""	""	""
"倣"	"倣"	"fɔŋ3"	"同“仿”"	"蘇州同音字彙1892"	""	""	""
"咐"	"咐"	"fu5"	""	"蘇州同音字彙1892"	""	""	""
"訃"	"讣"	"fu5"	""	"蘇州同音字彙1892"	""	""	""
"附"	"附"	"fu5"	""	"蘇州同音字彙1892"	""	""	""
"骱"	"骱"	"ɡɑ2"	""	"蘇州同音字彙1892"	""	""	""
"骱"	"骱"	"ɡɑ6"	"骨頭的關節：~脱"	"蘇州同音常用字彙"	""	""	""
"茄"	"茄"	"ɡɑ2"	"白讀：~子"	"蘇州同音字彙1892"	""	""	""
"劼"	"劼"	"ɡɑʔ8"	""	"蘇州同音字彙1892"	""	""	""
"軋"	"轧"	"ɡɑʔ8"	""	"蘇州同音字彙1892"	""	""	""
"軋"	"轧"	"ɡaʔ8"	"~棉花"	"蘇州同音常用字彙"	""	""	""
"頦"	"颏"	"ɡe2"	""	"蘇州同音字彙1892"	""	""	""
"戤"	"戤"	"ɡe6"	"~牌子"	"蘇州同音字彙1892"	""	""	""
"搿"	"搿"	"ɡəʔ8"	"~牢俚"	"蘇州同音字彙1892"	""	""	""
"啃"	"啃"	"ɡən4"	""	"蘇州同音字彙1892"	""	""	""
"共"	"共"	"ɡoŋ2"	""	"蘇州同音字彙1892"	""	""	""
"共"	"共"	"ɡoŋ6"	"~總"	"蘇州同音常用字彙"	""	""	""
"揆"	"揆"	"ɡue2"	""	"蘇州同音字彙1892"	""	""	""
"櫃"	"柜"	"ɡue6"	"文讀"	"蘇州同音字彙1892"	""	""	""
"柜"	"柜"	"dʑy4"	"白讀：~枱"	"蘇州同音常用字彙"	""	""	""
"跪"	"跪"	"ɡue6"	"文讀"	"蘇州同音字彙1892"	""	""	""
"繈"	"襁"	"ʥiaŋ2"	""	"蘇州同音字彙1892"	""	""	""
"撬"	"撬"	"ʥiɐɵ6"	""	"蘇州同音字彙1892"	""	""	""
"祈"	"祈"	"ʥi2"	""	"蘇州同音字彙1892"	""	""	""
"祁"	"祁"	"ʥi2"	""	"蘇州同音字彙1892"	""	""	""
"技"	"技"	"ʥi4"	"~藝。推導音，《廣韻》記該字讀上聲。"	"蘇州同音字彙1892"	""	""	""
"妓"	"妓"	"ʥi6"	""	"蘇州同音字彙1892"	""	""	""
"𡜱"	"𡜱"	"ʥi6"	"怒"	"蘇州同音字彙1892"	""	""	""
"企"	"企"	"ʥi6"	""	"蘇州同音字彙1892"	""	""	""
"極"	"极"	"ʥiɪʔ8"	"發~"	"蘇州同音字彙1892"	""	""	""
"亟"	"亟"	"ʥiɪʔ8"	""	"蘇州同音字彙1892"	""	""	""
"臼"	"臼"	"ʥiʏ6"	""	"蘇州同音字彙1892"	""	""	""
"咎"	"咎"	"ʥiʏ4"	"~由自取"	"蘇州同音常用字彙"	""	""	""
"咎"	"咎"	"ʥiʏ6"	""	"蘇州同音字彙1892"	""	""	""
"柩"	"柩"	"ʥiʏ6"	""	"蘇州同音字彙1892"	""	""	""
"舅"	"舅"	"ʥiʏ6"	""	"蘇州同音字彙1892"	""	""	""
"舊"	"旧"	"ʥiʏ6"	""	"蘇州同音字彙1892"	""	""	""
"軸"	"轴"	"ʥioʔ8"	"~子"	"蘇州同音字彙1892"	""	""	""
"睘"	"睘"	"ʥioŋ2"	""	"蘇州同音字彙1892"	""	""	""
"𨃪"	"𨃪"	"ʥiœ̃2"	"同“踡”"	"蘇州同音字彙1892"	""	""	""
"俱"	"俱"	"ʥy2"	""	"蘇州同音字彙1892"	""	""	""
"跽"	"跽"	"ʥy6"	""	"蘇州同音字彙1892"	""	""	""
"懼"	"惧"	"ʥy6"	""	"蘇州同音字彙1892"	""	""	""
"具"	"具"	"ʥy6"	""	"蘇州同音字彙1892"	""	""	""
"拒"	"拒"	"ʥy6"	""	"蘇州同音字彙1892"	""	""	""
"撅"	"撅"	"ʥyɪʔ8"	""	"蘇州同音字彙1892"	""	""	""
"哈"	"哈"	"hɑ1"	"~~大笑"	"蘇州同音字彙1892"	""	""	""
"蟹"	"蟹"	"hɑ3"	""	"蘇州同音字彙1892"	""	""	""
"嚇"	"吓"	"hɑʔ7"	"~得嘸[nɑʔ hã]"	"蘇州同音字彙1892"	""	""	""
"瞎"	"瞎"	"haʔ7"	"~説"	"蘇州同音字彙1892"	""	""	""
"呷"	"呷"	"haʔ7"	"~一口"	"蘇州同音字彙1892"	""	""	""
"喝"	"喝"	"haʔ7"	""	"蘇州同音字彙1892"	""	""	""
"海"	"海"	"he3"	""	"蘇州同音字彙1892"	""	""	""
"哼"	"哼"	"haŋ1"	""	"蘇州同音字彙1892"	""	""	""
"亨"	"亨"	"haŋ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"夯"	"夯"	"haŋ1"	"打~"	"蘇州同音常用字彙"	""	""	""
"耗"	"耗"	"hɐɵ5"	"~費"	"蘇州同音字彙1892"	""	""	""
"狠"	"狠"	"hən3"	""	"蘇州同音字彙1892"	""	""	""
"鱟"	"鲎"	"həʏ5"	"虹的俗稱，越諺作𩄬"	"蘇州同音字彙1892"	""	""	""
"矆"	"矆"	"hoʔ7"	""	"蘇州同音字彙1892"	""	""	""
"暵"	"暵"	"hœ̃1"	""	"蘇州同音字彙1892"	""	""	""
"熯"	"熯"	"hœ̃5"	""	"蘇州同音字彙1892"	""	""	""
"憾"	"憾"	"hœ̃5"	""	"蘇州同音字彙1892"	""	""	""
"訇"	"訇"	"hoŋ1"	""	"蘇州同音字彙1892"	""	""	""
"哄"	"哄"	"hoŋ3"	""	"蘇州同音字彙1892"	""	""	""
"鬨"	"哄"	"hoŋ5"	"起~"	"蘇州同音字彙1892"	""	""	""
"喎"	"喎"	"huɑ1"	"口眼~斜"	"蘇州同音常用字彙"	""	""	""
"歪"	"歪"	"huɑ1"	"~有理"	"蘇州同音字彙1892"	""	""	""
"歪"	"歪"	"uɑ1"	"~嬲。聲調類推"	"蘇州同音常用字彙"	""	""	""
"㧾"	"㧾"	"huaʔ7"	""	"蘇州同音字彙1892"	""	""	""
"豁"	"豁"	"huaʔ7"	"~嘴"	"蘇州同音字彙1892"	""	""	""
"搳"	"搳"	"huaʔ7"	"~拳"	"蘇州同音常用字彙"	""	""	""
"悔"	"悔"	"hue1"	""	"蘇州同音字彙1892"	""	""	""
"毁"	"毁"	"hue3"	""	"蘇州同音常用字彙"	""	""	""
"燬"	"毁"	"hue3"	""	"蘇州同音字彙1892"	""	""	""
"晦"	"晦"	"hue3"	""	"蘇州同音字彙1892"	""	""	""
"虺"	"虺"	"hue3"	""	"蘇州同音字彙1892"	""	""	""
"諱"	"讳"	"hue3"	""	"蘇州同音字彙1892"	""	""	""
"𥁃"	"𥁃"	"huɔŋ1"	""	"蘇州同音字彙1892"	""	""	""
"𮎰"	"𮎰"	"huɔŋ1"	"同“荒”"	"蘇州同音字彙1892"	""	""	""
"恍"	"恍"	"huɔŋ3"	""	"蘇州同音字彙1892"	""	""	""
"况"	"况"	"huɔŋ5"	""	"蘇州同音字彙1892"	""	""	""
"獾"	"獾"	"huœ̃1"	""	"蘇州同音字彙1892"	""	""	""
"响"	"响"	"ɕiaŋ3"	""	"蘇州同音字彙1892"	""	""	""
"餉"	"饷"	"ɕiaŋ3"	""	"蘇州同音字彙1892"	""	""	""
"享"	"享"	"ɕiaŋ3"	"~福"	"蘇州同音字彙1892"	""	""	""
"嚮"	"向"	"ɕiaŋ5"	""	"蘇州同音字彙1892"	""	""	""
"哮"	"哮"	"ɕiɐɵ1"	""	"蘇州同音字彙1892"	""	""	""
"嘵"	"哓"	"ɕiɐɵ1"	""	"蘇州同音字彙1892"	""	""	""
"唏"	"唏"	"ɕi3"	""	"蘇州同音字彙1892"	""	""	""
"蟢"	"蟢"	"ɕi3"	"壁~。~子，古書上說的一種蜘蛛"	"蘇州同音字彙1892"	""	""	""
"戯"	"戏"	"ɕi5"	""	"蘇州同音字彙1892"	""	""	""
"噏"	"噏"	"ɕiɪʔ7"	""	"蘇州同音字彙1892"	""	""	""
"蠍"	"蝎"	"ɕiɪʔ7"	"~子"	"蘇州同音字彙1892"	""	""	""
"蝎"	"蝎"	"ɕiɪʔ7"	""	"蘇州同音字彙1892"	""	""	""
"脇"	"胁"	"ɕiɪʔ7"	""	"蘇州同音字彙1892"	""	""	""
"楦"	"楦"	"ɕiœ̃1"	""	"蘇州同音字彙1892"	""	""	""
"楦"	"楦"	"ɕiœ̃5"	"~頭"	"蘇州同音常用字彙"	""	""	""
"胸"	"胸"	"ɕioŋ1"	""	"蘇州同音字彙1892"	""	""	""
"闃"	"阒"	"ɕyɪʔ7"	""	"蘇州同音字彙1892"	""	""	""
"𠯋"	"𠯋"	"i1"	""	"蘇州同音字彙1892"	""	""	""
"儀"	"仪"	"i1"	""	"蘇州同音字彙1892"	""	""	""
"扆"	"扆"	"i3"	""	"蘇州同音字彙1892"	""	""	""
"掎"	"掎"	"i3"	""	"蘇州同音字彙1892"	""	""	""
"椅"	"椅"	"i3"	""	"蘇州同音字彙1892"	""	""	""
"㕽"	"㕽"	"i3"	""	"蘇州同音字彙1892"	""	""	""
"義"	"义"	"i5"	""	"蘇州同音字彙1892"	""	""	""
"憶"	"忆"	"i5"	""	"蘇州同音字彙1892"	""	""	""
"係"	"系"	"i5"	"關~。聲調類推"	"蘇州同音常用字彙"	""	""	""
"約"	"约"	"iɑʔ7"	"~會"	"蘇州同音字彙1892"	""	""	""
"映"	"映"	"iaŋ5"	""	"蘇州同音字彙1892"	""	""	""
"怏"	"怏"	"iaŋ5"	""	"蘇州同音字彙1892"	""	""	""
"么"	"么"	"iɐɵ1"	""	"蘇州同音字彙1892"	""	""	""
"㕭"	"㕭"	"iɐɵ1"	""	"蘇州同音字彙1892"	""	""	""
"吆"	"吆"	"iɐɵ1"	""	"蘇州同音字彙1892"	""	""	""
"鷕"	"鷕"	"iɐɵ3"	""	"蘇州同音字彙1892"	""	""	""
"殀"	"殀"	"iɐɵ3"	""	"蘇州同音字彙1892"	""	""	""
"杳"	"杳"	"iɐɵ3"	""	"蘇州同音字彙1892"	""	""	""
"又"	"又"	"iʏ5"	""	"蘇州同音字彙1892"	""	""	""
"有"	"有"	"iʏ3"	""	"蘇州同音字彙1892"	""	""	""
"友"	"友"	"iʏ3"	""	"蘇州同音字彙1892"	""	""	""
"酉"	"酉"	"iʏ3"	""	"蘇州同音字彙1892"	""	""	""
"家"	"家"	"kɑ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"枷"	"枷"	"kɑ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"加"	"加"	"kɑ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"袈"	"袈"	"kɑ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"階"	"阶"	"kɑ1"	"白讀：~沿"	"蘇州同音字彙1892"	""	""	""
"街"	"街"	"kɑ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"傢"	"傢"	"kɑ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"嘉"	"嘉"	"kɑ1"	"白讀：~興"	"蘇州同音字彙1892"	""	""	""
"假"	"假"	"kɑ3"	"白讀"	"蘇州同音字彙1892"	""	""	""
"解"	"解"	"kɑ3"	"白讀：姓"	"蘇州同音字彙1892"	""	""	""
"𡯓"	"尬"	"kɑ5"	"白讀：尷~"	"蘇州同音字彙1892"	""	""	""
"尬"	"尬"	"kɑ5"	"白讀：尲~"	"蘇州同音常用字彙"	""	""	""
"價"	"价"	"kɑ5"	"白讀"	"蘇州同音字彙1892"	""	""	""
"嫁"	"嫁"	"kɑ5"	"白讀"	"蘇州同音字彙1892"	""	""	""
"架"	"架"	"kɑ5"	"白讀"	"蘇州同音字彙1892"	""	""	""
"戒"	"戒"	"kɑ5"	"白讀"	"蘇州同音字彙1892"	""	""	""
"芥"	"芥"	"kɑ5"	"白讀：~菜"	"蘇州同音字彙1892"	""	""	""
"界"	"界"	"kɑ5"	"白讀：世~"	"蘇州同音字彙1892"	""	""	""
"疥"	"疥"	"kɑ5"	"白讀：癩~瘡（疥瘡）"	"蘇州同音字彙1892"	""	""	""
"蚧"	"蚧"	"kɑ5"	""	"蘇州同音字彙1892"	""	""	""
"誡"	"诫"	"kɑ5"	"白讀"	"蘇州同音字彙1892"	""	""	""
"魪"	"魪"	"kɑ5"	"比目魚"	"蘇州同音字彙1892"	""	""	""
"屆"	"届"	"kɑ5"	"白讀"	"蘇州同音常用字彙"	""	""	""
"卡"	"卡"	"kʰɑ3"	"~子"	"蘇州同音字彙1892"	""	""	""
"闓"	"闿"	"kʰe3"	""	"蘇州同音字彙1892"	""	""	""
"鎧"	"铠"	"kʰe3"	""	"蘇州同音字彙1892"	""	""	""
"夾"	"夹"	"kaʔ7"	"白讀：~裏"	"蘇州同音常用字彙"	""	""	""
"裌"	"夹"	"kaʔ7"	"白讀：~襖"	"蘇州同音常用字彙"	""	""	""
"郟"	"郏"	"kaʔ7"	"姓"	"蘇州同音常用字彙"	""	""	""
"甲"	"甲"	"kaʔ7"	"白讀：盔~；~子"	"蘇州同音常用字彙"	""	""	""
"翮"	"翮"	"kaʔ7"	"白讀"	"蘇州同音常用字彙"	""	""	""
"隔"	"隔"	"kaʔ7"	"白讀：隔~"	"蘇州同音常用字彙"	""	""	""
"槅"	"槅"	"kɑʔ7"	"~子"	"蘇州同音字彙1892"	""	""	""
"胳"	"胳"	"kɑʔ7"	"白讀：~辣叉。"	"蘇州同音字彙1892"	""	""	""
"甲"	"甲"	"kɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"夾"	"夹"	"kɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"丐"	"丐"	"kɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"革"	"革"	"kɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"隔"	"隔"	"kɑʔ7"	"白讀：~一層"	"蘇州同音字彙1892"	""	""	""
"格"	"格"	"kɑʔ7"	"白讀：~子"	"蘇州同音常用字彙"	""	""	""
"搯"	"掐"	"kʰaʔ7"	"本音"	"蘇州同音常用字彙"	""	""	""
"搯"	"掐"	"kʰɑʔ7"	""	"蘇州同音字彙1892"	""	""	""
"揢"	"揢"	"kʰɑʔ7"	"~住頭頸。書中記爲舒聲，有誤，據實改"	"蘇州同音常用字彙"	""	""	""
"更"	"更"	"kaŋ1"	"白讀：敲~个"	"蘇州同音字彙1892"	""	""	""
"庚"	"庚"	"kaŋ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"粳"	"粳"	"kaŋ1"	"白讀：~米"	"蘇州同音字彙1892"	""	""	""
"羹"	"羹"	"kaŋ1"	"白讀：~飯"	"蘇州同音字彙1892"	""	""	""
"鶊"	"鹒"	"kaŋ1"	""	"蘇州同音字彙1892"	""	""	""
"耕"	"耕"	"kaŋ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"梗"	"梗"	"kaŋ3"	"白讀：桔~"	"蘇州同音字彙1892"	""	""	""
"鯁"	"鲠"	"kaŋ3"	"白讀"	"蘇州同音字彙1892"	""	""	""
"骾"	"鲠"	"kaŋ3"	"白讀"	"蘇州同音字彙1892"	""	""	""
"埂"	"埂"	"kaŋ3"	"白讀：田~浪"	"蘇州同音常用字彙"	""	""	""
"跤"	"跤"	"kɐɵ1"	"白讀"	"蘇州同音常用字彙"	""	""	""
"糕"	"糕"	"kɐɵ1"	"年~"	"蘇州同音字彙1892"	""	""	""
"茭"	"茭"	"kɐɵ1"	"白讀：~白"	"蘇州同音字彙1892"	""	""	""
"膠"	"胶"	"kɐɵ1"	"白讀：~水、牛皮~"	"蘇州同音字彙1892"	""	""	""
"交"	"交"	"kɐɵ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"稿"	"稿"	"kɐɵ3"	""	"蘇州同音字彙1892"	""	""	""
"絞"	"绞"	"kɐɵ3"	"白讀"	"蘇州同音字彙1892"	""	""	""
"攪"	"搅"	"kɐɵ3"	"白讀：①攪拌：伸進去一~；②瘋鬧：覅~哉、瞎~"	"蘇州同音字彙1892"	""	""	""
"攪"	"搅"	"tɕiɐɵ3"	"文讀"	"蘇州同音常用字彙"	""	""	""
"酵"	"酵"	"kɐɵ5"	"白讀：發~"	"蘇州同音字彙1892"	""	""	""
"教"	"教"	"kɐɵ5"	"白讀"	"蘇州同音字彙1892"	""	""	""
"覺"	"觉"	"kɐɵ5"	"白讀：睏~"	"蘇州同音字彙1892"	""	""	""
"覺"	"觉"	"koʔ7"	"白讀：~着"	"蘇州同音常用字彙"	""	""	""
"攷"	"攷"	"kʰɐɵ3"	""	"蘇州同音字彙1892"	""	""	""
"烤"	"烤"	"kʰɐɵ3"	"~火"	"蘇州同音字彙1892"	""	""	""
"个"	"个"	"kəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"個"	"个"	"kəʔ7"	"一~"	"蘇州同音字彙1892"	""	""	""
"袷"	"袷"	"kəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"羯"	"羯"	"kəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"合"	"合"	"kəʔ7"	"~會"	"蘇州同音字彙1892"	""	""	""
"疙"	"疙"	"kəʔ7"	"~瘩"	"蘇州同音字彙1892"	""	""	""
"欬"	"欬"	"kʰəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"磕"	"磕"	"kʰəʔ7"	"打~銃"	"蘇州同音字彙1892"	""	""	""
"瞌"	"瞌"	"kʰəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"栲"	"栲"	"kʰəʔ7"	"~栳"	"蘇州同音字彙1892"	""	""	""
"跟"	"跟"	"kən1"	"翻~陡"	"蘇州同音字彙1892"	""	""	""
"肯"	"肯"	"kʰən3"	""	"蘇州同音字彙1892"	""	""	""
"啃"	"啃"	"kʰən3"	"~骨頭"	"蘇州同音常用字彙"	""	""	""
"掯"	"掯"	"kʰən5"	"~勒"	"蘇州同音常用字彙"	""	""	""
"鉤"	"钩"	"kəʏ1"	""	"蘇州同音字彙1892"	""	""	""
"夠"	"够"	"kəʏ5"	""	"蘇州同音字彙1892"	""	""	""
"宼"	"寇"	"kʰəʏ5"	"姓"	"蘇州同音字彙1892"	""	""	""
"角"	"角"	"koʔ7"	"白讀"	"蘇州同音字彙1892"	""	""	""
"郭"	"郭"	"koʔ7"	"另讀。該時期uoʔ正併入oʔ"	"蘇州同音字彙1892"	""	""	""
"穀"	"谷"	"koʔ7"	"同“穀”"	"蘇州同音字彙1892"	""	""	""
"咯"	"咯"	"koʔ7"	""	"蘇州同音字彙1892"	""	""	""
"壳"	"壳"	"kʰoʔ7"	""	"蘇州同音字彙1892"	""	""	""
"乾"	"干"	"kœ̃1"	"~菜"	"蘇州同音字彙1892"	""	""	""
"杆"	"杆"	"kœ̃1"	""	"蘇州同音字彙1892"	""	""	""
"肝"	"肝"	"kœ̃1"	"~油"	"蘇州同音字彙1892"	""	""	""
"桿"	"杆"	"kœ̃1"	""	"蘇州同音字彙1892"	""	""	""
"桿"	"杆"	"kœ̃3"	"槍~子"	"蘇州同音常用字彙"	""	""	""
"銲"	"銲"	"kœ̃5"	"同“焊”"	"蘇州同音字彙1892"	""	""	""
"旰"	"旰"	"kœ̃5"	""	"蘇州同音字彙1892"	""	""	""
"看"	"看"	"kʰœ̃5"	""	"蘇州同音字彙1892"	""	""	""
"宮"	"宫"	"koŋ1"	""	"蘇州同音字彙1892"	""	""	""
"蚣"	"蚣"	"koŋ1"	""	"蘇州同音字彙1892"	""	""	""
"糠"	"糠"	"kʰɔŋ1"	"礱~"	"蘇州同音字彙1892"	""	""	""
"匟"	"炕"	"kʰɔŋ5"	"~牀"	"蘇州同音字彙1892"	""	""	""
"囥"	"囥"	"kʰɔŋ5"	"~攏"	"蘇州同音常用字彙"	""	""	""
"乖"	"乖"	"kuɑ1"	"白讀"	"蘇州同音字彙1892"	""	""	""
"拐"	"拐"	"kuɑ3"	"~子"	"蘇州同音字彙1892"	""	""	""
"柺"	"柺"	"kuɑ3"	""	"蘇州同音字彙1892"	""	""	""
"夬"	"夬"	"kuɑ5"	""	"蘇州同音字彙1892"	""	""	""
"怪"	"怪"	"kuɑ5"	"倷覅~我"	"蘇州同音字彙1892"	""	""	""
"蒯"	"蒯"	"kʰuɑ3"	""	"蘇州同音字彙1892"	""	""	""
"蒯"	"蒯"	"kʰuɑ5"	"姓"	"蘇州同音常用字彙"	""	""	""
"快"	"快"	"kʰɑ5"	"白讀：~活"	"蘇州同音常用字彙"	""	""	""
"快"	"快"	"kʰuɑ5"	"白讀：~信"	"蘇州同音字彙1892"	""	""	""
"窺"	"窥"	"kue1"	"應讀[kʰuᴇ⁴⁴]，疑爲誤記"	"蘇州同音字彙1892"	""	""	""
