#漢字	音標	解釋
軛	ŋã5	
輪	lᴀŋ2	
軟	ȵy3	
輕	tɕʰieŋ1	
載	tsa5	动
轎	dʑieu6	
輸	ɕy1	~赢
辛	ɕieŋ1	
辣	ləʔ8	
邊	pi1	
達	dəʔ8	
過	ku5	
迎	ȵieŋ2	
運	iɔŋ6	
近	dʑiɔŋ6	
近	dʑieŋ6	
還	ve2	动
進	tɕieŋ5	
遠	y3	
連	li2	
遲	di2	
遲	dzɿ2	
追	tɕy1	
退	tʰø5	
送	sɔŋ5	
適	ɕiəʔ7	
遞	di6	
通	tʰɔŋ1	
造	zɔ6	
逢	hɔŋ5	
逼	piəʔ7	
遁	dø6	
道	dɔ6	
遮	tɕi1	
避	bi6	
鄧	dᴀŋ6	
邦	pɔ̃1	
鄰	lieŋ2	
郎	lɔ̃2	
鄭	dã6	
郡	dʑiɔŋ6	
郭	kəʔ7	
酉	iɑu3	
配	pʰø5	
酒	tɕieu5	
酥	su1	
醬	tɕiɔ̃5	
酸	sø1	
醉	tɕy5	
醋	tsʰɿ5	
醒	tsʰã3	
醒	ɕieŋ3	
重	dɔŋ6	形
重	dzɔŋ6	
量	liɔ̃2	动
金	tɕieŋ1	
針	tsai1	
釘	tieŋ1	名
釣	tieu5	
釵	tsʰa1	
钟	tsɔŋ1	
鉤	kɔ1	
錢	zai2	~库:地名
鉗	dʑi2	
鑽	tsø5	名
鐵	tʰiəʔ7	
鉛	kʰã1	~笔
銅	dɔŋ2	
鍘	dzəʔ8	
鍘	zəʔ8	
銃	tsʰɔŋ5	
銀	ȵiɔŋ2	
鋪	pʰu1	十里
鎖	sɑu3	
鎖	so3	
鋤	dʑy2	
銳	zai6	
錫	ɕiəʔ7	
鑼	lɑu2	
鋸	tɕy5	
鎮	tɕieŋ5	
鏡	tɕiã5	
長	dɔ̃2	~短
長	dɔ̃2	身无~物
門	mø2	
問	mᴀŋ6	
問	vᴀŋ6	
閏	iɔŋ6	
闲	ai2	
間	kai1	房~
悶	mᴀŋ6	
鬮	tɕiɑu1	
閲	iəʔ8	
闊	kʰəʔ7	
隊	dai2	
陽	iɔ̃2	
陣	dieŋ6	
阻	tsu3	
陳	dai2	
陳	dieŋ2	
降	iɔ̃2	投~
限	hai6	
限	e6	
院	y6	
隨	ʑy2	
隱	ieŋ3	
隔	ka5	
難	ne2	形
雀	tɕʰiəʔ7	麻~
雄	iɔŋ2	
雌	tsʰɿ1	
雨	vu6	
雨	fu6	
雨	y3	
雪	ɕiəʔ7	
雲	vᴀŋ2	
雷	la2	
雹	bəʔ8	
雹	bɔ6	
霧	mo6	
需	ɕy1	
霍	hɔ3	
霜	ɕiɔ̃5	
霞	o2	
霸	po5	
青	tsʰã1	
青	tɕʰieŋ1	
