#漢字	音標	解釋
#簡稱	/	淸末溫州
#全稱	/	淸末溫州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,331 2 1b 陽平 ꜁,45 3 2a 陰上 ꜂,34 4 2b 陽上 ꜃,42 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,223 7 4a 陰入 ꜆,112 8 4b 陽入 ꜇
#版本	/	2021-10-21
#錄入人	/	阿纓
#參考資料	/	《淸末溫州方言音系研究》《溫州方言入門》
#說明	/	
釕	liɛ4	元素名
釗	tɕiɛ1	
釘	tiŋ1	
釘	tiŋ5	動詞
釙	pʰo7	元素名
釜	fu3	
針	tsaŋ1	
釣	tiɛ5	
釧	tɕʰye5	
釩	va2	
釭	kɔ1	
釵	tsʰa1	
鈀	bo2	
鈁	hɔ1	元素名
鈇	fu1	
鈈	pai7	元素名
鈉	nø8	
鈍	dø6	
鈐	dʑie2	
鈑	pa3	
鈔	tsʰɔ1	
鈕	ȵiau4	
鈞	tɕyʊŋ1	
鈣	kʰø7	
鈥	fu3	
鈦	tʰa5	
鈧	kʰɔ5	元素名
鈰	zɿ4	元素名
鈳	kʰu1	
鈴	liŋ2	
鈸	bø8	
鈺	ȵyo8	
鈺	ko7	
鈾	jiau2	
鉀	ka7	
鉈	tʰa1	元素名
鉑	ba8	
鉕	pʰu3	元素名
鉗	dʑie2	
鉚	mɜ6	原作「卯
鉛	kʰa1	
鉛	jie2	
鉞	jye8	
鉤	kau1	
鉦	tsiŋ1	
鉧	mo4	
鉧	mu4	
鉬	mo8	
鉬	mu8	
鉭	tʰa3	元素名
鉲	kʰe1	元素名
鉸	tɕiɛ3	～刀
鉸	ka3	～剪
鉸	kɔ3	
鉺	zɿ4	
鉻	ko7	
鉿	ha1	元素名
銀	ȵiaŋ2	
銃	tɕʰyʊŋ5	
銅	dʊŋ2	
銇	ʔlai1	鑽
銑	si3	
銖	tɕiɿ1	
銘	miŋ2	
銜	ɡa2	
銜	ɦa2	
銠	lɜ4	元素名
銣	ʑiɿ2	元素名
銪	jiau4	元素名
銫	se7	元素名
銬	kʰau5	
銱	tiɛ5	
銶	dʑiau2	
銷	ɕiɛ1	
銼	tsʰo5	
銼	tsʰu5	
鋃	lɔ2	
鋅	saŋ1	
鋇	pai5	元素名
鋏	ka7	
鋒	hʊŋ1	
鋤	zu2	
鋤	ʑiɿ2	板～
鋥	dzɛ6	
鋩	mɔ2	
鋪	pʰʉ1	～開
鋪	pʰʉ5	店～
鋭	zai6	
鋯	kɜ5	元素名
鋱	tʰe7	元素名
鋸	kʉ5	
鋸	ku5	～末
鋸	tɕy5	
鋼	kɔ1	
錇	bai2	元素名
錐	tɕiɿ1	
錘	dʑiɿ2	
錚	tsɛ1	
錛	paŋ1	
錠	diŋ4	
錢	die2	白
錢	dzie2	舊文讀
錦	tɕiaŋ3	
錨	mɔ2	
錫	si7	
錮	ku5	
錯	tsʰo7	
錯	tsʰu5	錯過
錄	lo8	
錳	mɛ4	
錶	piɛ3	
鏨	zø4	
鍀	te7	元素名
鍇	kʰa3	
鍋	ku1	
鍍	dʉ6	
鍔	ŋo8	
鍘	za8	
鍛	tø5	
鍤	tsʰa7	
鍥	tɕie7	割稻鐮刀
鍩	no8	元素名
鍪	mɜ2	
鍬	tɕʰiɛ1	
鍰	va2	
鍵	dʑie6	
鍿	tsɿ1	
鎄	ʔe1	元素名
鎊	bɔ2	
鎖	so3	
鎛	po7	
鎢	ʔu1	
鎧	kʰe3	
鎩	sa7	
鎪	sau1	
鎬	ɦɜ4	～京
鎬	kau1	十字～
鎮	tsaŋ5	
鎰	ʔjiai7	
鎵	ko1	元素名
鏊	ŋɜ6	
鏑	ti7	
鏖	ʔɜ1	
鏗	kʰɛ1	
鏘	tsʰie1	
鏜	dɔ2	
鏝	mø6	銅錢有圖紋的一面
鏟	tsʰa3	
鏡	tɕiaŋ5	
鏢	piɛ1	
鏨	zø4	
鏵	ɦo2	
鏷	pʰo7	元素名
鏽	ɕiu5	
鐃	nɔ2	
鐐	liɛ2	
鐒	lɜ2	元素名
鐘	tɕyɔ1	
鐠	pʰu3	元素名
鐧	ka3	
鐫	tɕye1	
鐮	lie2	
鐯	dʑia8	剪
鐲	dʑyo8	
鐳	lai2	
鐵	tʰie7	
鐸	do8	
鐺	tsʰɛ1	
鐺	tɔ1	
鐾	bi6	
鑄	tɕiɿ5	
鑊	ɦo8	
鑒	ka5	
鑔	tsʰa7	
鑕	tsai7	
鑞	la8	
鑣	piɛ1	
鑭	la2	元素名
鑰	jia8	
鑷	ȵia8	夾鑷兒
鑷	ȵie8	
鑼	lu2	
鑽	tsø1	～出
鑽	tsø5	打孔；～石
鑾	lø2	
鑿	zø8	
钂	tʰɔ3	
釘	tiŋ1	～子
釘	tiŋ5	#NAME?
釣	tiɛ5	
鉤	kau1	
錢	die2	
鐵	tʰie7	
鉋	bɔ6	
銅	dʊŋ2	
銀	ȵiaŋ2	
鋪	pʰʉ1	～直主的小路
链	lie2	
链	lie6	
鎖	so3	
鏽	siu5	
錯	tsʰo7	
錨	mɔ2	
鍾	tɕyɔ1	
長	tsie3	生～；縣～
長	dzie2	～短
長	tsie3	～老
長	dzie2	～久
門	maŋ2	
閂	sø1	
閃	ɕia7	～電
閃	sie3	
閉	pi5	
開	kʰe1	
閎	ɦʊŋ2	
閏	jyʊŋ6	
閑	ɦa2	
間	ka1	
間	ka5	～斷
閘	za8	
閡	ɡai8	阻礙
閣	ko7	
閥	ɦo8	
閧	hʊŋ5	
閧	ɦʊŋ4	
閨	tɕy1	
閩	miŋ4	
閬	lɔ6	
閱	jye8	
閹	ʔie1	
閻	jie2	
閽	hye1	
闈	ɦy2	
闊	kʰo7	
闋	tɕʰye7	
闌	la2	
闐	die2	
闑	ȵie8	
闓	kʰe3	
闔	ɦø8	
闕	tɕʰye7	
闖	tɕʰyɔ3	
關	kʋa1	
闞	kʰa5	
闡	tsʰie3	
闥	tʰa7	
闥	da8	店～，店門板
門	maŋ2	
閃	ɕia7	
閉	pi5	
問	maŋ6	
問	vaŋ6	
闲	ɦa2	
間	ka1	中～
閔	miŋ4	
悶	maŋ6	
鬧	nɔ6	
聞	vaŋ2	
闊	kʰo7	
阜	vɜ4	
隊	dai6	
阡	tsʰie1	
阪	pa3	
阮	ȵye4	
阱	ziŋ6	
防	vɔ2	
防	ɦɔ2	
陰	ʔjiaŋ1	
陣	dzaŋ6	
阻	tsu3	
阼	dzo6	
阼	zo6	
阿	ʔa7	～爸
阿	ʔo1	～彌陀佛
阿	ʔu1	
陀	du2	
陂	pʰu1	～陀
附	vʉ6	
陳	dzaŋ2	
陋	lau6	
陌	ma8	
陌	mo8	
降	kɔ5	
降	ɡɔ6	吃酒打～
降	ɦɔ2	投～
降	zie2	投降
限	ɦa4	
限	ɡa4	
陔	ke1	
陛	bi4	
陝	sie3	
陡	tau3	
院	jye6	
陣	dzaŋ6	
除	dʑiɿ2	
陪	bai2	
陬	tsau1	
陰	ʔjiaŋ1	
陳	dzaŋ2	
陵	liŋ2	
陶	dɜ2	
陶	jiɛ2	皋～，古人名
陷	ɡa6	～牙
陷	ɦa6	
陸	lu8	
陽	jie2	
隅	ȵy2	
隆	lʊŋ2	
隆	liɛ2	幹～
隊	dai6	
隋	ʑiɿ2	
隍	ɦɔ2	
階	ka1	
隨	ʑiɿ2	
隱	ʔjiaŋ3	
隑	ɡe6	豎立
隔	ka7	
隕	jyʊŋ4	
隗	ŋʋai2	
隘	ʔa7	
隙	tɕia7	
隙	tɕʰiai7	
際	tsi5	
障	tsie1	
障	tsie5	
隤	dai2	
隧	ʑiɿ6	
隨	zi4	～你
隨	ʑiɿ2	
險	ɕie3	
隰	zai8	濕地
隱	ʔjiaŋ3	
隴	lʊŋ4	
隸	li6	
隻	tsi7	
難	da2	～过
難	na6	灾～
雀	tɕia7	
雁	ŋa6	
雄	jyʊŋ2	
雅	ŋo4	
集	zai8	
雇	ku5	
雉	dzɿ4	
雋	tɕye5	
雌	tsʰɿ1	
雍	ʔjyʊŋ1	
雍	ʔjyʊŋ5	
雒	lo8	
雕	tɜ1	名词
雕	tiɛ1	～刻
雖	ɕiɿ1	
雙	ɕyɔ1	
雛	zu2	
雜	zø8	
雝	ʔjyʊŋ1	
雞	tɕiɿ1	
離	li2	
離	li6	
難	na2	
難	na6	患～
雨	ɦy4	
雩	ɦy2	
雪	ɕye7	
雯	vaŋ2	
雲	jyʊŋ2	
零	liŋ2	
雷	lai2	
雹	bo8	
電	die6	
需	ɕiɿ1	
霄	ɕiɛ1	
霆	diŋ2	
震	tsaŋ5	
霈	pʰai5	
霉	mai2	
霍	ho7	
霎	sa7	
霏	fi1	
霓	ȵi2	
霖	liŋ2	
霜	ɕyɔ1	
霞	ɦo2	
霧	vʉ6	
霧	mø6	白
霪	jiaŋ2	
霰	sie5	
露	lau6	～馬腳
露	lʉ6	
霸	pʰa7	月～
霸	po5	
霹	pʰi7	
霾	ma2	
靂	li8	
靄	ʔe3	
靆	de6	
靈	liŋ2	
靉	ʔe5	
青	tsʰiŋ1	
靖	ziŋ4	
靜	ziŋ4	
靜	ziŋ4	
非	fi1	
靠	kʰɜ5	
靡	mi2	
靡	mi4	
面	mie6	四～; ～粉
面	mai6	底～
面	mø6	後～
靨	ʔie7	
革	ka7	
革	tɕiai7	病～：病危
靴	ɕye1	
靶	po3	
靼	ta7	
靼	ta5	
鞀	dɜ2	
鞅	ʔie1	
鞋	ɦa2	
鞍	ʔye1	
鞏	kʊŋ3	
鞔	mø2	～鼓
鞘	ɕiɛ5	
鞘	sɔ1	
鞟	kʰo7	
鞠	tɕiu7	
鞥	ʔaŋ1	器口內斂
鞦	tsʰiu1	
鞨	ʔø7	
鞭	pie1	
鞲	kau1	
鞶	bø2	
韁	tɕie1	
韃	da8	
韋	ɦy2	
韌	ȵiaŋ6	
韓	jye2	
韙	ɦy4	
韜	tʰɜ1	
韭	tɕiau3	
音	ʔjiaŋ1	愔～静:寂静:使寂静
韶	jiɛ2	
韻	jyʊŋ6	
響	ɕie3	
頁	ʔie7	
頂	tiŋ3	
頃	tɕʰyʊŋ3	
項	ɦɔ4	
順	jyʊŋ6	
頇	hø1	
須	ɕiɿ1	
頌	jyɔ6	
頎	dʑiɿ2	
頏	ɦɔ2	
預	ɦy6	
頑	va2	
頒	pa1	
頓	taŋ5	
頗	pʰu3	
頗	pʰu1	
領	liŋ4	
頜	ɦø8	
頜	kø7	
頤	ji2	
頭	diu2	
頰	ka7	
頷	ɡø4	
頸	tɕiaŋ3	
頹	dai2	
頻	biŋ2	
顆	kʰu1	
題	di2	
額	ŋa8	
顎	ŋo8	
顏	ŋa2	
顓	tɕye1	
顙	sɔ3	
顛	tie1	
類	lʉ6	
顢	mø2	～頇
顣	tsʰu7	
顥	ɦɜ4	
顧	ku5	
顫	tsie5	
顯	ɕie3	
顰	biŋ2	
顱	lʉ2	
顴	dʑye2	
頂	tiŋ3	
順	ʑyʊŋ6	
顧	ku5	
頓	taŋ5	
領	liŋ4	
頸	tɕiaŋ3	
頷	ɦø4	
額	ŋa8	
風	hʊŋ1	
颮	piɛ1	
颯	sa7	
颶	dʑy6	
颸	tsʰɿ1	風～，颱風
颼	sau1	
飄	pʰiɛ1	
飆	piɛ1	
風	fʊŋ1	
飛	fi1	
飛	fi1	
食	zi8	
食	zɿ6	使食
飢	tɕiɿ1	
飥	tʰo7	
飧	sø1	
飩	daŋ2	
飪	zaŋ6	
飭	tsʰi7	
飯	va6	
飲	ʔjiaŋ3	
飼	zɿ6	
飽	pɔ3	
飾	si7	
餃	tɕiɛ3	～兒
餃	kɔ3	～兒
餅	piŋ3	
餈	zɿ2	
餉	sie3	
餉	sie5	
養	ʔie3	
養	jie6	～虱，生虱
餌	zɿ4	
餐	tsʰa1	
餑	bø8	
餒	nai4	
餓	ŋ6	
餓	ŋʋai6	白
餔	pʉ1	撥飯進口
餘	ɦy2	
餛	vaŋ2	
餞	tsie5	
餡	ɡa6	～心
餡	ɦa6	
館	kye3	
餬	vu2	
餱	ɦau2	
餲	ʔø7	食物腐敗
餳	ziŋ2	
餼	ɕiɿ5	
餾	liu6	
餿	sau1	
饅	mø2	
饉	dʑiaŋ6	
饋	dʑy6	
饌	zø4	
饑	tɕiɿ1	
饒	ȵia2	上～
饒	jiɛ2	
饔	ʔjyʊŋ1	
饕	tʰɜ1	
饗	ɕie3	
饘	tsie1	
饞	dza2	
饞	za2	
饢	nɔ4	拼命往嘴裡塞食物
饥	tɕiɿ1	
飭	tsʰi7	绞杀
飯	va6	
飲	ʔjiaŋ3	
飽	pɔ3	
餅	piŋ3	
餓	ɦʋai6	
館	kye3	
首	siu3	
馗	dʑy2	
香	ɕie1	
馥	vu8	
馨	ɕiaŋ1	
馬	mo4	
馮	ɦʊŋ2	
馱	du2	
馳	dzɿ2	
馹	zai8	
駁	po7	
駃	tɕye7	
駐	tɕiɿ5	
駑	nu2	
駒	tɕy1	
駕	ko5	
駘	de2	
駛	sa3	
駛	sɿ3	
駝	du2	
駟	sɿ5	
駢	bie2	
駬	zɿ4	
駭	ŋa4	
駭	ɦa4	
駱	lo8	
駱	lu8	
駿	tɕyʊŋ5	
騃	ŋe2	
騄	lo8	
騎	dʑiɿ2	
騙	pʰie5	
騤	dʑy2	
騫	tɕʰie1	
騭	tsai7	過～：罪過
騰	daŋ2	
騶	tsau1	
騷	sɜ1	
騾	lu2	
驁	ŋɜ6	
驂	tsʰø1	
驃	piɛ1	黃～馬
驃	pʰiɛ1	～騎
驅	tɕʰy1	
驊	ɦo2	
驍	ɕiɛ1	
驐	tø1	～豬，閹豬
驕	tɕiɛ1	
驗	ȵie6	
驚	tɕiaŋ1	
驛	jiai8	
驟	dzau6	
驢	lʉ2	
驥	tɕiɿ5	
驦	ɕyɔ1	
驪	li2	
馬	mo4	
駁	po7	
驢	dʉ2	
駛	sa3	
駝	du2	
驕	tɕiɛ1	
駱	lu8	
騎	dʑiɿ2	
騙	pʰie5	
骨	kye7	
骭	kye5	
骰	du6	
骷	kʰu1	
骸	ɦa2	
骹	kʰɔ1	
骼	ka7	
骼	lo8	
髀	bi4	
髏	lau2	
髆	po7	
髈	pʰɔ3	～蹄
髏	lau2	
髓	si3	
髓	ɕi3	腦蓋～
體	tʰi3	
髖	kʋʰa1	
高	kɜ1	
髟	piɛ1	
髡	kʋʰaŋ1	
髦	mɜ2	
髫	diɛ2	
髮	ho7	
髯	zie2	
髳	mɜ2	
髹	ɕiau1	
鬁	li8	
鬃	tsʊŋ1	
鬆	sʊŋ1	
鬈	tɕʰyʊŋ3	
鬈	dʑye2	
鬍	vu2	
鬟	va2	
鬢	piŋ5	
鬥	tau5	
鬧	nɔ6	
鬮	tɕiau1	
鬯	tsʰie5	
鬰	ʔjy7	
鬱	ʔiu7	
鬲	li8	
鬻	ʔiu7	
鬼	tɕy3	
魁	kʋʰai1	
魂	jye2	
魃	bo8	
魄	pʰa7	
魄	tʰo7	落～
魈	ɕiɛ1	
魍	mɔ4	
魍	ɦɔ4	
魎	lie4	
魏	vai6	
魏	ŋʋai6	
魔	mʉ2	
魘	ʔie5	
魚	ŋʉ2	
魛	tɜ1	
魨	dø2	
魯	lu4	
魴	ɦɔ2	
魷	jiau2	
鮁	pø7	
鮑	bɔ4	
鮓	tso3	
鮫	kɔ1	
鮮	sie3	少
鮮	sie1	
鯁	kɛ3	
鯁	ɡɛ4	義同見母以外，還有阻梗義
鯉	li4	
鯊	so1	
鯗	sie3	
鯛	tiɛ1	
鯢	ȵi2	
鯤	kʋaŋ1	
鯧	tsʰie1	
鯨	dʑiaŋ2	
鯫	tsau1	
鯰	ȵie2	
鯽	tsi7	
鰂	ze8	
鰈	tʰa7	～鰻，比目魚
鰉	ɦɔ2	
鰍	tsʰiu1	
鰒	vu8	
鰓	si1	
鰓	sɿ1	
鰣	zɿ2	
鰥	kʋa1	
鰩	jiɛ2	
鰭	dʑiɿ2	
鰳	le8	
鰷	diɛ2	
鰷	ɕiɛ3	白～，青鱂魚
鰻	mø2	
鰾	biɛ4	
鱉	pie7	
鱔	zie4	
鱖	tɕye5	
鱗	liŋ2	
鱟	hau5	虹
鱮	ʑiɿ4	
鱷	ŋo8	
魚	ŋʉ2	
魯	lu4	
鱗	liŋ2	
鳥	ȵia4	
鳥	tiɛ3	
鳩	tɕiau1	
鳳	bʊŋ6	
鳳	ɦʊŋ6	
鳴	miŋ2	
鴂	tɕye7	
鴇	pɜ3	
鴉	ʔo1	
鴛	ʔye1	
鴝	dʑy2	
鴟	tsʰɿ1	
鴣	ku1	
鴨	ʔa7	
鴯	zɿ2	
鴰	ko7	
鴻	ɦʊŋ2	
鴿	kø7	
鵁	kɔ1	
鵂	ɕiau1	
鵏	bu6	
鵑	tɕye1	
鵒	jyo8	
鵓	bø8	
鵜	tʰi1	
鵝	ŋ2	
鵝	ŋo2	
鵠	ku7	
鵡	vu4	
鵪	ʔø1	
鵬	bʊŋ2	
鵯	pai1	
鵲	tɕia7	
鶆	le2	
鶉	zʊŋ2	
鶊	kɛ1	
鶓	biɛ2	
鶘	vu2	
鶚	ŋo8	
鶡	ʔø7	
鶩	vu6	
鶬	tsʰɔ1	
鶯	ʔjiaŋ1	
鶯	ʔɛ1	黃～
鶴	ŋo8	
鶻	pʰɔ3	
鶻	kye7	
鶼	tɕie1	
鶿	zɿ2	
鷂	jiɛ6	
鷃	ʔa5	鴳
鷓	tsi5	
鷗	ʔau1	
鷙	tsɿ5	
鷦	tɕiɛ1	
鷯	liɛ2	
鷳	ɦa2	
鷹	ʔjiaŋ1	
鷺	lʉ6	
鷽	ɦo8	
鸕	lʉ2	
鸘	ɕyɔ1	
鸚	ʔjiaŋ1	
鸚	ʔɛ1	～哥
鸛	kye5	
鸝	li2	
鸞	lø2	
鳥	tiɛ3	
鳩	tɕiau1	
雞	tɕiɿ1	
鴉	ʔo1	
鶴	ŋo8	
鷹	ʔjiaŋ1	
鹵	lʉ4	
鹹	ɦa2	
鹺	zo2	
鹽	jie2	
鹽	jie6	醃制
鹿	lu8	
麀	ʔjiau1	
麂	tɕiɿ3	
麅	bɔ2	
麋	mi2	
麓	lu8	
麗	li2	高～
麗	li6	
麝	zi6	
麟	liŋ2	
麥	ma8	
麥	ba8	
麩	fʉ1	
麩	fu1	
麵	mie6	
麴	tɕʰiu7	
麻	mo2	
麼	ʔiɛ1	
麼	mo4	什～
麾	fai1	
麾	ɕy1	
黃	ɦa2	～昏
黃	ɦɔ2	
黃	ɦɔ2	
黍	ɕiɿ3	
黎	li2	
黑	he7	
黔	dʑie2	
默	mai8	
黛	tʰe5	
黜	tɕʰye7	
黝	ʔjiau3	
點	tie3	
點	tie5	提醒
黟	ʔi1	
黠	ɦa8	
黢	tɕʰy7	
黧	li2	
黨	tɔ3	
黯	ʔø3	
黴	mai2	
黷	du8	
黿	ȵye2	
鼂	dʑiɛ2	
鼇	ŋɜ2	
鼎	tiŋ3	
鼐	na4	
鼓	ku3	
鼙	bi2	
鼠	tsʰi3	
鼥	bo8	
鼻	bi8	
鼾	hø1	
鼾	ɕye1	
齁	hau1	
齆	ʔʊŋ5	～鼻
齇	tso1	
齊	zi2	
齋	tsa1	
齊	zi2	
齒	tsʰɿ3	
齔	tsʰaŋ5	
齙	bɔ2	
齜	dzɿ6	～牙
齠	diɛ2	
齡	liŋ2	
齧	ȵie8	
齶	ŋo8	
齷	ʔo7	
齾	ŋa8	缺口
齒	tsʰɿ3	
龍	lʊŋ2	
龍	liɛ2	
龐	bɔ2	
龔	tɕyɔ1	
龕	kʰø1	
龜	tɕy1	
龠	jia8	
𠡒	tai3	拉扯
𠢢	ʔjiau3	植物枯萎
𡇠	tsa7	～实: 牢固、坚实
𢄺	tɕʰiɛ3	抹、 拭
𢳀	mo2	丸:抓阄
𣥼	tsi5	盛物于器
𣧥	ʔjiau3	植物枯萎
𤌙	tʰa7	
𤍐	tʰai1	宰杀
𤖼	pʰa7	用手分开或折断东西:把饼～开
𤳗	pø1	后～
𦗭	bɛ4	耳聋
𦜇	kʰye7	脚～: 膝盖
𧟰	fai1	勿、不要
𧠵	tsʰɿ5	看
𧮙	zo8	责骂
𧺤	ɡau2	蜷缩
𧻸	zi8	跑
𩑦	ʔʋai7	人溺水
𩥑	tʰa7	～拉:最末的
𫦉	ʔlau1	挖掘: ～屋底;抠
𰃳	ɡaŋ3	盖子
