"简体"	"繁體"	"拼音"	"音標"
"微"	"微"	"vi2"	"vi˧˩"
"尾"	"尾"	"vi4"	"vi˧˦"
"未"	"未"	"vi6"	"vi˨˨"
"低"	"低"	"ti1"	"ti˦˦"
"爹"	"爹"	"ti1"	"ti˦˦"
"底"	"底"	"ti3"	"ti˦˥"
"抵"	"抵"	"ti3"	"ti˦˥"
"帝"	"帝"	"ti5"	"ti˥˨"
"帝"	"帝"	"ti5"	"ti˥˨"
"蒂"	"蒂"	"ti5"	"ti˥˨"
"滴"	"滴"	"ti5"	"ti˥˨"
"的"	"的"	"ti7"	"ti˧˨˧"
"嫡"	"嫡"	"ti7"	"ti˧˨˧"
"梯"	"梯"	"thi1"	"tʰi˦˦"
"體"	"體"	"thi3"	"tʰi˦˥"
"替"	"替"	"thi5"	"tʰi˥˨"
"涕"	"涕"	"thi5"	"tʰi˥˨"
"剃"	"剃"	"thi5"	"tʰi˥˨"
"屜"	"屜"	"thi5"	"tʰi˥˨"
"踢"	"踢"	"thi7"	"tʰi˧˨˧"
"剔"	"剔"	"thi7"	"tʰi˧˨˧"
"提"	"提"	"di2"	"di˧˩"
"堤"	"堤"	"di2"	"di˧˩"
"題"	"題"	"di2"	"di˧˩"
"蹄"	"蹄"	"di2"	"di˧˩"
"啼"	"啼"	"di2"	"di˧˩"
"弟"	"弟"	"di4"	"di˧˦"
"第"	"第"	"di4"	"di˧˦"
"地"	"地"	"di6"	"di˨˨"
"遞"	"遞"	"di6"	"di˨˨"
"笛"	"笛"	"di8"	"di˨˩˨"
"迪"	"迪"	"di8"	"di˨˩˨"
"敵"	"敵"	"di8"	"di˨˩˨"
"狄"	"狄"	"di8"	"di˨˩˨"
"獲"	"獲"	"di8"	"di˨˩˨"
"滌"	"滌"	"di8"	"di˨˩˨"
"離"	"離"	"li2"	"li˧˩"
"篙"	"篙"	"li2"	"li˧˩"
"璃"	"璃"	"li2"	"li˧˩"
"梨"	"梨"	"li2"	"li˧˩"
"黎"	"黎"	"li2"	"li˧˩"
"犁"	"犁"	"li2"	"li˧˩"
"荔"	"荔"	"li2"	"li˧˩"
"厘"	"厘"	"li2"	"li˧˩"
"狸"	"狸"	"li2"	"li˧˩"
"李"	"李"	"li4"	"li˧˦"
"禮"	"禮"	"li4"	"li˧˦"
"裏"	"裏"	"li4"	"li˧˦"
"理"	"理"	"li4"	"li˧˦"
"浬"	"浬"	"li4"	"li˧˦"
"鯉"	"鯉"	"li4"	"li˧˦"
"麗"	"麗"	"li6"	"li˨˨"
"厲"	"厲"	"li6"	"li˨˨"
"勵"	"勵"	"li6"	"li˨˨"
"隸"	"隸"	"li6"	"li˨˨"
"利"	"利"	"li6"	"li˨˨"
"痢"	"痢"	"li6"	"li˨˨"
"吏"	"吏"	"li6"	"li˨˨"
"立"	"立"	"li8"	"li˨˩˨"
"笠"	"笠"	"li8"	"li˨˩˨"
"栗"	"栗"	"li8"	"li˨˩˨"
"律"	"律"	"li8"	"li˨˩˨"
"力"	"力"	"li8"	"li˨˩˨"
"曆"	"曆"	"li8"	"li˨˩˨"
"率"	"率"	"li8"	"li˨˩˨"
"奢"	"奢"	"si1"	"si˦˦"
"賒"	"賒"	"si1"	"si˦˦"
"西"	"西"	"si1"	"si˦˦"
"犀"	"犀"	"si1"	"si˦˦"
"鰓"	"鰓"	"si1"	"si˦˦"
"寫"	"寫"	"si3"	"si˦˥"
"舍"	"舍"	"si3"	"si˦˥"
"捨"	"捨"	"si3"	"si˦˥"
"洗"	"洗"	"si3"	"si˦˥"
"瀉"	"瀉"	"si5"	"si˥˨"
"塞"	"塞"	"si5"	"si˥˨"
"細"	"細"	"si5"	"si˥˨"
"世"	"世"	"si5"	"si˥˨"
"婿"	"婿"	"si5"	"si˥˨"
"勢"	"勢"	"si5"	"si˥˨"
"泄"	"泄"	"si5"	"si˥˨"
"髓"	"髓"	"si5"	"si˥˨"
"息"	"息"	"si7"	"si˧˨˧"
"悉"	"悉"	"si7"	"si˧˨˧"
"熄"	"熄"	"si7"	"si˧˨˧"
"媳"	"媳"	"si7"	"si˧˨˧"
"識"	"識"	"si7"	"si˧˨˧"
"式"	"式"	"si7"	"si˧˨˧"
"飾"	"飾"	"si7"	"si˧˨˧"
"昔"	"昔"	"si7"	"si˧˨˧"
"惜"	"惜"	"si7"	"si˧˨˧"
"適"	"適"	"si7"	"si˧˨˧"
"釋"	"釋"	"si7"	"si˧˨˧"
"錫"	"錫"	"si7"	"si˧˨˧"
"析"	"析"	"si7"	"si˧˨˧"
"邪"	"邪"	"zi2"	"zi˧˩"
"斜"	"斜"	"zi2"	"zi˧˩"
"蛇"	"蛇"	"zi2"	"zi˧˩"
"徐"	"徐"	"zi2"	"zi˧˩"
"齊"	"齊"	"zi2"	"zi˧˩"
"臍"	"臍"	"zi2"	"zi˧˩"
"薺"	"薺"	"zi2"	"zi˧˩"
"匙"	"匙"	"zi2"	"zi˧˩"
"社"	"社"	"zi4"	"zi˧˦"
"藉"	"藉"	"zi4"	"zi˧˦"
"射"	"射"	"zi6"	"zi˨˨"
"謝"	"謝"	"zi6"	"zi˨˨"
"麝"	"麝"	"zi6"	"zi˨˨"
"劑"	"劑"	"zi6"	"zi˨˨"
"誓"	"誓"	"zi6"	"zi˨˨"
"逝"	"逝"	"zi6"	"zi˨˨"
"食"	"食"	"zi8"	"zi˨˩˨"
"蝕"	"蝕"	"zi8"	"zi˨˩˨"
"席"	"席"	"zi8"	"zi˨˩˨"
"夕"	"夕"	"zi8"	"zi˨˩˨"
"石"	"石"	"zi8"	"zi˨˩˨"
"射"	"射"	"zi8"	"zi˨˩˨"
"寂"	"寂"	"zi8"	"zi˨˩˨"
"佘"	"佘"	"zi8"	"zi˨˩˨"
"惹"	"惹"	"zi8"	"zi˨˩˨"
"遮"	"遮"	"ci1"	"tɕi˦˦"
"雞"	"雞"	"ci1"	"tɕi˦˦"
"稽"	"稽"	"ci1"	"tɕi˦˦"
"支"	"支"	"ci1"	"tɕi˦˦"
"枝"	"枝"	"ci1"	"tɕi˦˦"
"肢"	"肢"	"ci1"	"tɕi˦˦"
"饑"	"饑"	"ci1"	"tɕi˦˦"
"肌"	"肌"	"ci1"	"tɕi˦˦"
"幾"	"幾"	"ci1"	"tɕi˦˦"
"基"	"基"	"ci1"	"tɕi˦˦"
"機"	"機"	"ci1"	"tɕi˦˦"
"譏"	"譏"	"ci1"	"tɕi˦˦"
"饑"	"饑"	"ci1"	"tɕi˦˦"
"只"	"只"	"ci1"	"tɕi˦˦"
"姐"	"姐"	"ci3"	"tɕi˦˥"
"紙"	"紙"	"ci3"	"tɕi˦˥"
"己"	"己"	"ci3"	"tɕi˦˥"
"紀"	"紀"	"ci3"	"tɕi˦˥"
"幾"	"幾"	"ci3"	"tɕi˦˥"
"借"	"借"	"ci5"	"tɕi˥˨"
"鋸"	"鋸"	"ci5"	"tɕi˥˨"
"祭"	"祭"	"ci5"	"tɕi˥˨"
"際"	"際"	"ci5"	"tɕi˥˨"
"穄"	"穄"	"ci5"	"tɕi˥˨"
"擠"	"擠"	"ci5"	"tɕi˥˨"
"濟"	"濟"	"ci5"	"tɕi˥˨"
"制"	"制"	"ci5"	"tɕi˥˨"
"計"	"計"	"ci5"	"tɕi˥˨"
"繼"	"繼"	"ci5"	"tɕi˥˨"
"系"	"系"	"ci5"	"tɕi˥˨"
"寄"	"寄"	"ci5"	"tɕi˥˨"
"冀"	"冀"	"ci5"	"tɕi˥˨"
"記"	"記"	"ci5"	"tɕi˥˨"
"蔗"	"蔗"	"ci5"	"tɕi˥˨"
"即"	"即"	"ci7"	"tɕi˧˨˧"
"鯽"	"鯽"	"ci7"	"tɕi˧˨˧"
"織"	"織"	"ci7"	"tɕi˧˨˧"
"職"	"職"	"ci7"	"tɕi˧˨˧"
"側"	"側"	"ci7"	"tɕi˧˨˧"
"積"	"積"	"ci7"	"tɕi˧˨˧"
"跡"	"跡"	"ci7"	"tɕi˧˨˧"
"績"	"績"	"ci7"	"tɕi˧˨˧"
"炙"	"炙"	"ci7"	"tɕi˧˨˧"
"笡"	"笡"	"chi1"	"tɕʰi˦˦"
"蛆"	"蛆"	"chi1"	"tɕʰi˦˦"
"棲"	"棲"	"chi1"	"tɕʰi˦˦"
"溪"	"溪"	"chi1"	"tɕʰi˦˦"
"欺"	"欺"	"chi1"	"tɕʰi˦˦"
"鼠"	"鼠"	"chi3"	"tɕʰi˦˥"
"杵"	"杵"	"chi3"	"tɕʰi˦˥"
"起"	"起"	"chi3"	"tɕʰi˦˥"
"杞"	"杞"	"chi3"	"tɕʰi˦˥"
"豈"	"豈"	"chi3"	"tɕʰi˦˥"
"啟"	"啟"	"chi3"	"tɕʰi˦˥"
"且"	"且"	"chi5"	"tɕʰi˥˨"
"去"	"去"	"chi5"	"tɕʰi˥˨"
"契"	"契"	"chi5"	"tɕʰi˥˨"
"器"	"器"	"chi5"	"tɕʰi˥˨"
"棄"	"棄"	"chi5"	"tɕʰi˥˨"
"氣"	"氣"	"chi5"	"tɕʰi˥˨"
"汽"	"汽"	"chi5"	"tɕʰi˥˨"
"赤"	"赤"	"chi7"	"tɕʰi˧˨˧"
"斥"	"斥"	"chi7"	"tɕʰi˧˨˧"
"尺"	"尺"	"chi7"	"tɕʰi˧˨˧"
"戚"	"戚"	"chi7"	"tɕʰi˧˨˧"
"佢"	"佢"	"ji2"	"dʑi˧˩"
"倮"	"倮"	"ji2"	"dʑi˧˩"
"也"	"也"	"ji2"	"dʑi˧˩"
"池"	"池"	"ji2"	"dʑi˧˩"
"奇"	"奇"	"ji2"	"dʑi˧˩"
"騎"	"騎"	"ji2"	"dʑi˧˩"
"歧"	"歧"	"ji2"	"dʑi˧˩"
"岐"	"岐"	"ji2"	"dʑi˧˩"
"企"	"企"	"ji2"	"dʑi˧˩"
"雉"	"雉"	"ji2"	"dʑi˧˩"
"祁"	"祁"	"ji2"	"dʑi˧˩"
"鰭"	"鰭"	"ji2"	"dʑi˧˩"
"其"	"其"	"ji2"	"dʑi˧˩"
"棋"	"棋"	"ji2"	"dʑi˧˩"
"旗"	"旗"	"ji2"	"dʑi˧˩"
"祈"	"祈"	"ji2"	"dʑi˧˩"
"苧"	"苧"	"ji4"	"dʑi˧˦"
"妓"	"妓"	"ji6"	"dʑi˨˨"
"技"	"技"	"ji6"	"dʑi˨˨"
"箸"	"箸"	"ji6"	"dʑi˨˨"
"忌"	"忌"	"ji6"	"dʑi˨˨"
"滯"	"滯"	"ji6"	"dʑi˨˨"
"值"	"值"	"ji8"	"dʑi˨˩˨"
"直"	"直"	"ji8"	"dʑi˨˩˨"
"殖"	"殖"	"ji8"	"dʑi˨˩˨"
"植"	"植"	"ji8"	"dʑi˨˩˨"
"希"	"希"	"shi1"	"ɕi˦˦"
"稀"	"稀"	"shi1"	"ɕi˦˦"
"犧"	"犧"	"shi1"	"ɕi˦˦"
"嬉"	"嬉"	"shi1"	"ɕi˦˦"
"熙"	"熙"	"shi1"	"ɕi˦˦"
"兮"	"兮"	"shi1"	"ɕi˦˦"
"喜"	"喜"	"shi5"	"ɕi˥˨"
"蟢"	"蟢"	"shi5"	"ɕi˥˨"
"戲"	"戲"	"shi5"	"ɕi˥˨"
"魚"	"魚"	"gni2"	"ȵi˧˩"
"漁"	"漁"	"gni2"	"ȵi˧˩"
"泥"	"泥"	"gni2"	"ȵi˧˩"
"倪"	"倪"	"gni2"	"ȵi˧˩"
"宜"	"宜"	"gni2"	"ȵi˧˩"
"儀"	"儀"	"gni2"	"ȵi˧˩"
"尼"	"尼"	"gni2"	"ȵi˧˩"
"疑"	"疑"	"gni2"	"ȵi˧˩"
"沂"	"沂"	"gni2"	"ȵi˧˩"
"蟻"	"蟻"	"gni4"	"ȵi˧˦"
"誼"	"誼"	"gni4"	"ȵi˧˦"
"你"	"你"	"gni4"	"ȵi˧˦"
"擬"	"擬"	"gni4"	"ȵi˧˦"
"議"	"議"	"gni4"	"ȵi˧˦"
"藝"	"藝"	"gni6"	"ȵi˨˨"
"義"	"義"	"gni6"	"ȵi˨˨"
"毅"	"毅"	"gni6"	"ȵi˨˨"
"膩"	"膩"	"gni6"	"ȵi˨˨"
"衣"	"衣"	"i1"	"i˦˦"
"依"	"依"	"i1"	"i˦˦"
"醫"	"醫"	"i1"	"i˦˦"
"伊"	"伊"	"i1"	"i˦˦"
"野"	"野"	"i3"	"i˦˥"
"倚"	"倚"	"i3"	"i˦˥"
"尹"	"尹"	"i3"	"i˦˥"
"意"	"意"	"i5"	"i˥˨"
"億"	"億"	"i5"	"i˥˨"
"憶"	"憶"	"i5"	"i˥˨"
"醫"	"醫"	"i5"	"i˥˨"
"翳"	"翳"	"i5"	"i˥˨"
"耶"	"耶"	"yi2"	"ji˧˩"
"爺"	"爺"	"yi2"	"ji˧˩"
"宜"	"宜"	"yi2"	"ji˧˩"
"移"	"移"	"yi2"	"ji˧˩"
"易"	"易"	"yi2"	"ji˧˩"
"夷"	"夷"	"yi2"	"ji˧˩"
"姨"	"姨"	"yi2"	"ji˧˩"
"矣"	"矣"	"yi2"	"ji˧˩"
"肆"	"肆"	"yi2"	"ji˧˩"
"拽"	"拽"	"yi2"	"ji˧˩"
"已"	"已"	"yi4"	"ji˧˦"
"以"	"以"	"yi4"	"ji˧˦"
"夜"	"夜"	"yi6"	"ji˨˨"
"系"	"系"	"yi6"	"ji˨˨"
"係"	"係"	"yi6"	"ji˨˨"
"異"	"異"	"yi6"	"ji˨˨"
"搣"	"搣"	"mi1"	"mi˦˦"
"波"	"波"	"pu1"	"pu˦˦"
"菠"	"菠"	"pu1"	"pu˦˦"
"坡"	"坡"	"pu1"	"pu˦˦"
"玻"	"玻"	"pu1"	"pu˦˦"
"跛"	"跛"	"pu1"	"pu˦˦"
"補"	"補"	"pu3"	"pu˦˥"
"布"	"布"	"pu5"	"pu˥˨"
"鈽"	"鈽"	"pu5"	"pu˥˨"
"怖"	"怖"	"pu5"	"pu˥˨"
"頗"	"頗"	"phu1"	"pʰu˦˦"
"鋪"	"鋪"	"phu1"	"pʰu˦˦"
"浦"	"浦"	"phu3"	"pʰu˦˥"
"普"	"普"	"phu3"	"pʰu˦˥"
"譜"	"譜"	"phu3"	"pʰu˦˥"
"脯"	"脯"	"phu3"	"pʰu˦˥"
"破"	"破"	"phu5"	"pʰu˥˨"
"鋪"	"鋪"	"phu5"	"pʰu˥˨"
"婆"	"婆"	"bu2"	"bu˧˩"
"蒲"	"蒲"	"bu2"	"bu˧˩"
"菩"	"菩"	"bu2"	"bu˧˩"
"部"	"部"	"bu4"	"bu˧˦"
"簿"	"簿"	"bu4"	"bu˧˦"
"步"	"步"	"bu6"	"bu˨˨"
"捕"	"捕"	"bu6"	"bu˨˨"
"埠"	"埠"	"bu6"	"bu˨˨"
"孵"	"孵"	"bu6"	"bu˨˨"
"菢"	"菢"	"bu6"	"bu˨˨"
"夫"	"夫"	"fu1"	"fu˦˦"
"呼"	"呼"	"fu1"	"fu˦˦"
"膚"	"膚"	"fu1"	"fu˦˦"
"俘"	"俘"	"fu1"	"fu˦˦"
"麩"	"麩"	"fu1"	"fu˦˦"
"孵"	"孵"	"fu1"	"fu˦˦"
"呼"	"呼"	"fu1"	"fu˦˦"
"火"	"火"	"fu3"	"fu˦˥"
"府"	"府"	"fu3"	"fu˦˥"
"腑"	"腑"	"fu3"	"fu˦˥"
"斧"	"斧"	"fu3"	"fu˦˥"
"釜"	"釜"	"fu3"	"fu˦˥"
"甫"	"甫"	"fu3"	"fu˦˥"
"付"	"付"	"fu5"	"fu˥˨"
"傅"	"傅"	"fu5"	"fu˥˨"
"貨"	"貨"	"fu5"	"fu˥˨"
"賦"	"賦"	"fu5"	"fu˥˨"
"夥"	"夥"	"fu5"	"fu˥˨"
"赴"	"赴"	"fu5"	"fu˥˨"
"訃"	"訃"	"fu5"	"fu˥˨"
"輔"	"輔"	"fu5"	"fu˥˨"
"富"	"富"	"fu5"	"fu˥˨"
"副"	"副"	"fu5"	"fu˥˨"
"和"	"和"	"vu2"	"vu˧˩"
"禾"	"禾"	"vu2"	"vu˧˩"
"胡"	"胡"	"vu2"	"vu˧˩"
"湖"	"湖"	"vu2"	"vu˧˩"
"狐"	"狐"	"vu2"	"vu˧˩"
"壺"	"壺"	"vu2"	"vu˧˩"
"滬"	"滬"	"vu2"	"vu˧˩"
"鬍"	"鬍"	"vu2"	"vu˧˩"
"撫"	"撫"	"vu2"	"vu˧˩"
"浮"	"浮"	"vu2"	"vu˧˩"
"巫"	"巫"	"vu2"	"vu˧˩"
"誣"	"誣"	"vu2"	"vu˧˩"
"無"	"無"	"vu2"	"vu˧˩"
"符"	"符"	"vu2"	"vu˧˩"
"戶"	"戶"	"vu4"	"vu˧˦"
"禍"	"禍"	"vu4"	"vu˧˦"
"誣"	"誣"	"vu4"	"vu˧˦"
"父"	"父"	"vu4"	"vu˧˦"
"舞"	"舞"	"vu4"	"vu˧˦"
"武"	"武"	"vu4"	"vu˧˦"
"侮"	"侮"	"vu4"	"vu˧˦"
"鵡"	"鵡"	"vu4"	"vu˧˦"
"婦"	"婦"	"vu4"	"vu˧˦"
"負"	"負"	"vu4"	"vu˧˦"
"荷"	"荷"	"vu6"	"vu˨˨"
"互"	"互"	"vu6"	"vu˨˨"
"獲"	"獲"	"vu6"	"vu˨˨"
"瓠"	"瓠"	"vu6"	"vu˨˨"
"扶"	"扶"	"vu6"	"vu˨˨"
"芙"	"芙"	"vu6"	"vu˨˨"
"附"	"附"	"vu6"	"vu˨˨"
"附"	"附"	"vu6"	"vu˨˨"
"務"	"務"	"vu6"	"vu˨˨"
"霧"	"霧"	"vu6"	"vu˨˨"
"腐"	"腐"	"vu6"	"vu˨˨"
"大"	"大"	"du6"	"du˨˨"
"疏"	"疏"	"su1"	"su˦˦"
"肅"	"肅"	"su7"	"su˧˨˧"
"宿"	"宿"	"su7"	"su˧˨˧"
"叔"	"叔"	"su7"	"su˧˨˧"
"鍋"	"鍋"	"ku1"	"ku˦˦"
"戈"	"戈"	"ku1"	"ku˦˦"
"裹"	"裹"	"ku1"	"ku˦˦"
"姑"	"姑"	"ku1"	"ku˦˦"
"孤"	"孤"	"ku1"	"ku˦˦"
"牯"	"牯"	"ku1"	"ku˦˦"
"箍"	"箍"	"ku1"	"ku˦˦"
"果"	"果"	"ku3"	"ku˦˥"
"固"	"固"	"ku3"	"ku˦˥"
"古"	"古"	"ku3"	"ku˦˥"
"股"	"股"	"ku3"	"ku˦˥"
"鼓"	"鼓"	"ku3"	"ku˦˥"
"馃"	"馃"	"ku3"	"ku˦˥"
"牯"	"牯"	"ku3"	"ku˦˥"
"敞"	"敞"	"ku5"	"ku˥˨"
"過"	"過"	"ku5"	"ku˥˨"
"雇"	"雇"	"ku5"	"ku˥˨"
"顧"	"顧"	"ku5"	"ku˥˨"
"穀"	"穀"	"ku7"	"ku˧˨˧"
"科"	"科"	"khu1"	"kʰu˦˦"
"窠"	"窠"	"khu1"	"kʰu˦˦"
"棵"	"棵"	"khu1"	"kʰu˦˦"
"顆"	"顆"	"khu1"	"kʰu˦˦"
"枯"	"枯"	"khu1"	"kʰu˦˦"
"估"	"估"	"khu1"	"kʰu˦˦"
"苦"	"苦"	"khu3"	"kʰu˦˥"
"庫"	"庫"	"khu5"	"kʰu˥˨"
"課"	"課"	"khu5"	"kʰu˥˨"
"褲"	"褲"	"khu5"	"kʰu˥˨"
"哭"	"哭"	"khu7"	"kʰu˧˨˧"
"酷"	"酷"	"khu7"	"kʰu˧˨˧"
"烏"	"烏"	"u1"	"ʔu˦˦"
"汙"	"汙"	"u1"	"ʔu˦˦"
"窩"	"窩"	"u1"	"ʔu˦˦"
"蝸"	"蝸"	"u1"	"ʔu˦˦"
"倭"	"倭"	"u1"	"ʔu˦˦"
"惡"	"惡"	"u5"	"ʔu˥˨"
"屙"	"屙"	"u5"	"ʔu˥˨"
"沃"	"沃"	"u5"	"ʔu˥˨"
"握"	"握"	"u5"	"ʔu˥˨"
"屋"	"屋"	"u7"	"ʔu˧˨˧"
"都"	"都"	"tiu1"	"ty˦˦"
"肚"	"肚"	"tiu3"	"ty˦˥"
"賭"	"賭"	"tiu3"	"ty˦˥"
"妬"	"妬"	"tiu5"	"ty˥˨"
"土"	"土"	"thiu3"	"tʰy˦˥"
"吐"	"吐"	"thiu3"	"tʰy˦˥"
"吐"	"吐"	"thiu5"	"tʰy˥˨"
"兔"	"兔"	"thiu5"	"tʰy˥˨"
"圖"	"圖"	"diu2"	"dy˧˩"
"徒"	"徒"	"diu2"	"dy˧˩"
"屠"	"屠"	"diu2"	"dy˧˩"
"途"	"途"	"diu2"	"dy˧˩"
"塗"	"塗"	"diu2"	"dy˧˩"
"肚"	"肚"	"diu4"	"dy˧˦"
"杜"	"杜"	"diu4"	"dy˧˦"
"度"	"度"	"diu6"	"dy˨˨"
"渡"	"渡"	"diu6"	"dy˨˨"
"鍍"	"鍍"	"diu6"	"dy˨˨"
"盧"	"盧"	"liu2"	"ly˧˩"
"爐"	"爐"	"liu2"	"ly˧˩"
"蘆"	"蘆"	"liu2"	"ly˧˩"
"廬"	"廬"	"liu2"	"ly˧˩"
"鸕"	"鸕"	"liu2"	"ly˧˩"
"顱"	"顱"	"liu2"	"ly˧˩"
"鱸"	"鱸"	"liu2"	"ly˧˩"
"呂"	"呂"	"liu4"	"ly˧˦"
"屢"	"屢"	"liu4"	"ly˧˦"
"履"	"履"	"liu4"	"ly˧˦"
"旅"	"旅"	"liu4"	"ly˧˦"
"路"	"路"	"liu6"	"ly˨˨"
"露"	"露"	"liu6"	"ly˨˨"
"鷺"	"鷺"	"liu6"	"ly˨˨"
"濾"	"濾"	"liu6"	"ly˨˨"
"慮"	"慮"	"liu6"	"ly˨˨"
"類"	"類"	"liu6"	"ly˨˨"
"裸"	"裸"	"liu6"	"ly˨˨"
"蘇"	"蘇"	"siu1"	"sy˦˦"
"酥"	"酥"	"siu1"	"sy˦˦"
"書"	"書"	"siu1"	"sy˦˦"
"舒"	"舒"	"siu1"	"sy˦˦"
"須"	"須"	"siu1"	"sy˦˦"
"需"	"需"	"siu1"	"sy˦˦"
"輸"	"輸"	"siu1"	"sy˦˦"
"雖"	"雖"	"siu1"	"sy˦˦"
"綏"	"綏"	"siu1"	"sy˦˦"
"數"	"數"	"siu3"	"sy˦˥"
"水"	"水"	"siu3"	"sy˦˥"
"訴"	"訴"	"siu5"	"sy˥˨"
"塑"	"塑"	"siu5"	"sy˥˨"
"曙"	"曙"	"siu5"	"sy˥˨"
"絮"	"絮"	"siu5"	"sy˥˨"
"黍"	"黍"	"siu5"	"sy˥˨"
"歲"	"歲"	"siu5"	"sy˥˨"
"稅"	"稅"	"siu5"	"sy˥˨"
"薯"	"薯"	"ziu2"	"zy˧˩"
"如"	"如"	"ziu2"	"zy˧˩"
"汝"	"汝"	"ziu2"	"zy˧˩"
"殊"	"殊"	"ziu2"	"zy˧˩"
"儒"	"儒"	"ziu2"	"zy˧˩"
"附"	"附"	"ziu2"	"zy˧˩"
"瑞"	"瑞"	"ziu2"	"zy˧˩"
"誰"	"誰"	"ziu2"	"zy˧˩"
"序"	"序"	"ziu4"	"zy˧˦"
"署"	"署"	"ziu4"	"zy˧˦"
"聚"	"聚"	"ziu4"	"zy˧˦"
"豎"	"豎"	"ziu4"	"zy˧˦"
"乳"	"乳"	"ziu4"	"zy˧˦"
"揣"	"揣"	"ziu4"	"zy˧˦"
"敘"	"敘"	"ziu4"	"zy˧˦"
"樹"	"樹"	"ziu6"	"zy˨˨"
"穗"	"穗"	"ziu6"	"zy˨˨"
"術"	"術"	"ziu8"	"zy˨˩˨"
"述"	"述"	"ziu8"	"zy˨˩˨"
"秫"	"秫"	"ziu8"	"zy˨˩˨"
"遂"	"遂"	"ziu8"	"zy˨˩˨"
"隧"	"隧"	"ziu8"	"zy˨˩˨"
"租"	"租"	"ciu1"	"tɕy˦˦"
"諸"	"諸"	"ciu1"	"tɕy˦˦"
"居"	"居"	"ciu1"	"tɕy˦˦"
"車"	"車"	"ciu1"	"tɕy˦˦"
"誅"	"誅"	"ciu1"	"tɕy˦˦"
"蛛"	"蛛"	"ciu1"	"tɕy˦˦"
"株"	"株"	"ciu1"	"tɕy˦˦"
"殊"	"殊"	"ciu1"	"tɕy˦˦"
"珠"	"珠"	"ciu1"	"tɕy˦˦"
"朱"	"朱"	"ciu1"	"tɕy˦˦"
"拘"	"拘"	"ciu1"	"tɕy˦˦"
"駒"	"駒"	"ciu1"	"tɕy˦˦"
"規"	"規"	"ciu1"	"tɕy˦˦"
"錐"	"錐"	"ciu1"	"tɕy˦˦"
"龜"	"龜"	"ciu1"	"tɕy˦˦"
"軌"	"軌"	"ciu1"	"tɕy˦˦"
"圭"	"圭"	"ciu1"	"tɕy˦˦"
"閨"	"閨"	"ciu1"	"tɕy˦˦"
"祖"	"祖"	"ciu3"	"tɕy˦˥"
"舉"	"舉"	"ciu3"	"tɕy˦˥"
"主"	"主"	"ciu3"	"tɕy˦˥"
"矩"	"矩"	"ciu3"	"tɕy˦˥"
"嘴"	"嘴"	"ciu3"	"tɕy˦˥"
"愧"	"愧"	"ciu3"	"tɕy˦˥"
"鬼"	"鬼"	"ciu3"	"tɕy˦˥"
"詭"	"詭"	"ciu3"	"tɕy˦˥"
"據"	"據"	"ciu5"	"tɕy˥˨"
"鋸"	"鋸"	"ciu5"	"tɕy˥˨"
"拄"	"拄"	"ciu5"	"tɕy˥˨"
"駐"	"駐"	"ciu5"	"tɕy˥˨"
"注"	"注"	"ciu5"	"tɕy˥˨"
"鑄"	"鑄"	"ciu5"	"tɕy˥˨"
"蛀"	"蛀"	"ciu5"	"tɕy˥˨"
"注"	"注"	"ciu5"	"tɕy˥˨"
"句"	"句"	"ciu5"	"tɕy˥˨"
"貴"	"貴"	"ciu5"	"tɕy˥˨"
"醉"	"醉"	"ciu5"	"tɕy˥˨"
"季"	"季"	"ciu5"	"tɕy˥˨"
"著"	"著"	"ciu5"	"tɕy˥˨"
"粗"	"粗"	"chiu1"	"tɕʰy˦˦"
"趨"	"趨"	"chiu1"	"tɕʰy˦˦"
"區"	"區"	"chiu1"	"tɕʰy˦˦"
"樞"	"樞"	"chiu1"	"tɕʰy˦˦"
"驅"	"驅"	"chiu1"	"tɕʰy˦˦"
"吹"	"吹"	"chiu1"	"tɕʰy˦˦"
"炊"	"炊"	"chiu1"	"tɕʰy˦˦"
"取"	"取"	"chiu3"	"tɕʰy˦˥"
"娶"	"娶"	"chiu3"	"tɕʰy˦˥"
"醋"	"醋"	"chiu5"	"tɕʰy˥˨"
"處"	"處"	"chiu5"	"tɕʰy˥˨"
"去"	"去"	"chiu5"	"tɕʰy˥˨"
"趣"	"趣"	"chiu5"	"tɕʰy˥˨"
"除"	"除"	"jiu2"	"dʑy˧˩"
"儲"	"儲"	"jiu2"	"dʑy˧˩"
"渠"	"渠"	"jiu2"	"dʑy˧˩"
"廚"	"廚"	"jiu2"	"dʑy˧˩"
"瞿"	"瞿"	"jiu2"	"dʑy˧˩"
"懼"	"懼"	"jiu2"	"dʑy˧˩"
"葵"	"葵"	"jiu2"	"dʑy˧˩"
"緒"	"緒"	"jiu4"	"dʑy˧˦"
"叵"	"叵"	"jiu4"	"dʑy˧˦"
"拒"	"拒"	"jiu4"	"dʑy˧˦"
"距"	"距"	"jiu4"	"dʑy˧˦"
"柱"	"柱"	"jiu4"	"dʑy˧˦"
"跪"	"跪"	"jiu4"	"dʑy˧˦"
"住"	"住"	"jiu6"	"dʑy˨˨"
"具"	"具"	"jiu6"	"dʑy˨˨"
"垂"	"垂"	"jiu6"	"dʑy˨˨"
"俱"	"俱"	"jiu6"	"dʑy˨˨"
"穗"	"穗"	"jiu6"	"dʑy˨˨"
